DropoutNoise,Run,MAE
0.0,1,0.1548803654760594
0.0,2,0.15435171050802787
0.0,3,0.15485428859214162
0.0,4,0.154352305262794
0.0,5,0.1544902331723492
1e-05,1,0.15465737190258172
1e-05,2,0.15484624930642438
1e-05,3,0.15499133540867735
1e-05,4,0.15489287512754288
1e-05,5,0.1543080378478952
5e-05,1,0.15493638303388954
5e-05,2,0.15480618468177101
5e-05,3,0.1546318438883542
5e-05,4,0.15467883464000123
5e-05,5,0.1547137300008159
0.0001,1,0.15466330306080012
0.0001,2,0.1545925407937389
0.0001,3,0.15468296296703624
0.0001,4,0.15489822032186223
0.0001,5,0.1546933386821112
0.0005,1,0.15472688063268747
0.0005,2,0.15461828254663568
0.0005,3,0.15503491123839466
0.0005,4,0.1546588075675282
0.0005,5,0.1549527932713858
0.001,1,0.15487259439968137
0.001,2,0.1547839249507004
0.001,3,0.15480659571054006
0.001,4,0.15495476528303215
0.001,5,0.1546475234792287
0.005,1,0.1547415537366704
0.005,2,0.1546907916183998
0.005,3,0.1546571482294344
0.005,4,0.15436543217120063
0.005,5,0.15472040821807864
0.01,1,0.15495570066961326
0.01,2,0.15512463679816726
0.01,3,0.15497643791437685
0.01,4,0.1544343144492942
0.01,5,0.15473269164595232
0.05,1,0.15756554968324477
0.05,2,0.15694255284380157
0.05,3,0.1573767972506754
0.05,4,0.15698434236138528
0.05,5,0.15710284678625488
0.1,1,0.1607638395688416
0.1,2,0.16056238006472429
0.1,3,0.16047190382926954
0.1,4,0.16046114137549553
0.1,5,0.16074743383014214
