DropoutNoise,Run,MAE
0.0,1,0.15639822105086992
0.0,2,0.1568939061051973
0.0,3,0.1570243983732121
0.0,4,0.1563264369424244
0.0,5,0.1569199380865964
1e-05,1,0.15617296164609226
1e-05,2,0.15601193243055453
1e-05,3,0.15653165322806992
1e-05,4,0.15673849243718516
1e-05,5,0.15675835332320087
5e-05,1,0.1565372143859467
5e-05,2,0.15646733315041528
5e-05,3,0.15587522886418917
5e-05,4,0.15637159950797103
5e-05,5,0.1567367061475398
0.0001,1,0.1560240788654335
0.0001,2,0.15673282841236055
0.0001,3,0.1563653405619448
0.0001,4,0.15667670112701332
0.0001,5,0.15656422404405348
0.0005,1,0.15636136578156973
0.0005,2,0.15652321875741632
0.0005,3,0.1564421569721031
0.0005,4,0.1562848654995662
0.0005,5,0.15682209845072334
0.001,1,0.1568162667768368
0.001,2,0.15662030888202577
0.001,3,0.15612518961015726
0.001,4,0.15681653754101635
0.001,5,0.15672695708538315
0.005,1,0.1567875551099271
0.005,2,0.15651440125062802
0.005,3,0.15690421736277682
0.005,4,0.1558582911736952
0.005,5,0.1565110487580857
0.01,1,0.1566468572167424
0.01,2,0.1566995688884513
0.01,3,0.15574748437272826
0.01,4,0.15620163730238662
0.01,5,0.15664699376083782
0.05,1,0.15939116056060856
0.05,2,0.15920541762984095
0.05,3,0.1591773502175021
0.05,4,0.1596236949385173
0.05,5,0.1593286551344361
0.1,1,0.16367103134708935
0.1,2,0.16256893243990278
0.1,3,0.1631474546720048
0.1,4,0.16286553774343812
0.1,5,0.1629209782783524
0.2,1,0.16689495027862508
0.2,2,0.16763743161217665
0.2,3,0.16729522887535633
0.2,4,0.16698778029757083
0.2,5,0.16791189267723486
0.3,1,0.16970673691584234
0.3,2,0.16972167971182606
0.3,3,0.16985197279685324
0.3,4,0.16951103445005106
0.3,5,0.1698745536630808
0.5,1,0.17184495091869154
0.5,2,0.17200995240997907
0.5,3,0.17199467304847255
0.5,4,0.17144807082146557
0.5,5,0.17133389678449434
0.7,1,0.17273693970245363
0.7,2,0.17270737280183276
0.7,3,0.17234087806502998
0.7,4,0.17250454238508608
0.7,5,0.17260589057772505
1.0,1,0.1733677335070935
1.0,2,0.17340164928749793
1.0,3,0.17343765400844166
1.0,4,0.17289684121164167
1.0,5,0.17370612871508723
