DropoutNoise,Run,MAE
0.0,1,0.1853804806094857
0.0,2,0.18527606965801516
0.0,3,0.18591903024837944
0.0,4,0.18568736952256618
0.0,5,0.18560455733329337
1e-05,1,0.18591001375848912
1e-05,2,0.1853374143197508
1e-05,3,0.18563633289407772
1e-05,4,0.1853460502266258
1e-05,5,0.1858859237607338
5e-05,1,0.18551246309130162
5e-05,2,0.18556910489033868
5e-05,3,0.18545394094262702
5e-05,4,0.1854433666841621
5e-05,5,0.1851962569616321
0.0001,1,0.18597544582569608
0.0001,2,0.1858107358156438
0.0001,3,0.18557877481887236
0.0001,4,0.18567161664952778
0.0001,5,0.18569923586056078
0.0005,1,0.18567937122111738
0.0005,2,0.18604373112701858
0.0005,3,0.18603467677284896
0.0005,4,0.18579659077807678
0.0005,5,0.18566004599463506
0.001,1,0.18548731603549973
0.001,2,0.18534010073026475
0.001,3,0.18554158133195026
0.001,4,0.18554866342156298
0.001,5,0.18525074240242867
0.005,1,0.18560521520922463
0.005,2,0.18596455689885524
0.005,3,0.18542437887741348
0.005,4,0.18586961510773553
0.005,5,0.1855811473601106
0.01,1,0.1858900501165666
0.01,2,0.18585257709603792
0.01,3,0.18570609021920695
0.01,4,0.18581700492078054
0.01,5,0.18549460059836342
0.05,1,0.18784899966995222
0.05,2,0.18790548966431803
0.05,3,0.18759892765459837
0.05,4,0.18797521871926137
0.05,5,0.18786365412306935
0.1,1,0.19089655878278136
0.1,2,0.19040287202019612
0.1,3,0.19121474983882825
0.1,4,0.19101295314910588
0.1,5,0.19081658583126843
