k,BudgetFraction,MAE,Runtime,UniqueQueried,AvgStdQueried
1,0.1,0.14499208784396483,29.34239935874939,20513,0.14919126684077416
2,0.1,0.14401368622549965,58.31855750083923,20512,0.1621290981136639
3,0.1,0.1436327775473526,88.22775864601135,20511,0.1695756567190554
4,0.1,0.14312019453700364,116.42813348770142,20512,0.17449879791179443
5,0.1,0.14296111727235913,145.80695986747742,20510,0.17873889952997038
6,0.1,0.14316265719712917,175.53913354873657,20508,0.18148086188078474
7,0.1,0.14290926626793055,203.5334882736206,20510,0.18403607909240544
8,0.1,0.1427776392107984,233.57044982910156,20512,0.1861761188736332
9,0.1,0.14244773681813278,262.0114929676056,20511,0.18821225172951314
10,0.1,0.1424129667778695,291.414669752121,20510,0.18967436317179515
11,0.1,0.14257789061068207,320.85232162475586,20504,0.191612846434077
12,0.1,0.14241335452260442,348.6812491416931,20508,0.19273566767527975
13,0.1,0.14244321949359784,378.10950684547424,20501,0.19400172261021448
14,0.1,0.14247603912262932,411.3116981983185,20510,0.19504524647686522
15,0.1,0.14216748654611758,437.771497964859,20505,0.1963613728219617
1,0.2,0.12741095669180813,29.50219988822937,41027,0.1333862293798152
2,0.2,0.12639946078726183,58.05241060256958,41026,0.14810198816191483
3,0.2,0.12495295907700678,87.67029047012329,41025,0.15600067891172056
4,0.2,0.1249798910982861,116.26963424682617,41024,0.1613826279237982
5,0.2,0.12441530763812983,147.86521530151367,41025,0.16543160534796233
6,0.2,0.12407125551976793,173.8226625919342,41022,0.16881304116643517
7,0.2,0.1243235589663397,205.76835823059082,41027,0.17132832082395635
8,0.2,0.12400233208706404,231.9055619239807,41024,0.17360453496995581
9,0.2,0.12355730022874648,264.40707087516785,41022,0.17564214329802064
10,0.2,0.12343397183334279,292.33696818351746,41020,0.17774208540279296
11,0.2,0.123174428069881,350.18993377685547,41019,0.17917763760241517
12,0.2,0.12306069544440083,416.22157621383667,41016,0.18055946963087557
13,0.2,0.12305106035631656,442.1905198097229,41015,0.18205536234447403
14,0.2,0.12310256710015109,485.0445969104767,41020,0.183246067138161
15,0.2,0.1227283168021047,515.2918934822083,41025,0.18407176558653163
1,0.3,0.11039094880896813,35.05247974395752,61540,0.12373821364637462
2,0.3,0.10889510618883946,66.9774878025055,61540,0.13855258518274843
3,0.3,0.10781775133512116,101.16739320755005,61539,0.1469091090784724
4,0.3,0.1071927159529702,139.38653659820557,61540,0.15257713809329024
5,0.3,0.10711737743776888,166.2261142730713,61540,0.15664960994593732
6,0.3,0.10643640256331918,205.8902575969696,61536,0.16042741045601852
7,0.3,0.1058319609655193,240.72237944602966,61537,0.16312292588627025
8,0.3,0.1057142523823824,272.987441778183,61536,0.16551359929614715
9,0.3,0.10562928539708913,309.6993682384491,61533,0.16745404479140732
10,0.3,0.10517073222291067,335.8053665161133,61540,0.1695230514523985
11,0.3,0.10487066549679637,374.0834629535675,61534,0.17112774845005524
12,0.3,0.10457391760448641,395.4668445587158,61536,0.17271051987821093
13,0.3,0.10482955706499095,438.14576745033264,61529,0.1740266085014649
14,0.3,0.10458637213608665,456.3807861804962,61530,0.1753568726716414
15,0.3,0.10422887119767059,516.8442137241364,61530,0.17664696919884734
