k,BudgetFraction,MAE,Runtime,UniqueQueried,AvgStdQueried
1,0.1,0.14620169088195767,73.99200677871704,20513,0.1496781593623604
2,0.1,0.1455187463505321,143.85098481178284,20512,0.1630817501363503
3,0.1,0.14506181943828841,214.61822748184204,20511,0.1705396788770712
4,0.1,0.1447959300655316,282.69886326789856,20512,0.1757002312374099
5,0.1,0.14457159135792275,352.2836320400238,20510,0.17908543298798968
6,0.1,0.1447686818674495,423.8712387084961,20508,0.18229879011746666
7,0.1,0.14441640619914695,497.3385555744171,20510,0.18506784712522398
8,0.1,0.14443419666566168,566.0882925987244,20512,0.18730753991611981
9,0.1,0.14429335759128833,637.4462704658508,20511,0.18909404085853362
10,0.1,0.1442092657262506,710.6785972118378,20510,0.19076301159401654
11,0.1,0.14395422957828738,778.6320309638977,20504,0.19244817529367636
12,0.1,0.14371091053974847,866.1372964382172,20508,0.1936611564144868
13,0.1,0.14399664032487186,939.7881407737732,20501,0.19478111035129786
14,0.1,0.14403194052746793,1001.1304728984833,20510,0.19610416418136348
15,0.1,0.14394873243139572,1061.3462569713593,20505,0.19747881094488584
1,0.2,0.12837899163962943,66.28862977027893,41027,0.13434945059760864
2,0.2,0.127206136674853,139.211035490036,41026,0.14873259654992665
3,0.2,0.12692945500389846,210.20307278633118,41025,0.1565729275896193
4,0.2,0.1264480116738219,282.65140771865845,41024,0.1620939508821272
5,0.2,0.12648510715999367,350.8169779777527,41025,0.1658272235173422
6,0.2,0.12582286807432297,426.09864044189453,41022,0.16953128446370505
7,0.2,0.12556220574164795,500.0092930793762,41027,0.1722317047825112
8,0.2,0.12528766468563543,567.1198890209198,41024,0.1745093408596247
9,0.2,0.12525159886669196,634.4334151744843,41022,0.17665629441836062
10,0.2,0.12497455019106411,735.8437521457672,41020,0.17857962697789453
11,0.2,0.1250859941252951,791.3233864307404,41019,0.1799858603643112
12,0.2,0.12474554880804656,845.6422853469849,41016,0.18148331325550338
13,0.2,0.12447028642591608,898.3722331523895,41015,0.18279842602978377
14,0.2,0.1247706905520302,764.2819380760193,41020,0.18416913641063706
15,0.2,0.12421998688017385,790.476708650589,41025,0.1853084322661385
1,0.3,0.11145364356286228,49.259241580963135,61540,0.12406923503334501
2,0.3,0.10959374840711053,107.12542152404785,61540,0.13928757548839815
3,0.3,0.10912493263192563,146.59681296348572,61539,0.14734829798061086
4,0.3,0.10835477569660443,161.60655760765076,61540,0.15328647268439027
5,0.3,0.10816450430388824,190.5731303691864,61540,0.15739543651412385
6,0.3,0.10758800017666752,235.26383709907532,61536,0.16094335218134279
7,0.3,0.10742991945885971,268.1854236125946,61537,0.16371808821451475
8,0.3,0.10694991741809684,310.674880027771,61536,0.1662452187398759
9,0.3,0.10695793742314248,380.40333223342896,61533,0.168368177586494
10,0.3,0.10651760987282499,404.5731542110443,61540,0.17006749058587076
11,0.3,0.1063458855722856,312.7924060821533,61534,0.17215446422572941
12,0.3,0.10640739106628605,347.5902645587921,61536,0.17345598805743667
13,0.3,0.10617929404361924,372.6194381713867,61529,0.17493351461460258
14,0.3,0.10560160929177705,403.63460421562195,61530,0.17608557985048862
15,0.3,0.10542671303443737,431.81761026382446,61530,0.17728516379181328
