k,BudgetFraction,MAE,Runtime,UniqueQueried,AvgStdQueried
1,0.1,0.17736687494013617,35.708590269088745,20513,0.1471323152047929
2,0.1,0.17499831131089488,81.68227005004883,20512,0.15959022283500224
3,0.1,0.174334870461397,115.72727227210999,20511,0.167255341489585
4,0.1,0.17394524605994519,151.60856938362122,20512,0.17201983402607723
5,0.1,0.17364227329501317,207.70943593978882,20510,0.17572343824741213
6,0.1,0.17343552281585067,244.75139236450195,20508,0.17872193515085724
7,0.1,0.1736841944133404,284.3819682598114,20510,0.18114148944877387
8,0.1,0.17343978316538727,317.3525185585022,20512,0.18329898067271888
9,0.1,0.1732626900180863,362.50414180755615,20511,0.18496181420225227
10,0.1,0.17311419700820074,390.06569838523865,20510,0.18696128342236792
11,0.1,0.1729698278343772,453.8537480831146,20504,0.18809330907699995
12,0.1,0.17295448211613376,489.81750202178955,20508,0.18944771232893612
13,0.1,0.17259867681726768,561.3168921470642,20501,0.19087041975892888
14,0.1,0.17258736149933288,546.3771026134491,20510,0.1914975540459562
15,0.1,0.1727671161345723,583.6055588722229,20505,0.19289099340601265
1,0.2,0.15692818867627562,35.06151366233826,41027,0.13234084350175127
2,0.2,0.15300817171697673,85.92165541648865,41026,0.14629689013062408
3,0.2,0.15192949630150396,110.36405682563782,41025,0.15370312579698311
4,0.2,0.15111023111595626,159.9533920288086,41024,0.15901772288073657
5,0.2,0.1505523193655275,190.95908212661743,41025,0.16322589675912325
6,0.2,0.15032089653509678,236.61910128593445,41022,0.16635010728654046
7,0.2,0.15025315475951667,274.71960401535034,41027,0.16887739620441589
8,0.2,0.14975891523901866,317.22341108322144,41024,0.17117405650431788
9,0.2,0.1497657865991037,349.4732656478882,41022,0.1731323566087197
10,0.2,0.14982627867748877,396.2723288536072,41020,0.17483484780146952
11,0.2,0.14926801563967934,441.0156440734863,41019,0.17651030638935444
12,0.2,0.14931655325974286,476.46712255477905,41016,0.17786544586249464
13,0.2,0.14912046334595366,500.90334963798523,41015,0.17904333107711867
14,0.2,0.1490457256352553,546.8084487915039,41020,0.180341452509562
15,0.2,0.1489687938014457,581.9448981285095,41025,0.18126946204922265
1,0.3,0.13677600391066175,37.76065015792847,61540,0.12242825019657544
2,0.3,0.1316172547867725,77.98782420158386,61540,0.13699185603120298
3,0.3,0.13023236553551334,114.93416357040405,61539,0.14502194156531012
4,0.3,0.12960455332816576,148.30874347686768,61540,0.1505481793814506
5,0.3,0.1291535674345218,191.36670970916748,61540,0.1547268746180427
6,0.3,0.12838294874819844,227.21568202972412,61536,0.15801433458947292
7,0.3,0.12815751186230054,268.9344627857208,61537,0.16078242061579262
8,0.3,0.1279303288920696,306.94384837150574,61536,0.1631718287136818
9,0.3,0.12729170730994416,351.1739320755005,61533,0.1651325999635787
10,0.3,0.12749872381938648,388.47338581085205,61540,0.16711837240194996
11,0.3,0.12695728787989702,416.3187985420227,61534,0.16867542108177436
12,0.3,0.1269090879888966,459.23809337615967,61536,0.17004584164415137
13,0.3,0.12688886977608554,489.00456953048706,61529,0.17157909080008482
14,0.3,0.12689244193261415,528.3113782405853,61530,0.1726727830790899
15,0.3,0.1266021867769892,575.1551966667175,61530,0.17385509260626286
