Run,MissingRate(%),Method,MAE
0,10,Mean,0.1537
0,10,KNN,0.1126
0,10,MICE,0.1327
0,10,OT-Impute,0.167
0,10,OT-Rand,0.1498
0,10,Batch-Impute,0.1262
0,20,Mean,0.1549
0,20,KNN,0.1347
0,20,MICE,0.1363
0,20,OT-Impute,0.1706
0,20,OT-Rand,0.1533
0,20,Batch-Impute,0.1297
0,30,Mean,0.1561
0,30,KNN,0.1538
0,30,MICE,0.1657
0,30,OT-Impute,0.1739
0,30,OT-Rand,0.1565
0,30,Batch-Impute,0.1334
0,40,Mean,0.1573
0,40,KNN,0.1669
0,40,MICE,0.1572
0,40,OT-Impute,0.1768
0,40,OT-Rand,0.1596
0,40,Batch-Impute,0.1369
0,50,Mean,0.1594
0,50,KNN,0.1743
0,50,MICE,0.1607
0,50,OT-Impute,0.1805
0,50,OT-Rand,0.1625
0,50,Batch-Impute,0.1407
0,60,Mean,0.1609
0,60,KNN,0.1746
0,60,MICE,0.1611
0,60,OT-Impute,0.1834
0,60,OT-Rand,0.1651
0,60,Batch-Impute,0.144
0,70,Mean,0.1628
0,70,KNN,0.1734
0,70,MICE,0.1652
0,70,OT-Impute,0.1868
0,70,OT-Rand,0.1681
0,70,Batch-Impute,0.1476
0,80,Mean,0.1637
0,80,KNN,0.1643
0,80,MICE,0.1661
0,80,OT-Impute,0.1892
0,80,OT-Rand,0.1703
0,80,Batch-Impute,0.1502
1,10,Mean,0.1537
1,10,KNN,0.1126
1,10,MICE,0.1327
1,10,OT-Impute,0.1674
1,10,OT-Rand,0.1498
1,10,Batch-Impute,0.1257
1,20,Mean,0.1549
1,20,KNN,0.1347
1,20,MICE,0.1363
1,20,OT-Impute,0.1707
1,20,OT-Rand,0.1531
1,20,Batch-Impute,0.1299
1,30,Mean,0.1561
1,30,KNN,0.1538
1,30,MICE,0.1657
1,30,OT-Impute,0.174
1,30,OT-Rand,0.1564
1,30,Batch-Impute,0.1336
1,40,Mean,0.1573
1,40,KNN,0.1669
1,40,MICE,0.1572
1,40,OT-Impute,0.1766
1,40,OT-Rand,0.1595
1,40,Batch-Impute,0.137
1,50,Mean,0.1594
1,50,KNN,0.1743
1,50,MICE,0.1607
1,50,OT-Impute,0.1801
1,50,OT-Rand,0.1623
1,50,Batch-Impute,0.1407
1,60,Mean,0.1609
1,60,KNN,0.1746
1,60,MICE,0.1611
1,60,OT-Impute,0.1834
1,60,OT-Rand,0.1649
1,60,Batch-Impute,0.144
1,70,Mean,0.1628
1,70,KNN,0.1734
1,70,MICE,0.1652
1,70,OT-Impute,0.187
1,70,OT-Rand,0.168
1,70,Batch-Impute,0.1476
1,80,Mean,0.1637
1,80,KNN,0.1643
1,80,MICE,0.1661
1,80,OT-Impute,0.1892
1,80,OT-Rand,0.1704
1,80,Batch-Impute,0.1503
2,10,Mean,0.1537
2,10,KNN,0.1126
2,10,MICE,0.1327
