Run,MissingRate(%),Method,MAE
0,10,Mean,0.158
0,10,KNN,0.1185
0,10,MICE,0.138
0,10,OT-Impute,0.1725
0,10,OT-Rand,0.155
0,10,Batch-Impute,0.1296
0,20,Mean,0.1573
0,20,KNN,0.1343
0,20,MICE,0.1402
0,20,OT-Impute,0.1737
0,20,OT-Rand,0.156
0,20,Batch-Impute,0.132
0,30,Mean,0.158
0,30,KNN,0.1471
0,30,MICE,0.1726
0,30,OT-Impute,0.176
0,30,OT-Rand,0.1584
0,30,Batch-Impute,0.135
0,40,Mean,0.1577
0,40,KNN,0.1528
0,40,MICE,0.1622
0,40,OT-Impute,0.1778
0,40,OT-Rand,0.1599
0,40,Batch-Impute,0.1368
0,50,Mean,0.1579
0,50,KNN,0.1577
0,50,MICE,0.1606
0,50,OT-Impute,0.1795
0,50,OT-Rand,0.1615
0,50,Batch-Impute,0.1392
0,60,Mean,0.158
0,60,KNN,0.1596
0,60,MICE,0.1577
0,60,OT-Impute,0.1812
0,60,OT-Rand,0.1632
0,60,Batch-Impute,0.1413
0,70,Mean,0.1578
0,70,KNN,0.1612
0,70,MICE,0.156
0,70,OT-Impute,0.1829
0,70,OT-Rand,0.1647
0,70,Batch-Impute,0.1432
0,80,Mean,0.1584
0,80,KNN,0.1602
0,80,MICE,0.1614
0,80,OT-Impute,0.1851
0,80,OT-Rand,0.1667
0,80,Batch-Impute,0.1455
1,10,Mean,0.1582
1,10,KNN,0.1187
1,10,MICE,0.1389
1,10,OT-Impute,0.1726
1,10,OT-Rand,0.1553
1,10,Batch-Impute,0.1298
1,20,Mean,0.1584
1,20,KNN,0.1361
1,20,MICE,0.141
1,20,OT-Impute,0.1741
1,20,OT-Rand,0.1575
1,20,Batch-Impute,0.133
1,30,Mean,0.1581
1,30,KNN,0.1477
1,30,MICE,0.1728
1,30,OT-Impute,0.1759
1,30,OT-Rand,0.1588
1,30,Batch-Impute,0.1354
1,40,Mean,0.1581
1,40,KNN,0.1536
1,40,MICE,0.1629
1,40,OT-Impute,0.1778
1,40,OT-Rand,0.1604
1,40,Batch-Impute,0.1375
1,50,Mean,0.1579
1,50,KNN,0.1583
