Run,MissingRate(%),Method,MAE
0,10,Mean,0.1746
0,10,KNN,0.1357
0,10,MICE,0.1533
0,10,OT-Impute,0.1922
0,10,OT-Rand,0.1729
0,10,Batch-Impute,0.1483
0,20,Mean,0.1818
0,20,KNN,0.1624
0,20,MICE,0.161
0,20,OT-Impute,0.2001
0,20,OT-Rand,0.18
0,20,Batch-Impute,0.1578
0,30,Mean,0.1911
0,30,KNN,0.1832
0,30,MICE,0.1933
0,30,OT-Impute,0.2097
0,30,OT-Rand,0.1887
0,30,Batch-Impute,0.1681
0,40,Mean,0.2009
0,40,KNN,0.1989
0,40,MICE,0.1933
0,40,OT-Impute,0.2198
0,40,OT-Rand,0.198
0,40,Batch-Impute,0.1793
0,50,Mean,0.2125
0,50,KNN,0.2159
0,50,MICE,0.2038
0,50,OT-Impute,0.2312
0,50,OT-Rand,0.2084
0,50,Batch-Impute,0.1912
0,60,Mean,0.223
0,60,KNN,0.2229
0,60,MICE,0.2177
0,60,OT-Impute,0.2427
0,60,OT-Rand,0.2182
0,60,Batch-Impute,0.2026
0,70,Mean,0.2323
0,70,KNN,0.2277
0,70,MICE,0.2334
0,70,OT-Impute,0.2547
0,70,OT-Rand,0.2288
0,70,Batch-Impute,0.2136
0,80,Mean,0.2363
0,80,KNN,0.2377
0,80,MICE,0.2398
0,80,OT-Impute,0.262
0,80,OT-Rand,0.2356
0,80,Batch-Impute,0.2198
1,10,Mean,0.1746
1,10,KNN,0.1357
1,10,MICE,0.1533
1,10,OT-Impute,0.1929
1,10,OT-Rand,0.173
1,10,Batch-Impute,0.1478
1,20,Mean,0.1818
1,20,KNN,0.1624
1,20,MICE,0.161
1,20,OT-Impute,0.2002
1,20,OT-Rand,0.1795
1,20,Batch-Impute,0.1575
1,30,Mean,0.1911
1,30,KNN,0.1832
1,30,MICE,0.1933
1,30,OT-Impute,0.2096
1,30,OT-Rand,0.1886
1,30,Batch-Impute,0.1681
1,40,Mean,0.2009
1,40,KNN,0.1989
1,40,MICE,0.1933
1,40,OT-Impute,0.22
1,40,OT-Rand,0.1979
