,,,MAE,MSE
0,0.1,Batch-Impute,0.12604058296054083,0.041543981272107754
0,0.1,OT-Impute,0.16729922096488564,0.060128927795499665
0,0.1,OT-Rand,0.15051624806875857,0.054176611534057145
0,0.2,Batch-Impute,0.1052844355036388,0.03432825711834691
0,0.2,OT-Impute,0.16729922096488564,0.060128927795499665
0,0.2,OT-Rand,0.1327452328735414,0.04707567205687314
0,0.3,Batch-Impute,0.08733642440465023,0.028498726412053393
0,0.3,OT-Impute,0.16729922096488564,0.060128927795499665
0,0.3,OT-Rand,0.11658060994886547,0.04177926545350156
1,0.1,Batch-Impute,0.12971326364480174,0.0428820946181549
1,0.1,OT-Impute,0.17036088548374584,0.06071214982240296
1,0.1,OT-Rand,0.15347367322166014,0.05475948641471549
1,0.2,Batch-Impute,0.10946966828830443,0.03593226084058283
1,0.2,OT-Impute,0.17036088548374584,0.06071214982240296
1,0.2,OT-Rand,0.13655567960832382,0.04862724404595333
1,0.3,Batch-Impute,0.09092323749519267,0.029487026600453367
1,0.3,OT-Impute,0.17036088548374584,0.06071214982240296
1,0.3,OT-Rand,0.1194325161228408,0.042535482240677776
2,0.1,Batch-Impute,0.1336689415612596,0.04436658821630838
2,0.1,OT-Impute,0.17398326272257014,0.06172243969173104
2,0.1,OT-Rand,0.15664402098434024,0.05557702751052864
2,0.2,Batch-Impute,0.11339486758283782,0.03725086188013422
2,0.2,OT-Impute,0.17398326272257014,0.06172243969173104
2,0.2,OT-Rand,0.13902302450464413,0.04921807230592122
2,0.3,Batch-Impute,0.09478255042830436,0.030818889074653272
2,0.3,OT-Impute,0.17398326272257014,0.06172243969173104
2,0.3,OT-Rand,0.12171765584663771,0.043183841200500846
3,0.1,Batch-Impute,0.13692566882025467,0.045449500696226455
3,0.1,OT-Impute,0.17670502425398338,0.06245004247161097
3,0.1,OT-Rand,0.1590863799615775,0.05624254705156809
3,0.2,Batch-Impute,0.11659706384743827,0.03830441637808787
3,0.2,OT-Impute,0.17670502425398338,0.06245004247161097
3,0.2,OT-Rand,0.14137525919382748,0.04987338959593034
3,0.3,Batch-Impute,0.09874281684893252,0.03232329016804569
3,0.3,OT-Impute,0.17670502425398338,0.06245004247161097
3,0.3,OT-Rand,0.12401430214212816,0.04383617303191804
4,0.1,Batch-Impute,0.14074208735914087,0.046746650370431866
4,0.1,OT-Impute,0.18046009104278493,0.0637243566645766
4,0.1,OT-Rand,0.16239181986868004,0.0573111984602169
4,0.2,Batch-Impute,0.12057123715290267,0.03971890694432031
4,0.2,OT-Impute,0.18046009104278493,0.0637243566645766
4,0.2,OT-Rand,0.14425319580021922,0.05075363877672335
4,0.3,Batch-Impute,0.1024126534469483,0.0336250159434807
4,0.3,OT-Impute,0.18046009104278493,0.0637243566645766
4,0.3,OT-Rand,0.12638680857134732,0.044609920308472197
5,0.1,Batch-Impute,0.14379340888784756,0.04788503853203654
5,0.1,OT-Impute,0.1834678433114153,0.06466887378338529
5,0.1,OT-Rand,0.1651239048578822,0.05820875195256773
5,0.2,Batch-Impute,0.12436854412424908,0.04120329177494606
5,0.2,OT-Impute,0.1834678433114153,0.06466887378338529
5,0.2,OT-Rand,0.14677086174149237,0.051670854433669915
5,0.3,Batch-Impute,0.10619821761020462,0.03505756664729733
5,0.3,OT-Impute,0.1834678433114153,0.06466887378338529
5,0.3,OT-Rand,0.12841470237453032,0.0452534964117666
6,0.1,Batch-Impute,0.14746385062647172,0.049698468208871714
6,0.1,OT-Impute,0.1866320185778293,0.06607535054689333
6,0.1,OT-Rand,0.16797169546336901,0.05946207047350847
6,0.2,Batch-Impute,0.12788125890224314,0.042824970418037414
6,0.2,OT-Impute,0.1866320185778293,0.06607535054689333
6,0.2,OT-Rand,0.14915506317756078,0.052853411694361925
6,0.3,Batch-Impute,0.10961827168392015,0.036526498176344416
6,0.3,OT-Impute,0.1866320185778293,0.06607535054689333
6,0.3,OT-Rand,0.1303911618440021,0.04610294054674601
7,0.1,Batch-Impute,0.1501629016353048,0.05085860725613783
7,0.1,OT-Impute,0.189167612711097,0.06691856480424452
7,0.1,OT-Rand,0.17019929068895584,0.06017960504484088
7,0.2,Batch-Impute,0.1308865217345538,0.04395480582448705
7,0.2,OT-Impute,0.189167612711097,0.06691856480424452
7,0.2,OT-Rand,0.15131092047011369,0.05355414003598264
7,0.3,Batch-Impute,0.11304530732416158,0.037937328697367725
7,0.3,OT-Impute,0.189167612711097,0.06691856480424452
7,0.3,OT-Rand,0.13247890836805187,0.04692064846367129
