,,,MAE,MSE
0,0.1,Batch-Impute,0.12918128751118427,0.04446957771419821
0,0.1,OT-Impute,0.17156586275131602,0.0637664971580422
0,0.1,OT-Rand,0.15447758548220386,0.057505754324380695
0,0.2,Batch-Impute,0.10747676074670516,0.03643011349436475
0,0.2,OT-Impute,0.17156586275131602,0.0637664971580422
0,0.2,OT-Rand,0.13747319400698532,0.05114307811070195
0,0.3,Batch-Impute,0.08809133261455361,0.029732307434391102
0,0.3,OT-Impute,0.17156586275131602,0.0637664971580422
0,0.3,OT-Rand,0.11995215893543383,0.04457823953237323
1,0.1,Batch-Impute,0.1329194896119314,0.04612204790742174
1,0.1,OT-Impute,0.17475310902248495,0.06468624993346228
1,0.1,OT-Rand,0.1573938148922463,0.05830075506566735
1,0.2,Batch-Impute,0.11135273168412016,0.03831427905976645
1,0.2,OT-Impute,0.17475310902248495,0.06468624993346228
1,0.2,OT-Rand,0.13953488968015365,0.0514119816626367
1,0.3,Batch-Impute,0.09184323677701221,0.03122119364760844
1,0.3,OT-Impute,0.17475310902248495,0.06468624993346228
1,0.3,OT-Rand,0.12179524895826989,0.044980904009654585
2,0.1,Batch-Impute,0.1350369817384298,0.0467930330370687
2,0.1,OT-Impute,0.17652718426802383,0.06480883570241437
2,0.1,OT-Rand,0.15907122570806762,0.058398629082908465
2,0.2,Batch-Impute,0.11414795854550026,0.039273708358355586
2,0.2,OT-Impute,0.17652718426802383,0.06480883570241437
2,0.2,OT-Rand,0.14083345984824813,0.05160813491791728
2,0.3,Batch-Impute,0.09512226768524715,0.03249320277068741
2,0.3,OT-Impute,0.17652718426802383,0.06480883570241437
2,0.3,OT-Rand,0.12367105565838636,0.045411400259297845
3,0.1,Batch-Impute,0.13734866857740258,0.047219500045471256
3,0.1,OT-Impute,0.17803361314008748,0.06450890118537961
3,0.1,OT-Rand,0.1602169210089238,0.05803283521068156
3,0.2,Batch-Impute,0.11705876272387573,0.04006145155035217
3,0.2,OT-Impute,0.17803361314008748,0.06450890118537961
3,0.2,OT-Rand,0.14268095970532757,0.05185018299427081
3,0.3,Batch-Impute,0.09790507799698392,0.03333625445312589
3,0.3,OT-Impute,0.17803361314008748,0.06450890118537961
3,0.3,OT-Rand,0.12455698493264127,0.04512258230586242
4,0.1,Batch-Impute,0.13955242654726188,0.048084269607522635
4,0.1,OT-Impute,0.1798001969868778,0.06483562263568296
4,0.1,OT-Rand,0.16181169848494892,0.058362161452685045
4,0.2,Batch-Impute,0.11931708931342162,0.04079592194395555
4,0.2,OT-Impute,0.1798001969868778,0.06483562263568296
4,0.2,OT-Rand,0.14396447746229746,0.05197324544482857
4,0.3,Batch-Impute,0.10113141771227475,0.03457988662070099
4,0.3,OT-Impute,0.1798001969868778,0.06483562263568296
4,0.3,OT-Rand,0.12592979409072766,0.0453852560382738
5,0.1,Batch-Impute,0.14112145215641259,0.048268390023823056
5,0.1,OT-Impute,0.18105680622150883,0.06474649487381899
5,0.1,OT-Rand,0.16299485886430076,0.05830842080222059
5,0.2,Batch-Impute,0.12167213972037069,0.041411942174032726
5,0.2,OT-Impute,0.18105680622150883,0.06474649487381899
5,0.2,OT-Rand,0.14503164841675434,0.051858013992827114
5,0.3,Batch-Impute,0.10336548821761082,0.03510122349607315
5,0.3,OT-Impute,0.18105680622150883,0.06474649487381899
5,0.3,OT-Rand,0.12688970598363764,0.045344549932052294
6,0.1,Batch-Impute,0.14314913883217964,0.04894032177419868
6,0.1,OT-Impute,0.18319620214830226,0.06532868970954561
6,0.1,OT-Rand,0.1648872147869377,0.05878231182347299
6,0.2,Batch-Impute,0.12439397430812212,0.04250984494297661
6,0.2,OT-Impute,0.18319620214830226,0.06532868970954561
6,0.2,OT-Rand,0.14625835633347356,0.05206929669415221
6,0.3,Batch-Impute,0.10628807264572947,0.036169171743244154
6,0.3,OT-Impute,0.18319620214830226,0.06532868970954561
6,0.3,OT-Rand,0.128060141659598,0.04549364689464486
7,0.1,Batch-Impute,0.1451685305316642,0.04949308933601476
7,0.1,OT-Impute,0.18465131499968404,0.06520940797546182
7,0.1,OT-Rand,0.16614587688975818,0.058662855204291695
7,0.2,Batch-Impute,0.1268401875573263,0.04310558981016721
7,0.2,OT-Impute,0.18465131499968404,0.06520940797546182
7,0.2,OT-Rand,0.14786132529102414,0.05229782457410812
7,0.3,Batch-Impute,0.10934841757112682,0.03712626536489647
7,0.3,OT-Impute,0.18465131499968404,0.06520940797546182
7,0.3,OT-Rand,0.12948612443749416,0.04583537592851293
