,,,MAE,MSE
0,0.1,Batch-Impute,0.14827287729291336,0.05876860052084269
0,0.1,OT-Impute,0.1927504762638443,0.08029448997639974
0,0.1,OT-Rand,0.1733011199286993,0.07222350160207205
0,0.2,Batch-Impute,0.12487610536242266,0.04892161842665427
0,0.2,OT-Impute,0.1927504762638443,0.08029448997639974
0,0.2,OT-Rand,0.15389180761605561,0.06396870737987713
0,0.3,Batch-Impute,0.10246530891614881,0.039904732528349425
0,0.3,OT-Impute,0.1927504762638443,0.08029448997639974
0,0.3,OT-Rand,0.13536766949094936,0.056545071287742846
1,0.1,Batch-Impute,0.1573348371851904,0.06407252991685396
1,0.1,OT-Impute,0.19990852763702235,0.08453298339933146
1,0.1,OT-Rand,0.17999438064100468,0.07622568648308874
1,0.2,Batch-Impute,0.1333600820110776,0.05395475498511555
1,0.2,OT-Impute,0.19990852763702235,0.08453298339933146
1,0.2,OT-Rand,0.1603744195659465,0.06797257440157137
1,0.3,Batch-Impute,0.1113824921451159,0.044953583256897627
1,0.3,OT-Impute,0.19990852763702235,0.08453298339933146
1,0.3,OT-Rand,0.13979312249658432,0.05905222816378813
2,0.1,Batch-Impute,0.1678116437347699,0.07075234845167888
2,0.1,OT-Impute,0.20953350913496346,0.09072527611338886
2,0.1,OT-Rand,0.18860725180559545,0.08164203585163415
2,0.2,Batch-Impute,0.14408672911214615,0.060903783178050626
2,0.2,OT-Impute,0.20953350913496346,0.09072527611338886
2,0.2,OT-Rand,0.16766319585751,0.07253697987949209
2,0.3,Batch-Impute,0.12133881860358019,0.05104377368747367
2,0.3,OT-Impute,0.20953350913496346,0.09072527611338886
2,0.3,OT-Rand,0.14672149573210153,0.06347896139276595
3,0.1,Batch-Impute,0.17939241058578878,0.07878683429291046
3,0.1,OT-Impute,0.21969286483714925,0.09786162442215769
3,0.1,OT-Rand,0.197829675803269,0.08811195902434303
3,0.2,Batch-Impute,0.15491799422536143,0.06826616934679863
3,0.2,OT-Impute,0.21969286483714925,0.09786162442215769
3,0.2,OT-Rand,0.17605399959124637,0.07846299463222306
3,0.3,Batch-Impute,0.13186652833978912,0.05819906380922952
3,0.3,OT-Impute,0.21969286483714925,0.09786162442215769
3,0.3,OT-Rand,0.15417673775593563,0.06871471443428816
4,0.1,Batch-Impute,0.19142129706351835,0.08731704301046947
4,0.1,OT-Impute,0.23157980279176898,0.1064816922345995
4,0.1,OT-Rand,0.20839807110542072,0.09581243047042781
4,0.2,Batch-Impute,0.16675971682057433,0.07642002083497387
4,0.2,OT-Impute,0.23157980279176898,0.1064816922345995
4,0.2,OT-Rand,0.1851965941825024,0.08498842273505591
4,0.3,Batch-Impute,0.1436444511333674,0.06631737484515675
4,0.3,OT-Impute,0.23157980279176898,0.1064816922345995
4,0.3,OT-Rand,0.16203814596638688,0.07448228707727653
5,0.1,Batch-Impute,0.2028241019893126,0.0957333898159546
5,0.1,OT-Impute,0.2423920306338034,0.11499068372736714
5,0.1,OT-Rand,0.21813038657615275,0.10343107782236251
5,0.2,Batch-Impute,0.17834565270291627,0.08493565897596726
5,0.2,OT-Impute,0.2423920306338034,0.11499068372736714
5,0.2,OT-Rand,0.19430643338633252,0.0922937779907625
5,0.3,Batch-Impute,0.1541564257403227,0.07405964908569464
5,0.3,OT-Impute,0.2423920306338034,0.11499068372736714
5,0.3,OT-Rand,0.17008932808164445,0.08075415059317416
6,0.1,Batch-Impute,0.2139152758542189,0.10372596056140337
6,0.1,OT-Impute,0.2545784071655737,0.12406371075054279
6,0.1,OT-Rand,0.22909490334343793,0.11161631063533244
6,0.2,Batch-Impute,0.1881611041265458,0.09187185077801621
6,0.2,OT-Impute,0.2545784071655737,0.12406371075054279
6,0.2,OT-Rand,0.20363726855799744,0.09920538620358212
6,0.3,Batch-Impute,0.163353069537407,0.08047076093753329
6,0.3,OT-Impute,0.2545784071655737,0.12406371075054279
6,0.3,OT-Rand,0.1780976812435284,0.08670661592668581
7,0.1,Batch-Impute,0.2194248543010051,0.1076129859410497
7,0.1,OT-Impute,0.2620886706952465,0.12870248917950453
7,0.1,OT-Rand,0.23591324468661298,0.11586149563758104
7,0.2,Batch-Impute,0.19333445663550225,0.09526757848615079
7,0.2,OT-Impute,0.2620886706952465,0.12870248917950453
7,0.2,OT-Rand,0.2097189015532929,0.10307621650469821
7,0.3,Batch-Impute,0.16801182454131317,0.08322521991120138
7,0.3,OT-Impute,0.2620886706952465,0.12870248917950453
7,0.3,OT-Rand,0.18346360973199188,0.0900852580772358
