DropoutNoise,Run,MAE
0.0,1,0.14413463449178698
0.0,2,0.14437817008151613
0.0,3,0.14389361293911335
0.0,4,0.1444610558817654
0.0,5,0.14416441623838733
1e-05,1,0.1444049800908119
1e-05,2,0.14443388966892057
1e-05,3,0.14440393683246316
1e-05,4,0.1438068914417751
1e-05,5,0.14439757229605582
5e-05,1,0.14464152708690653
5e-05,2,0.1445561482823893
5e-05,3,0.14431367250555852
5e-05,4,0.14456766455385742
5e-05,5,0.14410539869175548
0.0001,1,0.14377249447381332
0.0001,2,0.14496881590217442
0.0001,3,0.14406019061251935
0.0001,4,0.1446601852370227
0.0001,5,0.1441246043446134
0.0005,1,0.14433661252667956
0.0005,2,0.14435048616948584
0.0005,3,0.144472935916031
0.0005,4,0.14366670097734446
0.0005,5,0.14446213779931463
0.001,1,0.14438030533635404
0.001,2,0.14431833562197646
0.001,3,0.1444507090904039
0.001,4,0.1443819404644016
0.001,5,0.14396168372498977
0.005,1,0.14391797312241775
0.005,2,0.14447807498281257
0.005,3,0.14400257882424322
0.005,4,0.1442646386384905
0.005,5,0.14451867473183427
0.01,1,0.14442663180779391
0.01,2,0.14463690570867319
0.01,3,0.14437956189871443
0.01,4,0.14455239916181392
0.01,5,0.1445470463515975
0.05,1,0.147117230690707
0.05,2,0.14743878887048842
0.05,3,0.14720385644044995
0.05,4,0.1471983635680417
0.05,5,0.1467104782562889
0.1,1,0.15003637032099149
0.1,2,0.1503641191235579
0.1,3,0.1504227788457747
0.1,4,0.150841880367731
0.1,5,0.15088072537071173
