DropoutNoise,Run,MAE
0.0,1,0.15260608607821455
0.0,2,0.15208456804582968
0.0,3,0.1528594095800598
0.0,4,0.15298665763715424
0.0,5,0.1525269376298937
0.0,6,0.15301223209732223
0.0,7,0.1521998586911444
0.0,8,0.1526419032829643
0.0,9,0.15227643272933744
0.0,10,0.15255840724446318
1e-05,1,0.15197415824086677
1e-05,2,0.15263156110101758
1e-05,3,0.15205512188356526
1e-05,4,0.15258773760262706
1e-05,5,0.1524827651849137
1e-05,6,0.15226736371839036
1e-05,7,0.1527513605061231
1e-05,8,0.15255559409309738
1e-05,9,0.1537578081295797
1e-05,10,0.15285623638111745
5e-05,1,0.1522317741779655
5e-05,2,0.1525170259596355
5e-05,3,0.1533199532792085
5e-05,4,0.15255148737384644
5e-05,5,0.15296462117277634
5e-05,6,0.15266032749451908
5e-05,7,0.15303833731479496
5e-05,8,0.15235366380300147
5e-05,9,0.15221141740541003
5e-05,10,0.15248116533548092
0.0001,1,0.15286157932096384
0.0001,2,0.15347282422563538
0.0001,3,0.15294743485454582
0.0001,4,0.15240164580279092
0.0001,5,0.15268824749517196
0.0001,6,0.15249621787887874
0.0001,7,0.15277574138653782
0.0001,8,0.15267916388992644
0.0001,9,0.15283828930442836
0.0001,10,0.15290334807351086
0.0005,1,0.15284447487053185
0.0005,2,0.15250892913362973
0.0005,3,0.1525751261966863
0.0005,4,0.15322617233265481
0.0005,5,0.15219812966041604
0.0005,6,0.1520093109564463
0.0005,7,0.15257580403476245
0.0005,8,0.15295420313609262
0.0005,9,0.15238727261789137
0.0005,10,0.15251692189849655
0.001,1,0.15282468380915432
0.001,2,0.15262633767543243
0.001,3,0.15293532819625572
0.001,4,0.15333486326634033
0.001,5,0.15282100031553406
0.001,6,0.1521760460948346
0.001,7,0.15285925139009446
0.001,8,0.1524462073669402
0.001,9,0.15307621817050346
0.001,10,0.15226729201365957
0.005,1,0.15249626989176343
0.005,2,0.15252750999894724
0.005,3,0.15244072432711014
0.005,4,0.15254517589254948
0.005,5,0.15322838411530848
0.005,6,0.15245264028394054
0.005,7,0.15259125941541912
0.005,8,0.1530142032676436
0.005,9,0.15260482018125246
0.005,10,0.1526040026648998
0.01,1,0.15340727644802749
0.01,2,0.15340687872916572
0.01,3,0.15276777813766354
0.01,4,0.15261603481631142
0.01,5,0.15299986704239654
0.01,6,0.1535798831901461
0.01,7,0.1527517480226903
0.01,8,0.15237024722096945
0.01,9,0.15304071945875009
0.01,10,0.1533550850689163
0.05,1,0.1556185263525648
0.05,2,0.15520913477856332
0.05,3,0.15596580280966912
0.05,4,0.15486548643519366
0.05,5,0.15607770678906485
0.05,6,0.15653639146238768
0.05,7,0.15510467812840043
0.05,8,0.15512135885734382
0.05,9,0.15501487262289956
0.05,10,0.15581346319127193
0.1,1,0.15974232347735284
0.1,2,0.1586956762964548
0.1,3,0.15919535654206743
0.1,4,0.1592179281756822
0.1,5,0.15863491760594156
0.1,6,0.15852223353507564
0.1,7,0.15922366417018755
0.1,8,0.15897555710482728
0.1,9,0.16011693282129338
0.1,10,0.15877164178858938
0.2,1,0.16318271239772333
0.2,2,0.16378005179304628
0.2,3,0.16312908161419695
0.2,4,0.16391099961997652
0.2,5,0.16365736765686917
0.2,6,0.16329056747685755
0.2,7,0.16342860633265116
0.2,8,0.1628022464096673
0.2,9,0.16368161994920266
0.2,10,0.16332204377345827
0.3,1,0.1654910178602285
0.3,2,0.1663762106749251
0.3,3,0.16642284828415588
0.3,4,0.16589809771263467
0.3,5,0.16610467310700605
0.3,6,0.165508149244116
0.3,7,0.1660256972292974
0.3,8,0.1659159726823753
0.3,9,0.16511372976668873
0.3,10,0.166166798340804
0.5,1,0.16770300303785854
0.5,2,0.16783964842953028
0.5,3,0.167089336097382
0.5,4,0.16785794233279455
0.5,5,0.16712428525963507
0.5,6,0.1674586179990813
0.5,7,0.16767301989288977
0.5,8,0.1670345715996681
0.5,9,0.16818964116042048
0.5,10,0.16835145936816465
0.7,1,0.16902340692886447
0.7,2,0.1680818686415335
0.7,3,0.16868940804876897
0.7,4,0.16901633618425288
0.7,5,0.16866684780820274
0.7,6,0.16847520075774772
0.7,7,0.16900699169491054
0.7,8,0.16807604050432234
0.7,9,0.16788745759372098
0.7,10,0.16858853214743472
1.0,1,0.16939973378334353
1.0,2,0.16830793594575166
1.0,3,0.16815016582210282
1.0,4,0.1690391351867081
1.0,5,0.1684307499990955
1.0,6,0.1688076492986496
1.0,7,0.16933475318259114
1.0,8,0.16875960310659194
1.0,9,0.16921600503151749
1.0,10,0.16943270217662681
