DropoutNoise,Run,MAE
0.0,1,0.15135437870913973
0.0,2,0.151961224730166
0.0,3,0.1518648992438475
0.0,4,0.15212976381645346
0.0,5,0.15125158285198415
1e-05,1,0.15160348076667104
1e-05,2,0.15182545025063635
1e-05,3,0.15167248098091207
1e-05,4,0.1513970693882084
1e-05,5,0.1518650991360468
5e-05,1,0.1517399550765156
5e-05,2,0.15154573342876096
5e-05,3,0.15161050237852752
5e-05,4,0.15140434553307427
5e-05,5,0.1519560664693201
0.0001,1,0.15188227368849697
0.0001,2,0.15222088317755472
0.0001,3,0.15168602315805496
0.0001,4,0.15165849495616515
0.0001,5,0.15176322261587272
0.0005,1,0.15144289785833986
0.0005,2,0.1516834937186781
0.0005,3,0.15184173706988588
0.0005,4,0.1520117578953462
0.0005,5,0.15159430271197263
0.001,1,0.15165048007467058
0.001,2,0.15148106338418457
0.001,3,0.15154767714282288
0.001,4,0.1515944272520153
0.001,5,0.15190879611967403
0.005,1,0.1519443017927132
0.005,2,0.15165550541257639
0.005,3,0.15143781981381207
0.005,4,0.15194401898864177
0.005,5,0.1516467376191004
0.01,1,0.15154663274134378
0.01,2,0.15159778464114004
0.01,3,0.1518806484440971
0.01,4,0.15225112062923127
0.01,5,0.15176410652690323
0.05,1,0.15471825677539897
0.05,2,0.15433605634189476
0.05,3,0.15443491392464842
0.05,4,0.15421030719624182
0.05,5,0.15375852484733835
0.1,1,0.15791231558329052
0.1,2,0.15783204355448197
0.1,3,0.15802954473096664
0.1,4,0.15794853266474723
0.1,5,0.1580402711612996
