k,BudgetFraction,MAE,Runtime,UniqueQueried,AvgStdQueried
1,0.1,0.13278109522072473,85.33734345436096,10874,0.1502642499991499
2,0.1,0.13195820343929632,163.2708649635315,10874,0.16311754639744488
3,0.1,0.13160222702760294,238.4385244846344,10872,0.17081024473569525
4,0.1,0.13093751984542906,289.64178466796875,10872,0.1764273572826557
5,0.1,0.1311363753577273,451.7582948207855,10870,0.17998715154313186
6,0.1,0.13074882921194625,443.9691958427429,10872,0.1832514471517395
7,0.1,0.1305670217870323,595.3983645439148,10871,0.18564364518308873
8,0.1,0.13054162683028933,714.6275844573975,10872,0.18799592044269592
9,0.1,0.13024172382347984,655.6664006710052,10872,0.18983927026448316
10,0.1,0.13008167828591008,708.1357088088989,10870,0.19148999761132118
11,0.1,0.13006378388047116,820.2189824581146,10868,0.19264328393611427
12,0.1,0.13024250899644532,854.001549243927,10872,0.19425881650981017
13,0.1,0.12969029032507465,980.143025636673,10868,0.1958457194786713
14,0.1,0.1295711274295923,3586.588758468628,10864,0.1966656188662297
15,0.1,0.13002742972823003,1035.790103673935,10860,0.19792259049723793
1,0.2,0.11687423445377368,68.78862237930298,21749,0.1347305047314409
2,0.2,0.11510329273300055,128.74414563179016,21748,0.14912600179373176
3,0.2,0.11381798555723677,221.9703233242035,21747,0.1570078136035675
4,0.2,0.11358880454702869,313.0451514720917,21748,0.16266582297067997
5,0.2,0.11362606232734353,496.9040174484253,21745,0.16636163134364068
6,0.2,0.11301817039035607,687.6056458950043,21744,0.16973035989035723
7,0.2,0.1124331344867817,780.3574705123901,21749,0.17277507207880283
8,0.2,0.11223465045495042,982.9850244522095,21744,0.17514011281302522
9,0.2,0.11226700005666868,556.6096947193146,21744,0.17721259102939926
10,0.2,0.11187216910308712,621.8265769481659,21740,0.17895383270622905
11,0.2,0.11168606016250594,9380.157678842545,21747,0.1804950023688917
12,0.2,0.11160684574730215,778.3931512832642,21744,0.18220283149117278
13,0.2,0.11130896704845118,818.1414067745209,21749,0.1832173586448889
14,0.2,0.11151525632200812,881.8743476867676,21742,0.18447305231597652
15,0.2,0.11103888012882997,960.8597946166992,21735,0.18551205435527568
1,0.3,0.1010266006478193,64.4414529800415,32624,0.12472794278956116
2,0.3,0.09889523773149705,140.18266034126282,32624,0.13964147821179537
3,0.3,0.09804086494110398,206.4605257511139,32622,0.14799464513348828
4,0.3,0.09679629173339142,278.056391954422,32624,0.15360951119121452
5,0.3,0.0966807511815442,319.33909034729004,32620,0.1580515968646372
6,0.3,0.09595549254141,406.05129885673523,32622,0.16135162796934552
7,0.3,0.09566347127245171,460.4428062438965,32620,0.16411054370039496
8,0.3,0.0950523744551269,524.8879196643829,32624,0.16658889550291733
9,0.3,0.09477657240755472,10387.92221045494,32616,0.16846210954833993
10,0.3,0.09466387317808936,682.2079598903656,32620,0.17051794804565312
11,0.3,0.09447816357574913,797.7437660694122,32615,0.1722960920859295
12,0.3,0.09395535238527332,917.8297438621521,32616,0.17389152506838146
13,0.3,0.09373383744075804,3939.1504650115967,32617,0.17513602182702973
14,0.3,0.09359373478209336,1143.0159556865692,32620,0.17661429673075918
15,0.3,0.09368354624972962,1127.6468369960785,32610,0.17770534231623633
