k,BudgetFraction,MAE,Runtime,UniqueQueried,AvgStdQueried
1,0.1,0.14036636107354775,71.29209518432617,10874,0.150111611082331
2,0.1,0.13759675174121364,145.22042846679688,10874,0.1631368866202845
3,0.1,0.1368794253263124,223.2277147769928,10872,0.17116176345525522
4,0.1,0.13599504841054655,300.2539703845978,10872,0.17620993244583114
5,0.1,0.13600178519512884,328.5698764324188,10870,0.17966948269836203
6,0.1,0.13539792690905095,418.66943621635437,10872,0.18282130081234316
7,0.1,0.13509782959494449,503.0017285346985,10871,0.18548043504271175
8,0.1,0.13492491174314733,578.9341585636139,10872,0.18764412054194618
9,0.1,0.13488883623155906,598.5498025417328,10872,0.1893238743707183
10,0.1,0.13482297075283778,646.7160062789917,10870,0.1916037286139016
11,0.1,0.13471872652309522,711.3122274875641,10868,0.19274329504149768
12,0.1,0.1343505985403967,784.0590755939484,10872,0.19406373295985366
13,0.1,0.13416424235598906,847.7889752388,10868,0.19561433546530543
14,0.1,0.1342166531161221,910.9802966117859,10864,0.19717173395695434
15,0.1,0.1342565983761533,984.9635365009308,10860,0.197871390357479
1,0.2,0.12319234658376683,66.90356731414795,21749,0.13447007921272408
2,0.2,0.11939020993282547,131.99649357795715,21748,0.14874277712228098
3,0.2,0.11774384104566182,197.7747209072113,21747,0.1569058278729444
4,0.2,0.11696810704017087,262.46896862983704,21748,0.16238895398504985
5,0.2,0.11598270047455252,333.8748016357422,21745,0.1664464690566752
6,0.2,0.11568268984126821,391.6975908279419,21744,0.1697060730453371
7,0.2,0.11527693006036223,459.6297206878662,21749,0.17250714185055524
8,0.2,0.1147413874718728,525.5729434490204,21744,0.17507818661725466
9,0.2,0.11500312022103612,577.2205700874329,21744,0.1767601946900159
10,0.2,0.11475473636189588,644.758029460907,21740,0.17867075285220485
11,0.2,0.1138584029737888,711.6813707351685,21747,0.1805848596038566
12,0.2,0.11423491946839676,782.2428269386292,21744,0.1817584236812029
13,0.2,0.11316202476024868,842.9890902042389,21749,0.18299063682137612
14,0.2,0.11311499722460207,930.464118719101,21742,0.18458461704922377
15,0.2,0.11317340855100207,975.2781891822815,21735,0.1857630648784114
1,0.3,0.10707602546910484,83.81111526489258,32624,0.1242242930526387
2,0.3,0.10206534638035768,132.22340154647827,32624,0.139035710576961
3,0.3,0.10034773714238107,188.6997001171112,32622,0.1476575200942648
4,0.3,0.09828611962335461,255.34588027000427,32624,0.15321577975860884
5,0.3,0.0978196508606434,320.1591079235077,32620,0.15747877218429357
6,0.3,0.09749365438377226,382.3016867637634,32622,0.16105289436210937
7,0.3,0.09687254004803958,436.308043718338,32620,0.16378981573794502
8,0.3,0.09646114956195206,431.36367177963257,32624,0.1662411415879138
9,0.3,0.09607459252786464,414.62991762161255,32616,0.16865029101565907
10,0.3,0.09558366417003769,482.46578311920166,32620,0.1705186625225254
11,0.3,0.09527905679052401,519.3292090892792,32615,0.17205992328130337
12,0.3,0.09463257294015862,420.5957660675049,32616,0.17349782559451232
13,0.3,0.09481852609115765,456.21997141838074,32617,0.17506811025011085
14,0.3,0.09448162737380908,495.11044430732727,32620,0.17655220806406566
15,0.3,0.0944418562593363,563.496705532074,32610,0.1774461253555374
