Run,MissingRate(%),Method,MAE
0,10,Mean,0.1354
0,10,KNN,0.1141
0,10,MICE,0.1124
0,10,OT-Impute,0.1551
0,10,OT-Rand,0.1403
0,10,Batch-Impute,0.1125
0,20,Mean,0.138
0,20,KNN,0.128
0,20,MICE,0.1174
0,20,OT-Impute,0.1607
0,20,OT-Rand,0.1453
0,20,Batch-Impute,0.1184
0,30,Mean,0.1389
0,30,KNN,0.1255
0,30,MICE,0.1279
0,30,OT-Impute,0.1637
0,30,OT-Rand,0.1476
0,30,Batch-Impute,0.1222
0,40,Mean,0.1406
0,40,KNN,0.1161
0,40,MICE,0.1298
0,40,OT-Impute,0.168
0,40,OT-Rand,0.1507
0,40,Batch-Impute,0.126
0,50,Mean,0.1416
0,50,KNN,0.1072
0,50,MICE,0.1424
0,50,OT-Impute,0.1703
0,50,OT-Rand,0.1525
0,50,Batch-Impute,0.1289
0,60,Mean,0.1421
0,60,KNN,0.1031
0,60,MICE,0.1422
0,60,OT-Impute,0.172
0,60,OT-Rand,0.1548
0,60,Batch-Impute,0.1315
0,70,Mean,0.1411
0,70,KNN,0.099
0,70,MICE,0.1426
0,70,OT-Impute,0.1726
0,70,OT-Rand,0.1554
0,70,Batch-Impute,0.1328
0,80,Mean,0.1395
0,80,KNN,0.1028
0,80,MICE,0.139
0,80,OT-Impute,0.1735
0,80,OT-Rand,0.1561
0,80,Batch-Impute,0.1341
1,10,Mean,0.1354
1,10,KNN,0.1141
1,10,MICE,0.1124
1,10,OT-Impute,0.1556
1,10,OT-Rand,0.1402
1,10,Batch-Impute,0.1126
1,20,Mean,0.138
1,20,KNN,0.128
1,20,MICE,0.1174
1,20,OT-Impute,0.1616
1,20,OT-Rand,0.145
1,20,Batch-Impute,0.1184
1,30,Mean,0.1389
1,30,KNN,0.1255
1,30,MICE,0.1279
1,30,OT-Impute,0.1634
1,30,OT-Rand,0.147
1,30,Batch-Impute,0.1223
1,40,Mean,0.1406
1,40,KNN,0.1161
1,40,MICE,0.1298
1,40,OT-Impute,0.1678
1,40,OT-Rand,0.1505
1,40,Batch-Impute,0.126
1,50,Mean,0.1416
1,50,KNN,0.1072
1,50,MICE,0.1424
1,50,OT-Impute,0.1703
1,50,OT-Rand,0.1529
1,50,Batch-Impute,0.1291
1,60,Mean,0.1421
1,60,KNN,0.1031
1,60,MICE,0.1422
1,60,OT-Impute,0.1723
1,60,OT-Rand,0.1547
1,60,Batch-Impute,0.1316
1,70,Mean,0.1411
1,70,KNN,0.099
1,70,MICE,0.1426
1,70,OT-Impute,0.1727
1,70,OT-Rand,0.1556
1,70,Batch-Impute,0.1328
1,80,Mean,0.1395
1,80,KNN,0.1028
1,80,MICE,0.139
1,80,OT-Impute,0.1734
1,80,OT-Rand,0.156
1,80,Batch-Impute,0.134
2,10,Mean,0.1354
2,10,KNN,0.1141
2,10,MICE,0.1124
2,10,OT-Impute,0.1562
2,10,OT-Rand,0.1407
2,10,Batch-Impute,0.1127
2,20,Mean,0.138
2,20,KNN,0.128
2,20,MICE,0.1174
2,20,OT-Impute,0.1604
2,20,OT-Rand,0.145
2,20,Batch-Impute,0.1185
2,30,Mean,0.1389
2,30,KNN,0.1255
2,30,MICE,0.1279
2,30,OT-Impute,0.1641
2,30,OT-Rand,0.1476
2,30,Batch-Impute,0.1223
2,40,Mean,0.1406
2,40,KNN,0.1161
2,40,MICE,0.1298
2,40,OT-Impute,0.1674
2,40,OT-Rand,0.1503
2,40,Batch-Impute,0.1262
2,50,Mean,0.1416
2,50,KNN,0.1072
2,50,MICE,0.1424
2,50,OT-Impute,0.1702
2,50,OT-Rand,0.1531
2,50,Batch-Impute,0.129
2,60,Mean,0.1421
2,60,KNN,0.1031
2,60,MICE,0.1422
2,60,OT-Impute,0.1716
2,60,OT-Rand,0.1547
2,60,Batch-Impute,0.1317
2,70,Mean,0.1411
2,70,KNN,0.099
2,70,MICE,0.1426
2,70,OT-Impute,0.1728
2,70,OT-Rand,0.1551
2,70,Batch-Impute,0.1328
2,80,Mean,0.1395
2,80,KNN,0.1028
2,80,MICE,0.139
2,80,OT-Impute,0.1734
2,80,OT-Rand,0.1561
2,80,Batch-Impute,0.1344
3,10,Mean,0.1354
3,10,KNN,0.1141
3,10,MICE,0.1124
3,10,OT-Impute,0.1561
3,10,OT-Rand,0.1398
3,10,Batch-Impute,0.1131
3,20,Mean,0.138
3,20,KNN,0.128
3,20,MICE,0.1174
3,20,OT-Impute,0.1606
3,20,OT-Rand,0.1444
3,20,Batch-Impute,0.1186
3,30,Mean,0.1389
3,30,KNN,0.1255
3,30,MICE,0.1279
3,30,OT-Impute,0.1639
3,30,OT-Rand,0.1468
3,30,Batch-Impute,0.1219
3,40,Mean,0.1406
3,40,KNN,0.1161
3,40,MICE,0.1298
3,40,OT-Impute,0.1674
3,40,OT-Rand,0.1509
3,40,Batch-Impute,0.1262
3,50,Mean,0.1416
3,50,KNN,0.1072
3,50,MICE,0.1424
3,50,OT-Impute,0.1698
3,50,OT-Rand,0.1532
3,50,Batch-Impute,0.1288
3,60,Mean,0.1421
3,60,KNN,0.1031
3,60,MICE,0.1422
3,60,OT-Impute,0.172
