Run,MissingRate(%),Method,MAE
0,10,Mean,0.1474
0,10,KNN,0.1211
0,10,MICE,0.1234
0,10,OT-Rand,0.1499
0,10,Batch-Impute,0.1232
0,20,Mean,0.1494
0,20,KNN,0.1398
0,20,MICE,0.1304
0,20,OT-Impute,0.1712
0,20,OT-Rand,0.154
0,20,Batch-Impute,0.1282
0,30,Mean,0.1484
0,30,KNN,0.1415
0,30,MICE,0.1408
0,30,OT-Impute,0.1739
0,30,OT-Rand,0.1562
0,30,Batch-Impute,0.1306
0,40,Mean,0.1478
0,40,KNN,0.1414
0,40,MICE,0.1411
0,40,OT-Impute,0.1758
0,40,OT-Rand,0.1577
0,40,Batch-Impute,0.1327
0,50,Mean,0.1484
0,50,KNN,0.1401
0,50,MICE,0.1417
0,50,OT-Impute,0.1784
0,50,OT-Rand,0.1604
0,50,Batch-Impute,0.1358
0,60,Mean,0.1485
0,60,KNN,0.141
0,60,MICE,0.1419
0,60,OT-Impute,0.1804
0,60,OT-Rand,0.1625
0,60,Batch-Impute,0.1379
0,70,Mean,0.1484
0,70,KNN,0.1401
0,70,MICE,0.1455
0,70,OT-Impute,0.1825
0,70,OT-Rand,0.1645
0,70,Batch-Impute,0.1396
0,80,Mean,0.1485
0,80,KNN,0.1421
0,80,MICE,0.1478
0,80,OT-Impute,0.1842
0,80,OT-Rand,0.1657
0,80,Batch-Impute,0.1419
1,10,Mean,0.1479
1,10,KNN,0.1207
1,10,MICE,0.124
1,10,OT-Impute,0.1667
1,10,OT-Rand,0.1496
1,10,Batch-Impute,0.1235
1,20,Mean,0.149
1,20,KNN,0.1383
1,20,MICE,0.1291
1,20,OT-Impute,0.1705
1,20,OT-Rand,0.1538
1,20,Batch-Impute,0.1276
1,30,Mean,0.1483
1,30,KNN,0.1417
1,30,MICE,0.1404
1,30,OT-Impute,0.1738
1,30,OT-Rand,0.1561
1,30,Batch-Impute,0.1306
1,40,Mean,0.1482
1,40,KNN,0.1422
1,40,MICE,0.1417
1,40,OT-Impute,0.1761
1,40,OT-Rand,0.1585
1,40,Batch-Impute,0.1331
1,50,Mean,0.1483
1,50,KNN,0.141
1,50,MICE,0.1423
1,50,OT-Impute,0.1782
1,50,OT-Rand,0.1604
1,50,Batch-Impute,0.1355
1,60,Mean,0.1483
1,60,KNN,0.1404
1,60,MICE,0.145
1,60,OT-Impute,0.1805
1,60,OT-Rand,0.1621
1,60,Batch-Impute,0.1376
1,70,Mean,0.1484
1,70,KNN,0.1406
1,70,MICE,0.1454
1,70,OT-Impute,0.1828
1,70,OT-Rand,0.1641
1,70,Batch-Impute,0.1396
1,80,Mean,0.1487
1,80,KNN,0.1428
1,80,MICE,0.1483
1,80,OT-Impute,0.1845
1,80,OT-Rand,0.166
1,80,Batch-Impute,0.142
2,10,Mean,0.1496
2,10,KNN,0.121
2,10,MICE,0.1259
2,10,OT-Impute,0.1683
2,10,OT-Rand,0.1518
2,10,Batch-Impute,0.125
2,20,Mean,0.1485
2,20,KNN,0.1397
2,20,MICE,0.1289
2,20,OT-Impute,0.1699
2,20,OT-Rand,0.1534
2,20,Batch-Impute,0.1275
2,30,Mean,0.1481
2,30,KNN,0.1406
2,30,MICE,0.1399
2,30,OT-Impute,0.1729
2,30,OT-Rand,0.1554
2,30,Batch-Impute,0.1301
2,40,Mean,0.149
2,40,KNN,0.1424
2,40,MICE,0.1409
2,40,OT-Impute,0.1766
2,40,OT-Rand,0.1585
2,40,Batch-Impute,0.1336
2,50,Mean,0.1482
2,50,KNN,0.1408
2,50,MICE,0.1407
2,50,OT-Impute,0.1781
2,50,OT-Rand,0.1604
2,50,Batch-Impute,0.1353
2,60,Mean,0.1484
2,60,KNN,0.1411
2,60,MICE,0.1426
2,60,OT-Impute,0.1809
2,60,OT-Rand,0.1624
2,60,Batch-Impute,0.1377
2,70,Mean,0.1484
2,70,KNN,0.1404
2,70,MICE,0.1459
2,70,OT-Impute,0.1826
2,70,OT-Rand,0.1644
2,70,Batch-Impute,0.1401
2,80,Mean,0.1483
2,80,KNN,0.1423
2,80,MICE,0.1489
2,80,OT-Impute,0.1843
2,80,OT-Rand,0.1662
2,80,Batch-Impute,0.1417
3,10,Mean,0.149
3,10,KNN,0.1232
3,10,MICE,0.1248
3,10,OT-Impute,0.1683
3,10,OT-Rand,0.1511
3,10,Batch-Impute,0.1251
3,20,Mean,0.1486
3,20,KNN,0.1383
3,20,MICE,0.1292
3,20,OT-Impute,0.1704
3,20,OT-Rand,0.1536
3,20,Batch-Impute,0.1277
3,30,Mean,0.1484
3,30,KNN,0.1416
3,30,MICE,0.1415
3,30,OT-Impute,0.1738
3,30,OT-Rand,0.1558
3,30,Batch-Impute,0.1306
3,40,Mean,0.1487
3,40,KNN,0.1413
3,40,MICE,0.1413
3,40,OT-Impute,0.1759
3,40,OT-Rand,0.1587
3,40,Batch-Impute,0.1335
3,50,Mean,0.1486
3,50,KNN,0.1409
3,50,MICE,0.142
3,50,OT-Impute,0.179
3,50,OT-Rand,0.1604
3,50,Batch-Impute,0.1358
3,60,Mean,0.1489
3,60,KNN,0.1408
3,60,MICE,0.1435
3,60,OT-Impute,0.181
3,60,OT-Rand,0.1628
3,60,Batch-Impute,0.1382
3,70,Mean,0.1489
3,70,KNN,0.1409
3,70,MICE,0.1457
3,70,OT-Impute,0.1827
3,70,OT-Rand,0.1645
3,70,Batch-Impute,0.1401
3,80,Mean,0.1483
3,80,KNN,0.1424
3,80,MICE,0.1468
3,80,OT-Impute,0.1842
3,80,OT-Rand,0.1658
3,80,Batch-Impute,0.1417
4,10,Mean,0.1476
4,10,KNN,0.1206
4,10,MICE,0.1241
4,10,OT-Impute,0.1659
4,10,OT-Rand,0.1498
4,10,Batch-Impute,0.123
4,20,Mean,0.1487
4,20,KNN,0.1379
4,20,MICE,0.1294
4,20,OT-Impute,0.1705
4,20,OT-Rand,0.1529
4,20,Batch-Impute,0.128
4,30,Mean,0.1486
4,30,KNN,0.142
4,30,MICE,0.1409
4,30,OT-Impute,0.1735
4,30,OT-Rand,0.1564
4,30,Batch-Impute,0.1305
4,40,Mean,0.1484
4,40,KNN,0.141
4,40,MICE,0.1421
4,40,OT-Impute,0.1761
4,40,OT-Rand,0.1585
4,40,Batch-Impute,0.1331
4,50,Mean,0.1484
4,50,KNN,0.1412
4,50,MICE,0.1414
4,50,OT-Impute,0.1786
4,50,OT-Rand,0.1604
4,50,Batch-Impute,0.1354
4,60,Mean,0.1484
4,60,KNN,0.1399
4,60,MICE,0.145
4,60,OT-Impute,0.1804
4,60,OT-Rand,0.1625
4,60,Batch-Impute,0.1374
4,70,Mean,0.1485
4,70,KNN,0.141
4,70,MICE,0.1482
4,70,OT-Impute,0.1828
4,70,OT-Rand,0.1644
4,70,Batch-Impute,0.1401
4,80,Mean,0.1485
4,80,KNN,0.1421
4,80,MICE,0.1481
4,80,OT-Impute,0.1846
4,80,OT-Rand,0.166
4,80,Batch-Impute,0.1418
