Run,MissingRate(%),Method,MAE
0,10,Mean,0.1322
0,10,KNN,0.104
0,10,MICE,0.1094
0,10,OT-Impute,0.1516
0,10,OT-Rand,0.137
0,10,Batch-Impute,0.1089
0,20,Mean,0.141
0,20,KNN,0.1293
0,20,MICE,0.1186
0,20,OT-Impute,0.1621
0,20,OT-Rand,0.1465
0,20,Batch-Impute,0.1195
0,30,Mean,0.1497
0,30,KNN,0.1414
0,30,MICE,0.133
0,30,OT-Impute,0.1724
0,30,OT-Rand,0.1554
0,30,Batch-Impute,0.1296
0,40,Mean,0.1593
0,40,KNN,0.1515
0,40,MICE,0.1409
0,40,OT-Impute,0.1831
0,40,OT-Rand,0.1644
0,40,Batch-Impute,0.1406
0,50,Mean,0.1699
0,50,KNN,0.1573
0,50,MICE,0.1532
0,50,OT-Impute,0.1947
0,50,OT-Rand,0.1754
0,50,Batch-Impute,0.1523
0,60,Mean,0.1805
0,60,KNN,0.1639
0,60,MICE,0.1663
0,60,OT-Impute,0.2059
0,60,OT-Rand,0.1853
0,60,Batch-Impute,0.1642
0,70,Mean,0.1853
0,70,KNN,0.1695
0,70,MICE,0.1774
0,70,OT-Impute,0.2124
0,70,OT-Rand,0.1912
0,70,Batch-Impute,0.1708
0,80,Mean,0.1848
0,80,KNN,0.1739
0,80,MICE,0.1821
0,80,OT-Impute,0.2142
0,80,OT-Rand,0.1927
0,80,Batch-Impute,0.1727
1,10,Mean,0.1322
1,10,KNN,0.104
1,10,MICE,0.1094
1,10,OT-Impute,0.1519
1,10,OT-Rand,0.137
1,10,Batch-Impute,0.1096
1,20,Mean,0.141
1,20,KNN,0.1293
1,20,MICE,0.1186
1,20,OT-Impute,0.1624
1,20,OT-Rand,0.1461
1,20,Batch-Impute,0.1196
1,30,Mean,0.1497
1,30,KNN,0.1414
1,30,MICE,0.133
1,30,OT-Impute,0.1714
1,30,OT-Rand,0.1552
1,30,Batch-Impute,0.1296
1,40,Mean,0.1593
1,40,KNN,0.1515
1,40,MICE,0.1409
1,40,OT-Impute,0.1832
1,40,OT-Rand,0.1648
1,40,Batch-Impute,0.1403
1,50,Mean,0.1699
1,50,KNN,0.1573
1,50,MICE,0.1532
1,50,OT-Impute,0.1945
1,50,OT-Rand,0.1749
1,50,Batch-Impute,0.1525
1,60,Mean,0.1805
1,60,KNN,0.1639
1,60,MICE,0.1663
1,60,OT-Impute,0.2059
1,60,OT-Rand,0.1854
1,60,Batch-Impute,0.1647
1,70,Mean,0.1853
1,70,KNN,0.1695
1,70,MICE,0.1774
1,70,OT-Impute,0.2122
1,70,OT-Rand,0.191
1,70,Batch-Impute,0.1707
1,80,Mean,0.1848
1,80,KNN,0.1739
1,80,MICE,0.1821
1,80,OT-Impute,0.2147
1,80,OT-Rand,0.1926
1,80,Batch-Impute,0.1728
2,10,Mean,0.1322
2,10,KNN,0.104
2,10,MICE,0.1094
2,10,OT-Impute,0.152
2,10,OT-Rand,0.1368
2,10,Batch-Impute,0.1094
2,20,Mean,0.141
2,20,KNN,0.1293
2,20,MICE,0.1186
2,20,OT-Impute,0.1622
2,20,OT-Rand,0.1464
2,20,Batch-Impute,0.1194
2,30,Mean,0.1497
2,30,KNN,0.1414
2,30,MICE,0.133
2,30,OT-Impute,0.1719
2,30,OT-Rand,0.1551
2,30,Batch-Impute,0.1294
2,40,Mean,0.1593
2,40,KNN,0.1515
2,40,MICE,0.1409
2,40,OT-Impute,0.1827
2,40,OT-Rand,0.1648
2,40,Batch-Impute,0.1406
2,50,Mean,0.1699
2,50,KNN,0.1573
2,50,MICE,0.1532
2,50,OT-Impute,0.1943
2,50,OT-Rand,0.1752
2,50,Batch-Impute,0.1525
2,60,Mean,0.1805
2,60,KNN,0.1639
2,60,MICE,0.1663
2,60,OT-Impute,0.2058
2,60,OT-Rand,0.1853
2,60,Batch-Impute,0.1645
2,70,Mean,0.1853
2,70,KNN,0.1695
2,70,MICE,0.1774
2,70,OT-Impute,0.2125
2,70,OT-Rand,0.1911
2,70,Batch-Impute,0.1707
2,80,Mean,0.1848
2,80,KNN,0.1739
2,80,MICE,0.1821
2,80,OT-Impute,0.214
2,80,OT-Rand,0.1927
2,80,Batch-Impute,0.1728
3,10,Mean,0.1322
3,10,KNN,0.104
3,10,MICE,0.1094
3,10,OT-Impute,0.1517
3,10,OT-Rand,0.1366
3,10,Batch-Impute,0.1089
3,20,Mean,0.141
3,20,KNN,0.1293
3,20,MICE,0.1186
3,20,OT-Impute,0.1624
3,20,OT-Rand,0.1458
3,20,Batch-Impute,0.1197
3,30,Mean,0.1497
