,,,MAE,MSE
0,0.1,Batch-Impute,0.11329892288487453,0.032005726748273955
0,0.1,OT-Impute,0.15544211006057038,0.04964184862440299
0,0.1,OT-Rand,0.13995797185767325,0.04469430213893252
0,0.2,Batch-Impute,0.09168187080451322,0.024955949479358763
0,0.2,OT-Impute,0.15544211006057038,0.04964184862440299
0,0.2,OT-Rand,0.12453521795820814,0.03953636760880111
0,0.3,Batch-Impute,0.07472434899691081,0.019818810816930692
0,0.3,OT-Impute,0.15544211006057038,0.04964184862440299
0,0.3,OT-Rand,0.10915622751217312,0.0350695962272071
1,0.1,Batch-Impute,0.11865637657143839,0.033840076488134266
1,0.1,OT-Impute,0.16074950374401023,0.05114817973602106
1,0.1,OT-Rand,0.1447221246788006,0.04605497197404227
1,0.2,Batch-Impute,0.09870120843413002,0.027450112005510348
1,0.2,OT-Impute,0.16074950374401023,0.05114817973602106
1,0.2,OT-Rand,0.1286073342239125,0.040773319499573336
1,0.3,Batch-Impute,0.0801806318265575,0.02173113827085397
1,0.3,OT-Impute,0.16074950374401023,0.05114817973602106
1,0.3,OT-Rand,0.1126498011529543,0.03577820729198404
2,0.1,Batch-Impute,0.12244552545634364,0.034834023472404024
2,0.1,OT-Impute,0.164161365609561,0.051745942880290156
2,0.1,OT-Rand,0.14775477368486808,0.04654654303596235
2,0.2,Batch-Impute,0.10265778916342483,0.028626945241144366
2,0.2,OT-Impute,0.164161365609561,0.051745942880290156
2,0.2,OT-Rand,0.13127266283654848,0.04138511029563245
2,0.3,Batch-Impute,0.08488671706992457,0.023240281583045405
2,0.3,OT-Impute,0.164161365609561,0.051745942880290156
2,0.3,OT-Rand,0.11500166196715132,0.03630743295145321
3,0.1,Batch-Impute,0.12608787091438908,0.035813972194921606
3,0.1,OT-Impute,0.16663150776142072,0.0520830395615541
3,0.1,OT-Rand,0.15005459999243856,0.04694004116177531
3,0.2,Batch-Impute,0.10732253825617075,0.030136435041467808
3,0.2,OT-Impute,0.16663150776142072,0.0520830395615541
3,0.2,OT-Rand,0.13350174513397173,0.04178127426518993
3,0.3,Batch-Impute,0.08958132164051602,0.024758650501657858
3,0.3,OT-Impute,0.16663150776142072,0.0520830395615541
3,0.3,OT-Rand,0.11734795062259636,0.03682359180141608
4,0.1,Batch-Impute,0.1290189354554054,0.03670402483776869
4,0.1,OT-Impute,0.1696110264366596,0.05277367699579249
4,0.1,OT-Rand,0.15269492873053092,0.04753064072426007
4,0.2,Batch-Impute,0.11067871457868776,0.03096798376802357
4,0.2,OT-Impute,0.1696110264366596,0.05277367699579249
4,0.2,OT-Rand,0.13592978133502465,0.04231777384768336
4,0.3,Batch-Impute,0.09365244737028705,0.026099130717274353
4,0.3,OT-Impute,0.1696110264366596,0.05277367699579249
4,0.3,OT-Rand,0.11885876082984577,0.03694573163859849
5,0.1,Batch-Impute,0.13160260232829674,0.03723681008010526
5,0.1,OT-Impute,0.17199850988112794,0.05310981695038143
5,0.1,OT-Rand,0.15491939839043184,0.04785946315136827
5,0.2,Batch-Impute,0.11367601914205074,0.0317442116374419
5,0.2,OT-Impute,0.17199850988112794,0.05310981695038143
5,0.2,OT-Rand,0.13769424376702993,0.04262434171240541
5,0.3,Batch-Impute,0.09717850180524125,0.026985380251731857
5,0.3,OT-Impute,0.17199850988112794,0.05310981695038143
5,0.3,OT-Rand,0.12032585719002442,0.037092571771228135
6,0.1,Batch-Impute,0.1328778631736475,0.03735862517923347
6,0.1,OT-Impute,0.17293606441965245,0.0526836278372748
6,0.1,OT-Rand,0.15566887404521837,0.047421612220033105
6,0.2,Batch-Impute,0.11607376690230065,0.03243826673247815
6,0.2,OT-Impute,0.17293606441965245,0.0526836278372748
6,0.2,OT-Rand,0.13841877467229963,0.04227435447988439
6,0.3,Batch-Impute,0.09969122320748608,0.027667162212245633
6,0.3,OT-Impute,0.17293606441965245,0.0526836278372748
6,0.3,OT-Rand,0.1211374901909379,0.03701648825442593
7,0.1,Batch-Impute,0.1342156742281265,0.03763141043745675
7,0.1,OT-Impute,0.17346366981898503,0.052194904759824405
7,0.1,OT-Rand,0.15602946597414835,0.046915175432514326
7,0.2,Batch-Impute,0.11802805379994,0.03294089736357668
7,0.2,OT-Impute,0.17346366981898503,0.052194904759824405
7,0.2,OT-Rand,0.13870031453440193,0.041727730935679275
7,0.3,Batch-Impute,0.10211955289574441,0.028305454961271376
7,0.3,OT-Impute,0.17346366981898503,0.052194904759824405
7,0.3,OT-Rand,0.1211963404449315,0.03650717725102403
