,,,MAE,MSE
0,0.1,Batch-Impute,0.122640053075401,0.03752479130271023
0,0.1,OT-Impute,0.16673160844521193,0.056358569622186716
0,0.1,OT-Rand,0.15006655944143965,0.0506967017655124
0,0.2,Batch-Impute,0.10171122117939309,0.030585806678397772
0,0.2,OT-Impute,0.16673160844521193,0.056358569622186716
0,0.2,OT-Rand,0.13249233638267494,0.04479206042675256
0,0.3,Batch-Impute,0.08375970041128829,0.02504698112573778
0,0.3,OT-Impute,0.16673160844521193,0.056358569622186716
0,0.3,OT-Rand,0.11673583968703001,0.03941723729841095
1,0.1,Batch-Impute,0.12719806119586183,0.039165040557272095
1,0.1,OT-Impute,0.17086704219816068,0.05767430010318688
1,0.1,OT-Rand,0.1539685782256365,0.052031893345937656
1,0.2,Batch-Impute,0.10695041331116373,0.03262430295581406
1,0.2,OT-Impute,0.17086704219816068,0.05767430010318688
1,0.2,OT-Rand,0.1366471726857337,0.04611494185411259
1,0.3,Batch-Impute,0.08822345524731562,0.02659185631740649
1,0.3,OT-Impute,0.17086704219816068,0.05767430010318688
1,0.3,OT-Rand,0.1191324076182725,0.03988813216829176
2,0.1,Batch-Impute,0.1308667710680686,0.04048241153279917
2,0.1,OT-Impute,0.1735175570284219,0.05814954036184676
2,0.1,OT-Rand,0.1560863032559246,0.05232067656881586
2,0.2,Batch-Impute,0.11032665068699751,0.033636916276139794
2,0.2,OT-Impute,0.1735175570284219,0.05814954036184676
2,0.2,OT-Rand,0.13865264185771295,0.046499998779303754
2,0.3,Batch-Impute,0.09147095287253026,0.02761557507949114
2,0.3,OT-Impute,0.1735175570284219,0.05814954036184676
2,0.3,OT-Rand,0.12148674708393782,0.040756016309418115
3,0.1,Batch-Impute,0.13344868445857383,0.041349807859678456
3,0.1,OT-Impute,0.17667637143451476,0.0593331604564833
3,0.1,OT-Rand,0.1589849563101299,0.05340606808528584
3,0.2,Batch-Impute,0.11352518465203107,0.03485775387275737
3,0.2,OT-Impute,0.17667637143451476,0.0593331604564833
3,0.2,OT-Rand,0.1414322621185142,0.047383749489192904
3,0.3,Batch-Impute,0.09538508183090177,0.029086921967865085
3,0.3,OT-Impute,0.17667637143451476,0.0593331604564833
3,0.3,OT-Rand,0.12324154258225009,0.04128417240264041
4,0.1,Batch-Impute,0.1352250256496479,0.04181509728707281
4,0.1,OT-Impute,0.17821186635200487,0.05933412476362407
4,0.1,OT-Rand,0.1604543265476596,0.05346102342728221
4,0.2,Batch-Impute,0.11576744981661567,0.03545379978174936
4,0.2,OT-Impute,0.17821186635200487,0.05933412476362407
4,0.2,OT-Rand,0.14192196716745917,0.04708399728046928
4,0.3,Batch-Impute,0.09825797473970291,0.029905631057812215
4,0.3,OT-Impute,0.17821186635200487,0.05933412476362407
4,0.3,OT-Rand,0.124972600337213,0.0416168207831082
5,0.1,Batch-Impute,0.1374816532851096,0.04244536032935622
5,0.1,OT-Impute,0.18065890575563792,0.059870993332934636
5,0.1,OT-Rand,0.1624365145309613,0.053813570706764666
5,0.2,Batch-Impute,0.11851300761802304,0.03632169879570041
5,0.2,OT-Impute,0.18065890575563792,0.059870993332934636
5,0.2,OT-Rand,0.144259750269106,0.047757571310727304
5,0.3,Batch-Impute,0.10131111196788906,0.03090179275258753
5,0.3,OT-Impute,0.18065890575563792,0.059870993332934636
5,0.3,OT-Rand,0.12602753487517332,0.04175770582758042
6,0.1,Batch-Impute,0.13956523137417182,0.04313760905295951
6,0.1,OT-Impute,0.182614278971352,0.06026269190455523
6,0.1,OT-Rand,0.16426822504467473,0.0542000267473435
6,0.2,Batch-Impute,0.12162727815538943,0.03741765693577666
6,0.2,OT-Impute,0.182614278971352,0.06026269190455523
6,0.2,OT-Rand,0.14601860079285012,0.048129182008630145
6,0.3,Batch-Impute,0.10403569787496462,0.031752323906214665
6,0.3,OT-Impute,0.182614278971352,0.06026269190455523
6,0.3,OT-Rand,0.12777570322422324,0.04208971257648287
7,0.1,Batch-Impute,0.14185945157378174,0.04389319671195661
7,0.1,OT-Impute,0.1846913623578165,0.06057958653302632
7,0.1,OT-Rand,0.166219988257008,0.054554233492424185
7,0.2,Batch-Impute,0.12385959899712487,0.038073922671877564
7,0.2,OT-Impute,0.1846913623578165,0.06057958653302632
7,0.2,OT-Rand,0.1476314356246913,0.04844565178089331
7,0.3,Batch-Impute,0.10722418947938384,0.03289590596447447
7,0.3,OT-Impute,0.1846913623578165,0.06057958653302632
7,0.3,OT-Rand,0.12869307899207372,0.04215841569537998
