,,,MAE,MSE
0,0.1,Batch-Impute,0.10923622975837392,0.03106965435375978
0,0.1,OT-Impute,0.15270282953363679,0.048576307143409776
0,0.1,OT-Rand,0.13749847530637932,0.0437465415992595
0,0.2,Batch-Impute,0.09024732207634303,0.02490131722349561
0,0.2,OT-Impute,0.15270282953363679,0.048576307143409776
0,0.2,OT-Rand,0.12166411546700316,0.03852546217920295
0,0.3,Batch-Impute,0.07310370057707617,0.01989862656546287
0,0.3,OT-Impute,0.15270282953363679,0.048576307143409776
0,0.3,OT-Rand,0.10635732853814783,0.033885618804147005
1,0.1,Batch-Impute,0.11937206049644151,0.03545624744377699
1,0.1,OT-Impute,0.16221838127874086,0.05298986670132251
1,0.1,OT-Rand,0.14625790877774042,0.04783927462388832
1,0.2,Batch-Impute,0.09982427868011351,0.02911591075972929
1,0.2,OT-Impute,0.16221838127874086,0.05298986670132251
1,0.2,OT-Rand,0.13047503781127506,0.04289931746045288
1,0.3,Batch-Impute,0.08159143567727785,0.02322603072596771
1,0.3,OT-Impute,0.16221838127874086,0.05298986670132251
1,0.3,OT-Rand,0.11423462051185387,0.03768310510264689
2,0.1,Batch-Impute,0.12946234332890555,0.040174850389284374
2,0.1,OT-Impute,0.17252359993646424,0.058409217340397675
2,0.1,OT-Rand,0.15520175505493133,0.052558691402563605
2,0.2,Batch-Impute,0.10956313311051279,0.03353752779056414
2,0.2,OT-Impute,0.17252359993646424,0.058409217340397675
2,0.2,OT-Rand,0.13738252773307255,0.04617229566063138
2,0.3,Batch-Impute,0.09054910451775965,0.027156361883967726
2,0.3,OT-Impute,0.17252359993646424,0.058409217340397675
2,0.3,OT-Rand,0.12075915011619442,0.04093465169093111
3,0.1,Batch-Impute,0.14082432602802397,0.04599890476921946
3,0.1,OT-Impute,0.18337512595107325,0.06445640235165656
3,0.1,OT-Rand,0.16494763550707625,0.057910568381595945
3,0.2,Batch-Impute,0.11964658525002517,0.03848334696536792
3,0.2,OT-Impute,0.18337512595107325,0.06445640235165656
3,0.2,OT-Rand,0.1468556235818937,0.05164384250516954
3,0.3,Batch-Impute,0.10048110458328507,0.03189931196633575
3,0.3,OT-Impute,0.18337512595107325,0.06445640235165656
3,0.3,OT-Rand,0.12791636495271075,0.0448773985810663
4,0.1,Batch-Impute,0.1523287241696757,0.052543653569940424
4,0.1,OT-Impute,0.1947224344022637,0.07136247319568874
4,0.1,OT-Rand,0.1750595294352558,0.0641330625670509
4,0.2,Batch-Impute,0.13118452461185964,0.04474754084986484
4,0.2,OT-Impute,0.1947224344022637,0.07136247319568874
4,0.2,OT-Rand,0.1559115175333497,0.05724789609029944
4,0.3,Batch-Impute,0.11118789028802364,0.03764331941078886
4,0.3,OT-Impute,0.1947224344022637,0.07136247319568874
4,0.3,OT-Rand,0.1365630022502745,0.0501204309595973
5,0.1,Batch-Impute,0.16433078868974732,0.060122979050864986
5,0.1,OT-Impute,0.20610808018101773,0.07886944528621496
5,0.1,OT-Rand,0.18561421079739804,0.07114291885625355
5,0.2,Batch-Impute,0.1423403989463152,0.051493110078685754
5,0.2,OT-Impute,0.20610808018101773,0.07886944528621496
5,0.2,OT-Rand,0.16501663215139095,0.06328954190127854
5,0.3,Batch-Impute,0.12146999926387078,0.04353273237275073
5,0.3,OT-Impute,0.20610808018101773,0.07886944528621496
5,0.3,OT-Rand,0.14460763192267848,0.0555550788332459
6,0.1,Batch-Impute,0.17113559425821126,0.06463827596596955
6,0.1,OT-Impute,0.21216129737316905,0.08308419738427412
6,0.1,OT-Rand,0.19094474485406338,0.07479747393947771
6,0.2,Batch-Impute,0.14937820521596445,0.05599497925574573
6,0.2,OT-Impute,0.21216129737316905,0.08308419738427412
6,0.2,OT-Rand,0.169816599894649,0.06639743428634491
6,0.3,Batch-Impute,0.12809619022100596,0.04768037978339736
6,0.3,OT-Impute,0.21216129737316905,0.08308419738427412
6,0.3,OT-Rand,0.1484257075550783,0.05814817148453866
7,0.1,Batch-Impute,0.17289810397284017,0.06599865522160742
7,0.1,OT-Impute,0.2144208609830848,0.08437283024755457
7,0.1,OT-Rand,0.19293315076781012,0.07591145369889042
7,0.2,Batch-Impute,0.15159762254316952,0.05765741573584425
7,0.2,OT-Impute,0.2144208609830848,0.08437283024755457
7,0.2,OT-Rand,0.17136737503218688,0.06749410812045598
7,0.3,Batch-Impute,0.1307566188215694,0.049380400150120296
7,0.3,OT-Impute,0.2144208609830848,0.08437283024755457
7,0.3,OT-Rand,0.1500365428842418,0.05909185133080997
