DropoutNoise,Run,MAE
0.0,1,0.19485947116556349
0.0,2,0.19751703363046288
0.0,3,0.19634962578615273
0.0,4,0.1954579306095533
0.0,5,0.1952084301062415
0.0,6,0.1971159153881501
0.0,7,0.19711650053050936
0.0,8,0.1966560430969104
0.0,9,0.19552258492999255
0.0,10,0.198886024265695
1e-05,1,0.19818000500364094
1e-05,2,0.1959275366846674
1e-05,3,0.19606287549193022
1e-05,4,0.1982956517907393
1e-05,5,0.19912444628522902
1e-05,6,0.19561013640927383
1e-05,7,0.19839334437472841
1e-05,8,0.19682975461235613
1e-05,9,0.19487089508882727
1e-05,10,0.19967071103795422
5e-05,1,0.19630300794647174
5e-05,2,0.19668549452032055
5e-05,3,0.19769807339945028
5e-05,4,0.19656640941366238
5e-05,5,0.1962584818611788
5e-05,6,0.19588883355361228
5e-05,7,0.19683915473830818
5e-05,8,0.197467248232558
5e-05,9,0.19623449340014007
5e-05,10,0.1980450679892255
0.0001,1,0.19692151123396126
0.0001,2,0.1954976790356996
0.0001,3,0.19632246042545234
0.0001,4,0.19654347101156316
0.0001,5,0.1942044924246028
0.0001,6,0.1973085187888085
0.0001,7,0.19553219991172754
0.0001,8,0.19752397010134368
0.0001,9,0.1970957837541589
0.0001,10,0.19670577765867014
0.0005,1,0.19840968549842738
0.0005,2,0.1962909347031133
0.0005,3,0.1952901107030375
0.0005,4,0.19764698228207545
0.0005,5,0.19848805859120283
0.0005,6,0.19503518831569344
0.0005,7,0.1990163534758101
0.0005,8,0.19717073794988463
0.0005,9,0.196365979581443
0.0005,10,0.19590596338529176
0.001,1,0.19746667162286302
0.001,2,0.19686698963023666
0.001,3,0.19557765488037193
0.001,4,0.19412841641223122
0.001,5,0.1983118498574245
0.001,6,0.19501997951981176
0.001,7,0.1953368041529132
0.001,8,0.1975948358006943
0.001,9,0.19578419231183206
0.001,10,0.19778868522304577
0.005,1,0.19679934835034973
0.005,2,0.19600953766921184
0.005,3,0.19652986911548806
0.005,4,0.19554093562564856
0.005,5,0.1950257496863231
0.005,6,0.1958370864530597
0.005,7,0.1979651809014158
0.005,8,0.19602430695195336
0.005,9,0.19644832897771392
0.005,10,0.19690577909651055
0.01,1,0.19629277283657548
0.01,2,0.19483851509518285
0.01,3,0.19748258912511452
0.01,4,0.19754765224064955
0.01,5,0.1974944519811282
0.01,6,0.1946150605078865
0.01,7,0.19705798053244178
0.01,8,0.19583035187294498
0.01,9,0.1959276844982435
0.01,10,0.19464290039786505
0.05,1,0.19851823699349302
0.05,2,0.19714777826196606
0.05,3,0.19863162511380777
0.05,4,0.1965526351666436
0.05,5,0.19813913843028078
0.05,6,0.1975985858248181
0.05,7,0.19540288598801556
0.05,8,0.1975274984730898
0.05,9,0.1984611507771777
0.05,10,0.19771594592895855
0.1,1,0.19909736911537676
0.1,2,0.20172858924546289
0.1,3,0.19985382013867062
0.1,4,0.1998738298511829
0.1,5,0.19970309018204566
0.1,6,0.19955347740134236
0.1,7,0.1995076758664443
0.1,8,0.20085032856304996
0.1,9,0.19611781833424374
0.1,10,0.1980721527374279
