DropoutNoise,Run,MAE
0.0,1,0.19287181783174515
0.0,2,0.1974185632797166
0.0,3,0.19242418381792384
0.0,4,0.19170842499984544
0.0,5,0.18971894943148382
0.0,6,0.1913052706722022
0.0,7,0.19464742440971536
0.0,8,0.1948912735840191
0.0,9,0.19268687201791193
0.0,10,0.1930439978568552
1e-05,1,0.19468803129123488
1e-05,2,0.19415150945858298
1e-05,3,0.19456815660141227
1e-05,4,0.19763822192330124
1e-05,5,0.19516888448273093
1e-05,6,0.19094871449657352
1e-05,7,0.19259517534942638
1e-05,8,0.1982844504031048
1e-05,9,0.19183344168402924
1e-05,10,0.1923305739619954
5e-05,1,0.1941788383802448
5e-05,2,0.19633183265969303
5e-05,3,0.19273966469719486
5e-05,4,0.19658752985459052
5e-05,5,0.19180067893325894
5e-05,6,0.19459430062967026
5e-05,7,0.19524595196111352
5e-05,8,0.19246323879336555
5e-05,9,0.1907247973385599
5e-05,10,0.19208477896983656
0.0001,1,0.19349694748494775
0.0001,2,0.1941329972268654
0.0001,3,0.1928684969579524
0.0001,4,0.19461458633149883
0.0001,5,0.19453082888009893
0.0001,6,0.19299653743476983
0.0001,7,0.19292043401584746
0.0001,8,0.19864110762253276
0.0001,9,0.188986723625397
0.0001,10,0.1923478032282861
0.0005,1,0.19715832478408152
0.0005,2,0.19460795082955018
0.0005,3,0.19592608619395957
0.0005,4,0.19162196402089096
0.0005,5,0.19113873563024408
0.0005,6,0.19131656388144042
0.0005,7,0.1965117231766549
0.0005,8,0.19282592468084728
0.0005,9,0.19320890485236172
0.0005,10,0.19181774888022377
0.001,1,0.1885718204002275
0.001,2,0.19647033723627283
0.001,3,0.19538034981062455
0.001,4,0.19691513874079006
0.001,5,0.19094504757644074
0.001,6,0.1904427590458669
0.001,7,0.19409377274886952
0.001,8,0.19249705104563156
0.001,9,0.19266135177358606
0.001,10,0.19773578488460486
0.005,1,0.19590630253403774
0.005,2,0.19392722242230653
0.005,3,0.1968401499907726
0.005,4,0.1907430280608495
0.005,5,0.1963095438662871
0.005,6,0.19180282748681063
0.005,7,0.19423112205819187
0.005,8,0.19231609375203212
0.005,9,0.19331012907331224
0.005,10,0.19259163801095755
0.01,1,0.19291506881366657
0.01,2,0.19422280411565554
0.01,3,0.19419337335974388
0.01,4,0.19085962179936322
0.01,5,0.19521201617640901
0.01,6,0.19268143342297253
0.01,7,0.1889820601484076
0.01,8,0.19586318923139864
0.01,9,0.1946537214652758
0.01,10,0.19788248750951543
0.05,1,0.19790239737515136
0.05,2,0.19535574686171098
0.05,3,0.19896065639325627
0.05,4,0.19301539861945693
0.05,5,0.1926697642745262
0.05,6,0.19851553515449852
0.05,7,0.1947926332253487
0.05,8,0.19783575507994003
0.05,9,0.19764097045843376
0.05,10,0.19205389862006234
0.1,1,0.19552746327832468
0.1,2,0.19269500703537354
0.1,3,0.197801716761762
0.1,4,0.19666167546705723
0.1,5,0.19640641326675934
0.1,6,0.19614503629579474
0.1,7,0.19638961165054897
0.1,8,0.19741931540260668
0.1,9,0.19741396585615728
0.1,10,0.19651141742684491
