DropoutNoise,Run,MAE
0.0,1,0.22876351268208783
0.0,2,0.22770217621338001
0.0,3,0.23029727068390207
0.0,4,0.22907362185785207
0.0,5,0.22845105747110195
0.0,6,0.22687449157382555
0.0,7,0.23060512575522185
0.0,8,0.22970362894718013
0.0,9,0.22822276215956572
0.0,10,0.2289971076012462
1e-05,1,0.22883974817906103
1e-05,2,0.22987381301051946
1e-05,3,0.23045505948683936
1e-05,4,0.2303364603951053
1e-05,5,0.22938219014618916
1e-05,6,0.23042305568320243
1e-05,7,0.22925372308698616
1e-05,8,0.22936662312193193
1e-05,9,0.23163405674657148
1e-05,10,0.22967054213224483
5e-05,1,0.22878765386605604
5e-05,2,0.22853750937299405
5e-05,3,0.22959342355884685
5e-05,4,0.22875525570763042
5e-05,5,0.22962961102949186
5e-05,6,0.22854341048828278
5e-05,7,0.23102025145910796
5e-05,8,0.2267094207246639
5e-05,9,0.23067008369965886
5e-05,10,0.2316804567847912
0.0001,1,0.22698923812245853
0.0001,2,0.23066019380380445
0.0001,3,0.22955989184017025
0.0001,4,0.22900469354584713
0.0001,5,0.23066701387832117
0.0001,6,0.2288579544256777
0.0001,7,0.23010917340676137
0.0001,8,0.22974573219935404
0.0001,9,0.23022882579306142
0.0001,10,0.2274572972356647
0.0005,1,0.23132533277067713
0.0005,2,0.22816725792824075
0.0005,3,0.22791932319495753
0.0005,4,0.22886133320850563
0.0005,5,0.23047389309676058
0.0005,6,0.22850265777794532
0.0005,7,0.23138523166983677
0.0005,8,0.2299527060752821
0.0005,9,0.23030120751114766
0.0005,10,0.23264013335569508
0.001,1,0.22761754788547758
0.001,2,0.22888909132229257
0.001,3,0.23090981993423026
0.001,4,0.22737024446906165
0.001,5,0.2286360840892944
0.001,6,0.22970925736939046
0.001,7,0.2295534233266854
0.001,8,0.22763785656070373
0.001,9,0.22917403114105317
0.001,10,0.2282045108212639
0.005,1,0.22928756026277036
0.005,2,0.22617509856680337
0.005,3,0.22838514870399504
0.005,4,0.229629166932924
0.005,5,0.22824573801547193
0.005,6,0.22894933476955745
0.005,7,0.2294578819766969
0.005,8,0.2288325096410403
0.005,9,0.22678450362411767
0.005,10,0.23136780337574397
0.01,1,0.22856473650179956
0.01,2,0.2286950341290615
0.01,3,0.22887656280112545
0.01,4,0.2292383668529365
0.01,5,0.230870050477934
0.01,6,0.22735262217831184
0.01,7,0.22810117472875308
0.01,8,0.22956553140684594
0.01,9,0.23036122989854213
0.01,10,0.22904635259310357
0.05,1,0.23128422937436952
0.05,2,0.22947950212291865
0.05,3,0.22949936364006748
0.05,4,0.22925612529049902
0.05,5,0.22964502468214498
0.05,6,0.2307822138191278
0.05,7,0.23035546483174055
0.05,8,0.229914947758653
0.05,9,0.23004443619390524
0.05,10,0.22787218238313198
0.1,1,0.23115863880851095
0.1,2,0.22985449947808453
0.1,3,0.2308483454300635
0.1,4,0.22992521061069496
0.1,5,0.2325751375487287
0.1,6,0.2301306146612413
0.1,7,0.23020037275797828
0.1,8,0.23272453192938158
0.1,9,0.2333152797479304
0.1,10,0.23261964487919487
