k,BudgetFraction,MAE,Runtime,UniqueQueried,AvgStdQueried
1,0.1,0.19544073687768826,76.52707862854004,600,0.19203001658075883
2,0.1,0.19196092634027676,139.38320088386536,600,0.21578045552317812
3,0.1,0.19062527131159293,219.93605637550354,600,0.231936870806699
4,0.1,0.19023807884091698,319.2023205757141,600,0.23881802550333392
5,0.1,0.19172389979778973,368.4613161087036,600,0.24857825072897316
6,0.1,0.19071633286637568,406.439462184906,600,0.2536502993309605
7,0.1,0.19119292332936405,503.3303792476654,595,0.26110666345223416
8,0.1,0.19050988663438154,561.4601452350616,600,0.2588831341298019
9,0.1,0.19111638173252568,618.9139988422394,594,0.26616014732866317
10,0.1,0.1907704944219988,680.0327122211456,600,0.26913763987042644
11,0.1,0.19112096781878518,4233.5038895606995,594,0.26691583000703256
12,0.1,0.19213170753994288,728.0017852783203,600,0.27208238756911457
13,0.1,0.19173804357138957,1001.5556485652924,598,0.27196656911520195
14,0.1,0.1909841275509757,1205.3129134178162,588,0.27889001581409284
15,0.1,0.1910263434567865,1358.302143573761,600,0.27780403104393875
1,0.2,0.15961186411994485,71.57967233657837,1200,0.15780244411788685
2,0.2,0.15817580669903616,128.7596607208252,1200,0.18373599300894267
3,0.2,0.15613836600630723,233.46465921401978,1200,0.19528628112524815
4,0.2,0.15644205946660453,306.42647552490234,1200,0.20699283737258162
5,0.2,0.1553638427658279,364.9401571750641,1200,0.2125482027432893
6,0.2,0.15360243259658868,425.50377082824707,1200,0.2190284815079878
7,0.2,0.15444035670650186,536.6590073108673,1197,0.22106904849700834
8,0.2,0.15568664961643502,613.6957232952118,1200,0.22536906498041354
9,0.2,0.15581160321458035,708.7113950252533,1197,0.22943602669379887
10,0.2,0.15379203447387932,3432.751364469528,1200,0.23253339805409046
11,0.2,0.15406637404396936,679.3564393520355,1199,0.23215897437310848
12,0.2,0.15462797797377992,839.2515721321106,1200,0.23774084845357177
13,0.2,0.15532838734674637,1097.1098463535309,1196,0.23854249326255908
14,0.2,0.15346546219878932,1658.5425262451172,1190,0.23949801979753627
15,0.2,0.1544831186805366,1458.799028635025,1200,0.24307340507913883
1,0.3,0.13326480285931563,56.38359332084656,1800,0.13980750018312912
2,0.3,0.1278760779017271,137.61068892478943,1800,0.16176841172842243
3,0.3,0.1257031517818467,198.22334933280945,1800,0.17398580214196327
4,0.3,0.12310147780307655,259.0974817276001,1800,0.1801743234186864
5,0.3,0.12330757685627808,9077.400710105896,1800,0.18764143834696417
6,0.3,0.12540062242207803,338.02829790115356,1800,0.1913237431821847
7,0.3,0.12302464746425457,496.45472407341003,1799,0.1954254644527887
8,0.3,0.1242612239263114,537.6063454151154,1800,0.19879037734133248
9,0.3,0.12315316680237112,581.3863189220428,1800,0.20214342348671122
10,0.3,0.12322973718552989,659.8449909687042,1800,0.20579378441743587
11,0.3,0.12342072206675317,734.8585937023163,1793,0.20892365580637826
12,0.3,0.12306375579352795,830.3256893157959,1800,0.20889121858290985
13,0.3,0.12410723018260572,910.7086930274963,1794,0.21174303295770228
14,0.3,0.12274514874210826,943.8583447933197,1792,0.21310305889388545
15,0.3,0.12287446819440637,10816.281762123108,1800,0.21351822579387672
