k,BudgetFraction,MAE,Runtime,UniqueQueried,AvgStdQueried
1,0.1,0.19504858350138776,28.502193689346313,600,0.18798135324921963
2,0.1,0.19574848007117482,64.44089388847351,600,0.21119811117858248
3,0.1,0.19437249833769105,67.65516209602356,600,0.22334593228086833
4,0.1,0.19441086397075552,94.62038707733154,600,0.2324091708405016
5,0.1,0.19137340344344245,108.81234622001648,600,0.23925082045702517
6,0.1,0.19340280262351947,150.47066521644592,600,0.24209604277090788
7,0.1,0.19344248429094554,185.5040636062622,595,0.2473369306331222
8,0.1,0.19301404574767927,202.7542564868927,600,0.2495860668486121
9,0.1,0.1917822053792548,203.13882303237915,594,0.25310444394928416
10,0.1,0.19398796227638176,224.9204123020172,600,0.2551252653102425
11,0.1,0.1948596214214818,273.7099566459656,594,0.25845800701425287
12,0.1,0.19329345898146721,286.00893688201904,600,0.2587097793128481
13,0.1,0.1944727458820515,322.8194179534912,598,0.26327268513853624
14,0.1,0.19460885553356647,334.47303652763367,588,0.2651595249306716
15,0.1,0.1938285503244449,351.76232957839966,600,0.2666893642222548
1,0.2,0.1667709614861077,26.665420532226562,1200,0.16396478146319485
2,0.2,0.1611001837302003,51.65802836418152,1200,0.18739975772289091
3,0.2,0.1594147781199094,75.93399834632874,1200,0.19543522466940297
4,0.2,0.15836545441682903,88.88018608093262,1200,0.20607029302091812
5,0.2,0.1579224573830244,113.26065468788147,1200,0.21139634425556006
6,0.2,0.1574494704721346,138.498596906662,1200,0.21630803114216288
7,0.2,0.15760058395834378,164.28943848609924,1197,0.22233466313646355
8,0.2,0.15734517752088892,191.40522575378418,1200,0.22598667135354836
9,0.2,0.15560008516713897,203.8409833908081,1197,0.22871710198686168
10,0.2,0.15665135508587286,233.68039917945862,1200,0.2316356236804782
11,0.2,0.15771178521893958,266.93002128601074,1199,0.2342871733886662
12,0.2,0.1561957270252688,279.22538590431213,1200,0.2354669667070748
13,0.2,0.1559804443720861,295.0054211616516,1196,0.23705453765706722
14,0.2,0.15657075571499032,350.39207768440247,1190,0.24135561417354534
15,0.2,0.1566526163646707,342.949684381485,1200,0.24345186098964905
1,0.3,0.13416787945176933,23.06051516532898,1800,0.14585454221282554
2,0.3,0.12886001615887618,44.67826318740845,1800,0.16886753016661088
3,0.3,0.12725464224511496,78.51102924346924,1800,0.18112530532600146
4,0.3,0.12556503374486186,87.30722236633301,1800,0.18958700335523107
5,0.3,0.12660131715077452,128.31622457504272,1800,0.19371993381143288
6,0.3,0.12565267880044473,152.85100507736206,1800,0.200034519650209
7,0.3,0.1224460538931694,172.97144627571106,1799,0.20424524519429024
8,0.3,0.12549435183516172,207.83300185203552,1800,0.20750255594094208
9,0.3,0.12531743811781668,216.60285687446594,1800,0.21061123167588922
10,0.3,0.12299960533727597,236.7158350944519,1800,0.21154243190832403
11,0.3,0.1249242833284757,258.04352855682373,1793,0.2143009273334801
12,0.3,0.12351843071685072,299.1211140155792,1800,0.21745922743525745
13,0.3,0.12385288342531475,322.30981373786926,1794,0.2205649386135335
14,0.3,0.12409848082643267,327.0301558971405,1792,0.2206574442612432
15,0.3,0.12396978647469056,320.58628940582275,1800,0.22149366355741412
