k,BudgetFraction,MAE,Runtime,UniqueQueried,AvgStdQueried
1,0.1,0.2262214827357143,25.431007623672485,600,0.1877819144489877
2,0.1,0.22544198280873137,50.737828969955444,600,0.21054552614184724
3,0.1,0.22530892758414733,76.1727306842804,600,0.23000787713780216
4,0.1,0.22429849060021317,102.01366472244263,600,0.23924663569497803
5,0.1,0.2246968263993027,127.17719793319702,600,0.24753111968592617
6,0.1,0.22466454261490965,162.97209668159485,600,0.2512185522764439
7,0.1,0.22406473694413728,179.8143208026886,595,0.25934682087927907
8,0.1,0.2245585326850645,203.35226035118103,600,0.2614611875432
9,0.1,0.224376418555284,227.2621350288391,594,0.2650653116837502
10,0.1,0.22319243556140317,270.86027932167053,600,0.26902590870689524
11,0.1,0.22410783514728277,277.97161388397217,594,0.27241911156256876
12,0.1,0.2222060937579412,303.68275451660156,600,0.27542576211265274
13,0.1,0.22334568434019397,342.8661093711853,598,0.2789018473269881
14,0.1,0.2248660545408023,353.0190351009369,588,0.2779822908447646
15,0.1,0.22292767756862775,387.8290104866028,600,0.28053194848663526
1,0.2,0.1913117883393193,27.88443946838379,1200,0.15343038560162867
2,0.2,0.1877214160962579,54.50582575798035,1200,0.18290587645795625
3,0.2,0.1857087067327488,78.22172713279724,1200,0.19600512454111993
4,0.2,0.18449886057908013,100.97447085380554,1200,0.20871019880078895
5,0.2,0.1847532657341181,125.73417782783508,1200,0.21514895589950694
6,0.2,0.18449749774141222,152.49163603782654,1200,0.2218022481138776
7,0.2,0.18365533048862404,176.69845414161682,1197,0.227093984142974
8,0.2,0.18273991393682848,217.29843735694885,1200,0.22883719575261768
9,0.2,0.18338929511249738,235.52683782577515,1197,0.23616739444787793
10,0.2,0.1835682467477413,270.2285430431366,1200,0.2372951991343774
11,0.2,0.18303574151109117,289.443167924881,1199,0.23984466627916526
12,0.2,0.1837399494653484,314.05468130111694,1200,0.24062210308397028
13,0.2,0.1836306531105767,342.83136010169983,1196,0.24492240185591768
14,0.2,0.1845607619145778,362.6411337852478,1190,0.2452133076934322
15,0.2,0.18399469290956025,384.0853865146637,1200,0.24637668172006275
1,0.3,0.1588531517048969,26.560839891433716,1800,0.13661568960931947
2,0.3,0.15079294085078443,54.67491292953491,1800,0.16570277511712006
3,0.3,0.15106521523000416,78.15942168235779,1800,0.17744918149013844
4,0.3,0.14861672715596339,101.10935974121094,1800,0.18806508252637666
5,0.3,0.14757476040374085,126.68702101707458,1800,0.19369790264372086
6,0.3,0.14877426482666942,151.17323756217957,1800,0.1996511924061554
7,0.3,0.14670567206820953,177.19379019737244,1799,0.20114352282296077
8,0.3,0.14784274123370583,217.01115155220032,1800,0.20670910220366712
9,0.3,0.14587426122079059,228.7151985168457,1800,0.20985706673078808
10,0.3,0.14774276993774046,253.18296194076538,1800,0.21315806209027338
11,0.3,0.14714262247827792,288.3368721008301,1793,0.21479018352258192
12,0.3,0.14858055946878118,314.65270018577576,1800,0.21814728675290385
13,0.3,0.14898183411107005,329.0054910182953,1794,0.22147416497797853
14,0.3,0.14830679661280252,373.08471632003784,1792,0.21927741857874
15,0.3,0.14691209202378022,384.058801651001,1800,0.2219807528860184
