Run,MissingRate(%),Method,MAE
0,10,Mean,0.2466
0,10,KNN,0.2322
0,10,MICE,0.2242
0,10,OT-Impute,0.2182
0,10,OT-Rand,0.2001
0,10,Batch-Impute,0.1801
0,20,Mean,0.2479
0,20,KNN,0.2351
0,20,MICE,0.2278
0,20,OT-Impute,0.2263
0,20,OT-Rand,0.2065
0,20,Batch-Impute,0.186
0,30,Mean,0.2464
0,30,KNN,0.2422
0,30,MICE,0.2628
0,30,OT-Impute,0.2305
0,30,OT-Rand,0.206
0,30,Batch-Impute,0.186
0,40,Mean,0.2465
0,40,KNN,0.24
0,40,MICE,0.2556
0,40,OT-Impute,0.2299
0,40,OT-Rand,0.2053
0,40,Batch-Impute,0.1879
0,50,Mean,0.2485
0,50,KNN,0.2437
0,50,MICE,0.2501
0,50,OT-Impute,0.2344
0,50,OT-Rand,0.2118
0,50,Batch-Impute,0.1943
0,60,Mean,0.2482
0,60,KNN,0.2494
0,60,MICE,0.2565
0,60,OT-Impute,0.2349
0,60,OT-Rand,0.2137
0,60,Batch-Impute,0.197
0,70,Mean,0.2487
0,70,KNN,0.2522
0,70,MICE,0.2534
0,70,OT-Impute,0.238
0,70,OT-Rand,0.2135
0,70,Batch-Impute,0.1999
0,80,Mean,0.2473
0,80,KNN,0.2511
0,80,MICE,0.2593
0,80,OT-Impute,0.243
0,80,OT-Rand,0.2164
0,80,Batch-Impute,0.2041
1,10,Mean,0.2466
1,10,KNN,0.2322
1,10,MICE,0.2242
1,10,OT-Impute,0.2161
1,10,OT-Rand,0.2008
1,10,Batch-Impute,0.1767
1,20,Mean,0.2479
1,20,KNN,0.2351
1,20,MICE,0.2278
1,20,OT-Impute,0.2281
1,20,OT-Rand,0.2062
1,20,Batch-Impute,0.1829
1,30,Mean,0.2464
1,30,KNN,0.2422
1,30,MICE,0.2628
1,30,OT-Impute,0.2272
1,30,OT-Rand,0.206
1,30,Batch-Impute,0.1859
1,40,Mean,0.2465
1,40,KNN,0.24
1,40,MICE,0.2556
1,40,OT-Impute,0.228
1,40,OT-Rand,0.2041
1,40,Batch-Impute,0.1866
1,50,Mean,0.2485
1,50,KNN,0.2437
1,50,MICE,0.2501
1,50,OT-Impute,0.2337
1,50,OT-Rand,0.2128
1,50,Batch-Impute,0.1949
1,60,Mean,0.2482
1,60,KNN,0.2494
1,60,MICE,0.2565
1,60,OT-Impute,0.2375
1,60,OT-Rand,0.2127
1,60,Batch-Impute,0.1956
1,70,Mean,0.2487
1,70,KNN,0.2522
1,70,MICE,0.2534
1,70,OT-Impute,0.2371
1,70,OT-Rand,0.214
1,70,Batch-Impute,0.1986
1,80,Mean,0.2473
1,80,KNN,0.2511
1,80,MICE,0.2593
1,80,OT-Impute,0.2426
1,80,OT-Rand,0.2179
1,80,Batch-Impute,0.2049
2,10,Mean,0.2466
2,10,KNN,0.2322
2,10,MICE,0.2242
2,10,OT-Impute,0.2179
2,10,OT-Rand,0.1996
2,10,Batch-Impute,0.1788
2,20,Mean,0.2479
2,20,KNN,0.2351
2,20,MICE,0.2278
2,20,OT-Impute,0.2262
2,20,OT-Rand,0.2054
2,20,Batch-Impute,0.1831
2,30,Mean,0.2464
2,30,KNN,0.2422
2,30,MICE,0.2628
2,30,OT-Impute,0.2323
2,30,OT-Rand,0.2045
2,30,Batch-Impute,0.1859
2,40,Mean,0.2465
2,40,KNN,0.24
2,40,MICE,0.2556
2,40,OT-Impute,0.2319
2,40,OT-Rand,0.2047
2,40,Batch-Impute,0.1878
2,50,Mean,0.2485
2,50,KNN,0.2437
2,50,MICE,0.2501
2,50,OT-Impute,0.2369
2,50,OT-Rand,0.2115
2,50,Batch-Impute,0.1938
2,60,Mean,0.2482
2,60,KNN,0.2494
2,60,MICE,0.2565
2,60,OT-Impute,0.2361
2,60,OT-Rand,0.2127
2,60,Batch-Impute,0.1956
2,70,Mean,0.2487
2,70,KNN,0.2522
2,70,MICE,0.2534
2,70,OT-Impute,0.2377
2,70,OT-Rand,0.2143
2,70,Batch-Impute,0.2002
2,80,Mean,0.2473
2,80,KNN,0.2511
2,80,MICE,0.2593
2,80,OT-Impute,0.2419
2,80,OT-Rand,0.2182
2,80,Batch-Impute,0.206
3,10,Mean,0.2466
3,10,KNN,0.2322
3,10,MICE,0.2242
3,10,OT-Impute,0.2161
3,10,OT-Rand,0.2009
3,10,Batch-Impute,0.1776
3,20,Mean,0.2479
3,20,KNN,0.2351
3,20,MICE,0.2278
3,20,OT-Impute,0.2273
3,20,OT-Rand,0.2072
3,20,Batch-Impute,0.1821
3,30,Mean,0.2464
3,30,KNN,0.2422
3,30,MICE,0.2628
3,30,OT-Impute,0.2314
3,30,OT-Rand,0.2039
3,30,Batch-Impute,0.1849
3,40,Mean,0.2465
3,40,KNN,0.24
3,40,MICE,0.2556
3,40,OT-Impute,0.2297
3,40,OT-Rand,0.204
3,40,Batch-Impute,0.187
3,50,Mean,0.2485
3,50,KNN,0.2437
3,50,MICE,0.2501
3,50,OT-Impute,0.2341
3,50,OT-Rand,0.2112
3,50,Batch-Impute,0.1948
3,60,Mean,0.2482
3,60,KNN,0.2494
3,60,MICE,0.2565
3,60,OT-Impute,0.2355
3,60,OT-Rand,0.2115
3,60,Batch-Impute,0.1959
3,70,Mean,0.2487
3,70,KNN,0.2522
3,70,MICE,0.2534
3,70,OT-Impute,0.2372
3,70,OT-Rand,0.2141
3,70,Batch-Impute,0.1991
3,80,Mean,0.2473
3,80,KNN,0.2511
3,80,MICE,0.2593
3,80,OT-Impute,0.2424
3,80,OT-Rand,0.2173
3,80,Batch-Impute,0.205
4,10,Mean,0.2466
4,10,KNN,0.2322
4,10,MICE,0.2242
4,10,OT-Impute,0.2196
4,10,OT-Rand,0.2007
4,10,Batch-Impute,0.177
4,20,Mean,0.2479
4,20,KNN,0.2351
4,20,MICE,0.2278
4,20,OT-Impute,0.2274
4,20,OT-Rand,0.2038
4,20,Batch-Impute,0.1847
4,30,Mean,0.2464
4,30,KNN,0.2422
4,30,MICE,0.2628
4,30,OT-Impute,0.2307
4,30,OT-Rand,0.2049
4,30,Batch-Impute,0.1852
4,40,Mean,0.2465
4,40,KNN,0.24
4,40,MICE,0.2556
4,40,OT-Impute,0.2326
4,40,OT-Rand,0.2037
4,40,Batch-Impute,0.1875
4,50,Mean,0.2485
4,50,KNN,0.2437
4,50,MICE,0.2501
4,50,OT-Impute,0.2334
4,50,OT-Rand,0.2107
4,50,Batch-Impute,0.1936
4,60,Mean,0.2482
4,60,KNN,0.2494
4,60,MICE,0.2565
4,60,OT-Impute,0.2358
4,60,OT-Rand,0.2129
4,60,Batch-Impute,0.1964
4,70,Mean,0.2487
4,70,KNN,0.2522
4,70,MICE,0.2534
4,70,OT-Impute,0.2373
4,70,OT-Rand,0.2121
4,70,Batch-Impute,0.199
4,80,Mean,0.2473
4,80,KNN,0.2511
4,80,MICE,0.2593
4,80,OT-Impute,0.2427
4,80,OT-Rand,0.2183
4,80,Batch-Impute,0.205
