Run,MissingRate(%),Method,MAE
0,10,Mean,0.2489
0,10,KNN,0.2312
0,10,MICE,0.2308
0,10,OT-Impute,0.224
0,10,OT-Rand,0.1986
0,10,Batch-Impute,0.1812
0,20,Mean,0.2454
0,20,KNN,0.2399
0,20,MICE,0.2237
0,20,OT-Impute,0.222
0,20,OT-Rand,0.1985
0,20,Batch-Impute,0.1805
0,30,Mean,0.2444
0,30,KNN,0.2375
0,30,MICE,0.2647
0,30,OT-Impute,0.2259
0,30,OT-Rand,0.2034
0,30,Batch-Impute,0.1831
0,40,Mean,0.2464
0,40,KNN,0.2461
0,40,MICE,0.255
0,40,OT-Impute,0.2271
0,40,OT-Rand,0.2058
0,40,Batch-Impute,0.1869
0,50,Mean,0.2467
0,50,KNN,0.249
0,50,MICE,0.2488
0,50,OT-Impute,0.2331
0,50,OT-Rand,0.2108
0,50,Batch-Impute,0.1918
0,60,Mean,0.2454
0,60,KNN,0.2552
0,60,MICE,0.2491
0,60,OT-Impute,0.2335
0,60,OT-Rand,0.21
0,60,Batch-Impute,0.1912
0,70,Mean,0.2455
0,70,KNN,0.2533
0,70,MICE,0.2528
0,70,OT-Impute,0.2373
0,70,OT-Rand,0.2131
0,70,Batch-Impute,0.197
0,80,Mean,0.2458
0,80,KNN,0.2561
0,80,MICE,0.2544
0,80,OT-Impute,0.2389
0,80,OT-Rand,0.2143
0,80,Batch-Impute,0.2004
1,10,Mean,0.2416
1,10,KNN,0.228
1,10,MICE,0.2225
1,10,OT-Impute,0.2166
1,10,OT-Rand,0.1962
1,10,Batch-Impute,0.1764
1,20,Mean,0.2453
1,20,KNN,0.2342
1,20,MICE,0.2247
1,20,OT-Impute,0.228
1,20,OT-Rand,0.202
1,20,Batch-Impute,0.1842
1,30,Mean,0.2429
1,30,KNN,0.2367
1,30,MICE,0.263
1,30,OT-Impute,0.2233
1,30,OT-Rand,0.2022
1,30,Batch-Impute,0.1835
1,40,Mean,0.2437
1,40,KNN,0.2447
1,40,MICE,0.2509
1,40,OT-Impute,0.2281
1,40,OT-Rand,0.2063
1,40,Batch-Impute,0.1861
1,50,Mean,0.2467
1,50,KNN,0.2481
1,50,MICE,0.2469
1,50,OT-Impute,0.2324
1,50,OT-Rand,0.209
1,50,Batch-Impute,0.1904
1,60,Mean,0.2462
1,60,KNN,0.2536
1,60,MICE,0.2483
1,60,OT-Impute,0.2344
1,60,OT-Rand,0.2114
1,60,Batch-Impute,0.1937
1,70,Mean,0.2423
1,70,KNN,0.2511
1,70,MICE,0.25
1,70,OT-Impute,0.2343
1,70,OT-Rand,0.2096
1,70,Batch-Impute,0.1946
1,80,Mean,0.2455
1,80,KNN,0.2536
1,80,MICE,0.2536
1,80,OT-Impute,0.2385
1,80,OT-Rand,0.2138
1,80,Batch-Impute,0.2009
2,10,Mean,0.2474
2,10,KNN,0.2358
2,10,MICE,0.2256
2,10,OT-Impute,0.2217
2,10,OT-Rand,0.2006
2,10,Batch-Impute,0.1782
2,20,Mean,0.2421
2,20,KNN,0.2332
2,20,MICE,0.2272
2,20,OT-Impute,0.2241
2,20,OT-Rand,0.2008
2,20,Batch-Impute,0.1824
2,30,Mean,0.246
2,30,KNN,0.2409
2,30,MICE,0.2618
2,30,OT-Impute,0.2279
2,30,OT-Rand,0.2
2,30,Batch-Impute,0.1841
2,40,Mean,0.2438
2,40,KNN,0.2453
2,40,MICE,0.2504
2,40,OT-Impute,0.2283
2,40,OT-Rand,0.2063
2,40,Batch-Impute,0.1863
2,50,Mean,0.2462
2,50,KNN,0.2496
2,50,MICE,0.2498
2,50,OT-Impute,0.2277
2,50,OT-Rand,0.2079
2,50,Batch-Impute,0.1883
2,60,Mean,0.2447
2,60,KNN,0.2528
2,60,MICE,0.2446
2,60,OT-Impute,0.233
2,60,OT-Rand,0.2105
2,60,Batch-Impute,0.1933
2,70,Mean,0.2452
2,70,KNN,0.257
2,70,MICE,0.2493
2,70,OT-Impute,0.2344
2,70,OT-Rand,0.2094
2,70,Batch-Impute,0.1962
2,80,Mean,0.2438
2,80,KNN,0.2539
2,80,MICE,0.2518
2,80,OT-Impute,0.2361
2,80,OT-Rand,0.2139
2,80,Batch-Impute,0.2006
3,10,Mean,0.2397
3,10,KNN,0.225
3,10,MICE,0.2189
3,10,OT-Impute,0.2209
3,10,OT-Rand,0.1989
3,10,Batch-Impute,0.1744
3,20,Mean,0.2441
3,20,KNN,0.2334
3,20,MICE,0.224
3,20,OT-Impute,0.2236
3,20,OT-Rand,0.1991
3,20,Batch-Impute,0.1787
3,30,Mean,0.2443
3,30,KNN,0.2353
3,30,MICE,0.2611
3,30,OT-Impute,0.2292
