Run,MissingRate(%),Method,MAE
0,10,Mean,0.2832
0,10,KNN,0.2718
0,10,MICE,0.2576
0,10,OT-Impute,0.2586
0,10,OT-Rand,0.2355
0,10,Batch-Impute,0.2121
0,20,Mean,0.2829
0,20,KNN,0.272
0,20,MICE,0.2596
0,20,OT-Impute,0.2616
0,20,OT-Rand,0.2383
0,20,Batch-Impute,0.219
0,30,Mean,0.2795
0,30,KNN,0.2746
0,30,MICE,0.2894
0,30,OT-Impute,0.2663
0,30,OT-Rand,0.2353
0,30,Batch-Impute,0.2209
0,40,Mean,0.2791
0,40,KNN,0.2802
0,40,MICE,0.2743
0,40,OT-Impute,0.2693
0,40,OT-Rand,0.2438
0,40,Batch-Impute,0.2267
0,50,Mean,0.2797
0,50,KNN,0.2855
0,50,MICE,0.2796
0,50,OT-Impute,0.2732
0,50,OT-Rand,0.2474
0,50,Batch-Impute,0.2324
0,60,Mean,0.2794
0,60,KNN,0.2857
0,60,MICE,0.2808
0,60,OT-Impute,0.2769
0,60,OT-Rand,0.2501
0,60,Batch-Impute,0.238
0,70,Mean,0.2776
0,70,KNN,0.2883
0,70,MICE,0.2837
0,70,OT-Impute,0.2786
0,70,OT-Rand,0.2511
0,70,Batch-Impute,0.2406
0,80,Mean,0.2757
0,80,KNN,0.2822
0,80,MICE,0.2804
0,80,OT-Impute,0.2748
0,80,OT-Rand,0.2472
0,80,Batch-Impute,0.2369
1,10,Mean,0.2832
1,10,KNN,0.2718
1,10,MICE,0.2576
1,10,OT-Impute,0.2613
1,10,OT-Rand,0.2318
1,10,Batch-Impute,0.213
1,20,Mean,0.2829
1,20,KNN,0.272
1,20,MICE,0.2596
1,20,OT-Impute,0.2625
1,20,OT-Rand,0.2399
1,20,Batch-Impute,0.2204
1,30,Mean,0.2795
1,30,KNN,0.2746
1,30,MICE,0.2894
1,30,OT-Impute,0.2645
1,30,OT-Rand,0.2392
1,30,Batch-Impute,0.22
1,40,Mean,0.2791
1,40,KNN,0.2802
1,40,MICE,0.2743
