,,,MAE,MSE
0,0.1,Batch-Impute,0.17807401090015412,0.07717207835664902
0,0.1,OT-Impute,0.2168302812993502,0.10118019693035359
0,0.1,OT-Rand,0.1972509156641162,0.09267210104895034
0,0.2,Batch-Impute,0.14500563148061013,0.06128489362846916
0,0.2,OT-Impute,0.2168302812993502,0.10118019693035359
0,0.2,OT-Rand,0.17902681236392215,0.0848505541836313
0,0.3,Batch-Impute,0.11963946260875484,0.049084736621045094
0,0.3,OT-Impute,0.2168302812993502,0.10118019693035359
0,0.3,OT-Rand,0.1522730121294408,0.07290456018721835
1,0.1,Batch-Impute,0.18492161886133943,0.0821019208723985
1,0.1,OT-Impute,0.22707433290018064,0.10694266264088165
1,0.1,OT-Rand,0.2060109986976771,0.09800864476249879
1,0.2,Batch-Impute,0.15242441192426603,0.06638647753044706
1,0.2,OT-Impute,0.22707433290018064,0.10694266264088165
1,0.2,OT-Rand,0.180565625729891,0.0864510380891883
1,0.3,Batch-Impute,0.12538486742325777,0.055213034533300794
1,0.3,OT-Impute,0.22707433290018064,0.10694266264088165
1,0.3,OT-Rand,0.15971730243743784,0.07684369271019452
2,0.1,Batch-Impute,0.18534151583334105,0.08152693941998852
2,0.1,OT-Impute,0.23089991394288736,0.11136952892344311
2,0.1,OT-Rand,0.2082528186523856,0.10036700039265632
2,0.2,Batch-Impute,0.1543883287189456,0.06783135092788922
2,0.2,OT-Impute,0.23089991394288736,0.11136952892344311
2,0.2,OT-Rand,0.1825968391147513,0.0871541787268013
2,0.3,Batch-Impute,0.12926410320604298,0.05809340648533822
2,0.3,OT-Impute,0.23089991394288736,0.11136952892344311
2,0.3,OT-Rand,0.15966940230869966,0.07672912165247163
3,0.1,Batch-Impute,0.18770135187612114,0.08367163524052877
3,0.1,OT-Impute,0.23055907951283125,0.11217295717992426
3,0.1,OT-Rand,0.2084991557929885,0.10193203413927819
3,0.2,Batch-Impute,0.1573046780965978,0.06987671143214827
3,0.2,OT-Impute,0.23055907951283125,0.11217295717992426
3,0.2,OT-Rand,0.18464469523686336,0.08759405687601546
3,0.3,Batch-Impute,0.12804963108508208,0.05719339313682904
3,0.3,OT-Impute,0.23055907951283125,0.11217295717992426
3,0.3,OT-Rand,0.1642148042872655,0.07956473199663898
4,0.1,Batch-Impute,0.19396632733818966,0.0892241150822791
4,0.1,OT-Impute,0.23579136602871062,0.11500591008537378
4,0.1,OT-Rand,0.21271818571535955,0.10369206800430686
4,0.2,Batch-Impute,0.16362060719021296,0.07514274101849276
4,0.2,OT-Impute,0.23579136602871062,0.11500591008537378
4,0.2,OT-Rand,0.18889574024467687,0.092461231146414
4,0.3,Batch-Impute,0.1353478560678484,0.06306959837233746
4,0.3,OT-Impute,0.23579136602871062,0.11500591008537378
4,0.3,OT-Rand,0.16263841089566036,0.07844589630345201
5,0.1,Batch-Impute,0.19493385449586081,0.08934437789505507
5,0.1,OT-Impute,0.2372661711699875,0.11487220798315609
5,0.1,OT-Rand,0.21390218535568403,0.1038752026591722
5,0.2,Batch-Impute,0.16433407877828568,0.07558733613257412
5,0.2,OT-Impute,0.2372661711699875,0.11487220798315609
5,0.2,OT-Rand,0.18856700242886965,0.09130303406084227
5,0.3,Batch-Impute,0.13850508775728576,0.0653302895797356
5,0.3,OT-Impute,0.2372661711699875,0.11487220798315609
5,0.3,OT-Rand,0.16401105021377918,0.07875464510812637
6,0.1,Batch-Impute,0.19979461449937333,0.09074709142507152
6,0.1,OT-Impute,0.23622686736214826,0.11025234442254736
6,0.1,OT-Rand,0.21330689792197793,0.099781498595735
6,0.2,Batch-Impute,0.16942369165860457,0.07695564501206187
6,0.2,OT-Impute,0.23622686736214826,0.11025234442254736
6,0.2,OT-Rand,0.19114495014285,0.09062880651982615
6,0.3,Batch-Impute,0.14011339209516555,0.06391829481481884
6,0.3,OT-Impute,0.23622686736214826,0.11025234442254736
6,0.3,OT-Rand,0.16785299063707082,0.07997231324355178
7,0.1,Batch-Impute,0.20569796514434333,0.09187654920422442
7,0.1,OT-Impute,0.24160143643397997,0.11068129986676672
7,0.1,OT-Rand,0.21786515862488495,0.09999132235174435
7,0.2,Batch-Impute,0.17478204102190123,0.07769705786196207
7,0.2,OT-Impute,0.24160143643397997,0.11068129986676672
7,0.2,OT-Rand,0.19258343184775503,0.08850094940891791
7,0.3,Batch-Impute,0.14627835820609567,0.06547715395211293
7,0.3,OT-Impute,0.24160143643397997,0.11068129986676672
7,0.3,OT-Rand,0.17139350771178458,0.0793602328410785
