,,,MAE,MSE
0,0.1,Batch-Impute,0.178367813754429,0.07471806116764432
0,0.1,OT-Impute,0.22485184776426667,0.10595593409656619
0,0.1,OT-Rand,0.20162268786713577,0.09492003083484758
0,0.2,Batch-Impute,0.14808498691877772,0.06375416588687884
0,0.2,OT-Impute,0.22485184776426667,0.10595593409656619
0,0.2,OT-Rand,0.17740584635054168,0.0825701157517721
0,0.3,Batch-Impute,0.12021185761492,0.04858292045571597
0,0.3,OT-Impute,0.22485184776426667,0.10595593409656619
0,0.3,OT-Rand,0.1579758686653738,0.07644890663974842
1,0.1,Batch-Impute,0.182423703228972,0.08028752559225834
1,0.1,OT-Impute,0.22501170111171448,0.10797912722969664
1,0.1,OT-Rand,0.20148567547894947,0.09672913821027475
1,0.2,Batch-Impute,0.15248080019857563,0.0676570792489812
1,0.2,OT-Impute,0.22501170111171448,0.10797912722969664
1,0.2,OT-Rand,0.17911466385000285,0.08576577362436758
1,0.3,Batch-Impute,0.12459886770913496,0.05443347421261629
1,0.3,OT-Impute,0.22501170111171448,0.10797912722969664
1,0.3,OT-Rand,0.1580785093511917,0.07534395181557146
2,0.1,Batch-Impute,0.18375743084452711,0.08113354548087004
2,0.1,OT-Impute,0.228678368515874,0.11059327646647443
2,0.1,OT-Rand,0.20637703412020036,0.10015680652709
2,0.2,Batch-Impute,0.15247063114834322,0.06660505582052245
2,0.2,OT-Impute,0.228678368515874,0.11059327646647443
2,0.2,OT-Rand,0.18093390510529408,0.08617780992170596
2,0.3,Batch-Impute,0.12593045163834168,0.0546974970464609
2,0.3,OT-Impute,0.228678368515874,0.11059327646647443
2,0.3,OT-Rand,0.15880224346408534,0.07598206651893202
3,0.1,Batch-Impute,0.18742289836985496,0.08382455235749584
3,0.1,OT-Impute,0.23299159214259071,0.11354545236165095
3,0.1,OT-Rand,0.21082803650223775,0.10326600906676776
3,0.2,Batch-Impute,0.15709668198430432,0.06981698030886258
3,0.2,OT-Impute,0.23299159214259071,0.11354545236165095
3,0.2,OT-Rand,0.18415980692287645,0.08875648082534875
3,0.3,Batch-Impute,0.1297596849670125,0.05804083952505842
3,0.3,OT-Impute,0.23299159214259071,0.11354545236165095
3,0.3,OT-Rand,0.16143713757248185,0.07813085361133482
4,0.1,Batch-Impute,0.1916744957104731,0.08918230290879815
4,0.1,OT-Impute,0.23395864980925862,0.11599817940581338
4,0.1,OT-Rand,0.2119196589096874,0.10554163591347071
4,0.2,Batch-Impute,0.16068604694318642,0.07476769780863875
4,0.2,OT-Impute,0.23395864980925862,0.11599817940581338
4,0.2,OT-Rand,0.18575179777202924,0.09184218131429954
4,0.3,Batch-Impute,0.1336243491699177,0.06344269121358898
4,0.3,OT-Impute,0.23395864980925862,0.11599817940581338
4,0.3,OT-Rand,0.16401401503628266,0.07971376100868044
5,0.1,Batch-Impute,0.19244995129384393,0.08692648428708712
5,0.1,OT-Impute,0.23398361954209365,0.11215779224994472
5,0.1,OT-Rand,0.2105114241440139,0.10080421779356578
5,0.2,Batch-Impute,0.16297165731046345,0.07400161099089901
5,0.2,OT-Impute,0.23398361954209365,0.11215779224994472
5,0.2,OT-Rand,0.18415120743186603,0.08734312076792931
5,0.3,Batch-Impute,0.13262432717519895,0.060088299699956445
5,0.3,OT-Impute,0.23398361954209365,0.11215779224994472
5,0.3,OT-Rand,0.16395610868149393,0.07827336796852323
6,0.1,Batch-Impute,0.19556777345264514,0.08924772736362369
6,0.1,OT-Impute,0.2333771444066762,0.11004315563775714
6,0.1,OT-Rand,0.2103653104282934,0.09931079950923079
6,0.2,Batch-Impute,0.16544217438595,0.07577830781300429
6,0.2,OT-Impute,0.2333771444066762,0.11004315563775714
6,0.2,OT-Rand,0.18781651161790738,0.08912142604773901
6,0.3,Batch-Impute,0.13579511012858023,0.061846852529246786
6,0.3,OT-Impute,0.2333771444066762,0.11004315563775714
6,0.3,OT-Rand,0.16261048000326692,0.07608469121121425
7,0.1,Batch-Impute,0.19805714269941604,0.08916666023734046
7,0.1,OT-Impute,0.23596772291029827,0.11023521823869183
7,0.1,OT-Rand,0.2122987597508984,0.09877495253645041
7,0.2,Batch-Impute,0.16888133800086116,0.07638474613632978
7,0.2,OT-Impute,0.23596772291029827,0.11023521823869183
7,0.2,OT-Rand,0.18895860702824124,0.08769882631655752
7,0.3,Batch-Impute,0.13979064180261308,0.06346991311292105
7,0.3,OT-Impute,0.23596772291029827,0.11023521823869183
7,0.3,OT-Rand,0.16670427587722433,0.0784107622415572
