,,,MAE,MSE
0,0.1,Batch-Impute,0.20985537168108243,0.09764947161825334
0,0.1,OT-Impute,0.26029129081713814,0.13514348275550525
0,0.1,OT-Rand,0.23396453565639655,0.12120731367933772
0,0.2,Batch-Impute,0.18041894711503653,0.08590473162837285
0,0.2,OT-Impute,0.26029129081713814,0.13514348275550525
0,0.2,OT-Rand,0.2003643986273575,0.09995638351409551
0,0.3,Batch-Impute,0.1436842553796955,0.06595249968234186
0,0.3,OT-Impute,0.26029129081713814,0.13514348275550525
0,0.3,OT-Rand,0.1822598001837261,0.09351680737761038
1,0.1,Batch-Impute,0.22136674141163576,0.10862706671319214
1,0.1,OT-Impute,0.26124576242388703,0.13374719918103334
1,0.1,OT-Rand,0.23427710019187312,0.11958076419849198
1,0.2,Batch-Impute,0.18472707558739396,0.09093265392714958
1,0.2,OT-Impute,0.26124576242388703,0.13374719918103334
1,0.2,OT-Rand,0.20928543638339264,0.1080756146133509
1,0.3,Batch-Impute,0.1560857221504071,0.07807996511940027
1,0.3,OT-Impute,0.26124576242388703,0.13374719918103334
1,0.3,OT-Rand,0.18546064140185006,0.09687173878392713
2,0.1,Batch-Impute,0.22050312614735132,0.10811588811587335
2,0.1,OT-Impute,0.2647308653570127,0.1361785444941397
2,0.1,OT-Rand,0.23885280562105662,0.12315055486711655
2,0.2,Batch-Impute,0.18745677954391507,0.09267686967053011
2,0.2,OT-Impute,0.2647308653570127,0.1361785444941397
2,0.2,OT-Rand,0.21058010859468748,0.10860569370093671
2,0.3,Batch-Impute,0.15488977773606694,0.07615821035242587
2,0.3,OT-Impute,0.2647308653570127,0.1361785444941397
2,0.3,OT-Rand,0.186626350408903,0.09556855315678381
3,0.1,Batch-Impute,0.2273905416376059,0.11627992606689648
3,0.1,OT-Impute,0.2692357219464641,0.1414598836633212
3,0.1,OT-Rand,0.24445951602696356,0.12936329639505403
3,0.2,Batch-Impute,0.19257602492240858,0.09947031118188596
3,0.2,OT-Impute,0.2692357219464641,0.1414598836633212
3,0.2,OT-Rand,0.21494060749149577,0.11392736150427478
3,0.3,Batch-Impute,0.1619931059481074,0.08454925025489318
3,0.3,OT-Impute,0.2692357219464641,0.1414598836633212
3,0.3,OT-Rand,0.1866633589245848,0.09819859751807715
4,0.1,Batch-Impute,0.2336280262698086,0.12378525487641968
4,0.1,OT-Impute,0.27282996563127115,0.14604019412949745
4,0.1,OT-Rand,0.24516759467875987,0.13074625679919732
4,0.2,Batch-Impute,0.20126221083997403,0.10848346545615263
4,0.2,OT-Impute,0.27282996563127115,0.14604019412949745
4,0.2,OT-Rand,0.21965621092055557,0.11851636945354649
4,0.3,Batch-Impute,0.1680823966452771,0.09145835371827996
4,0.3,OT-Impute,0.27282996563127115,0.14604019412949745
4,0.3,OT-Rand,0.19512390963068177,0.10600757451203684
5,0.1,Batch-Impute,0.23957367758737355,0.1306964911673636
5,0.1,OT-Impute,0.27769338684694156,0.15141273007649453
5,0.1,OT-Rand,0.2510313000654322,0.13749294369943627
5,0.2,Batch-Impute,0.20469158608961865,0.11295652837631169
5,0.2,OT-Impute,0.27769338684694156,0.15141273007649453
5,0.2,OT-Rand,0.22273731595719892,0.12293186069482874
5,0.3,Batch-Impute,0.17353846415855112,0.09788296612235221
5,0.3,OT-Impute,0.27769338684694156,0.15141273007649453
5,0.3,OT-Rand,0.19394370852814435,0.1057504080172616
6,0.1,Batch-Impute,0.24033504554146132,0.13309729494282305
6,0.1,OT-Impute,0.28005508898134257,0.1576341915853471
6,0.1,OT-Rand,0.2520077153615759,0.1416915739359803
6,0.2,Batch-Impute,0.2070039337278318,0.11693065737338826
6,0.2,OT-Impute,0.28005508898134257,0.1576341915853471
6,0.2,OT-Rand,0.22541689340845894,0.126441437291878
6,0.3,Batch-Impute,0.17593644532390018,0.1013564470475181
6,0.3,OT-Impute,0.28005508898134257,0.1576341915853471
6,0.3,OT-Rand,0.19361304425545314,0.10803538628577072
7,0.1,Batch-Impute,0.23778931638943565,0.1307588318666712
7,0.1,OT-Impute,0.2751960177574096,0.15233915141510945
7,0.1,OT-Rand,0.24839683882484168,0.13778699564417782
7,0.2,Batch-Impute,0.20304896120865265,0.11320100411398047
7,0.2,OT-Impute,0.2751960177574096,0.15233915141510945
7,0.2,OT-Rand,0.22131340959573734,0.12252319549827502
7,0.3,Batch-Impute,0.17119212129753197,0.09736208531177237
7,0.3,OT-Impute,0.2751960177574096,0.15233915141510945
7,0.3,OT-Rand,0.19121750647717567,0.1055624039407342
