DropoutNoise,Run,MAE
0.0,1,0.09245891056879184
0.0,2,0.09499046273235133
0.0,3,0.09437788359652492
0.0,4,0.0958297792381884
0.0,5,0.09434188776998016
0.0,6,0.09306393691667596
0.0,7,0.09453922089788479
0.0,8,0.09473776625328627
0.0,9,0.09494522908467158
0.0,10,0.0950840552472574
1e-05,1,0.09677777999084815
1e-05,2,0.09519586260327878
1e-05,3,0.0959904744943167
1e-05,4,0.09513634117952116
1e-05,5,0.0948144848526208
1e-05,6,0.09481016279161472
1e-05,7,0.09402757683746937
1e-05,8,0.09281939201732796
1e-05,9,0.09638628836261993
1e-05,10,0.09373354843111417
5e-05,1,0.09659938203393119
5e-05,2,0.09268226172533955
5e-05,3,0.09535625695932055
5e-05,4,0.09796930981754899
5e-05,5,0.09582757888551754
5e-05,6,0.0906934302911901
5e-05,7,0.09562828870342624
5e-05,8,0.09216556779333816
5e-05,9,0.09180080569488286
5e-05,10,0.09495535655185973
0.0001,1,0.09472016941812889
0.0001,2,0.09441883576534035
0.0001,3,0.09550070873602377
0.0001,4,0.09483432158895823
0.0001,5,0.09419904810894475
0.0001,6,0.0905714677452382
0.0001,7,0.09623558839504927
0.0001,8,0.09428699249276905
0.0001,9,0.09361579865704978
0.0001,10,0.09469134493959122
0.0005,1,0.09563947917325802
0.0005,2,0.0907204271984501
0.0005,3,0.09316584471118085
0.0005,4,0.0932991778955878
0.0005,5,0.0930609918236524
0.0005,6,0.0914961869672278
0.0005,7,0.09298697210963923
0.0005,8,0.0941938967119506
0.0005,9,0.09250467757325877
0.0005,10,0.09408080033941199
0.001,1,0.09538505064337
0.001,2,0.09689381158238004
0.001,3,0.09381119615561384
0.001,4,0.09459848563162537
0.001,5,0.09323589066136924
0.001,6,0.09431256396596936
0.001,7,0.09329762692050193
0.001,8,0.0948023701472819
0.001,9,0.0958851862461448
0.001,10,0.09308832506033499
0.005,1,0.09422196626464463
0.005,2,0.09578012754044221
0.005,3,0.09535866482224764
0.005,4,0.09551566528059983
0.005,5,0.09343278872227098
0.005,6,0.0920742545979116
0.005,7,0.09460127819171073
0.005,8,0.09643849082146494
0.005,9,0.09086994639751855
0.005,10,0.09433791698739236
0.01,1,0.09522950526391849
0.01,2,0.09346313499492633
0.01,3,0.09569622014325303
0.01,4,0.09314267311504404
0.01,5,0.09496231993884419
0.01,6,0.09348508158872326
0.01,7,0.09357255716466228
0.01,8,0.098206097401803
0.01,9,0.09555321854652495
0.01,10,0.09806610891206069
0.05,1,0.09571107027444041
0.05,2,0.09574644692954205
0.05,3,0.09373659104959119
0.05,4,0.09458958517292591
0.05,5,0.0979530362749482
0.05,6,0.0943219148679645
0.05,7,0.09511617711450893
0.05,8,0.09490500086666429
0.05,9,0.0943994016970826
0.05,10,0.09524146601813487
0.1,1,0.09587378548529636
0.1,2,0.0973176805199076
0.1,3,0.09803917468462775
0.1,4,0.09720679118381763
0.1,5,0.10034645631464237
0.1,6,0.09827818350542608
0.1,7,0.09708411522505596
0.1,8,0.09575928172897004
0.1,9,0.09789110766244113
0.1,10,0.09827227866006222
