DropoutNoise,Run,MAE
0.0,1,0.10294468575847542
0.0,2,0.10227839960422747
0.0,3,0.10197431154294649
0.0,4,0.10107999873174023
0.0,5,0.10240898173258749
0.0,6,0.10151111931314895
0.0,7,0.10338383033473256
0.0,8,0.1012752680942836
0.0,9,0.09871929599861748
0.0,10,0.09840718359000769
1e-05,1,0.10058545800468524
1e-05,2,0.10265566478091807
1e-05,3,0.09573427516256564
1e-05,4,0.09614397511928208
1e-05,5,0.10684416614118182
1e-05,6,0.10022222344070364
1e-05,7,0.10372066118933403
1e-05,8,0.10316659361632978
1e-05,9,0.10475642979559856
1e-05,10,0.09948059181738425
5e-05,1,0.09683750243338028
5e-05,2,0.10053048141942048
5e-05,3,0.10272685191014382
5e-05,4,0.10240769035497774
5e-05,5,0.10239694426248684
5e-05,6,0.09906771730126637
5e-05,7,0.10069386182071126
5e-05,8,0.10113848692760155
5e-05,9,0.102960885569312
5e-05,10,0.09814803888641825
0.0001,1,0.09970323068736572
0.0001,2,0.10065775548404611
0.0001,3,0.10277477343462756
0.0001,4,0.09841306387769726
0.0001,5,0.10245572489231339
0.0001,6,0.0989899786359001
0.0001,7,0.09885473697663417
0.0001,8,0.10498909885020202
0.0001,9,0.09645828037103492
0.0001,10,0.09667365642897008
0.0005,1,0.10444401579144519
0.0005,2,0.10249700084283539
0.0005,3,0.0987465880740768
0.0005,4,0.10037513128546824
0.0005,5,0.10536573833764835
0.0005,6,0.10039538629510245
0.0005,7,0.10325389765634393
0.0005,8,0.0999064418704752
0.0005,9,0.10105220976188306
0.0005,10,0.10202152108986054
0.001,1,0.10205506611704744
0.001,2,0.09917212240486041
0.001,3,0.09545078473979382
0.001,4,0.09817200742970952
0.001,5,0.1041452253706756
0.001,6,0.09865380759233834
0.001,7,0.09899112434338858
0.001,8,0.10280353101489609
0.001,9,0.10260973983566388
0.001,10,0.10051805192009165
0.005,1,0.09780587679971552
0.005,2,0.09655023531340275
0.005,3,0.10255833072137757
0.005,4,0.09987592972740363
0.005,5,0.10251173019928142
0.005,6,0.09935088138119136
0.005,7,0.09748298952637519
0.005,8,0.0953946723842212
0.005,9,0.1004182922893972
0.005,10,0.09938095366176544
0.01,1,0.10203455871609006
0.01,2,0.09570324289250504
0.01,3,0.10137911577731368
0.01,4,0.10058886942002676
0.01,5,0.10142488833923705
0.01,6,0.0995979309869007
0.01,7,0.09771172100176734
0.01,8,0.10061771204042852
0.01,9,0.0997892620434895
0.01,10,0.09749998424654838
0.05,1,0.10017836890906949
0.05,2,0.10012013098034651
0.05,3,0.09787866404109666
0.05,4,0.10040484837750403
0.05,5,0.10065717875332815
0.05,6,0.09946078743855448
0.05,7,0.10008392512444464
0.05,8,0.09999140642488845
0.05,9,0.10201266529895892
0.05,10,0.09794506492305367
0.1,1,0.09958726410277136
0.1,2,0.10328711226827575
0.1,3,0.1013507960091042
0.1,4,0.09934777604336983
0.1,5,0.09914940702926515
0.1,6,0.09826976107017134
0.1,7,0.09826167749845761
0.1,8,0.10253355906074288
0.1,9,0.09851558921462383
0.1,10,0.10543501881690359
