DropoutNoise,Run,MAE
0.0,1,0.12395296624257236
0.0,2,0.12604537560300094
0.0,3,0.12143095819648402
0.0,4,0.1203445755255847
0.0,5,0.1229099515819805
0.0,6,0.12168936374447116
0.0,7,0.12343074534139077
0.0,8,0.11899031952278433
0.0,9,0.12223475584035971
0.0,10,0.12059691330316225
1e-05,1,0.12265439710289956
1e-05,2,0.12032483972026181
1e-05,3,0.11758203034591942
1e-05,4,0.12271532189721965
1e-05,5,0.12215399528607655
1e-05,6,0.1267479547219022
1e-05,7,0.12246732027532921
1e-05,8,0.12229482062217735
1e-05,9,0.12261610936357656
1e-05,10,0.12219750155590418
5e-05,1,0.12229714979526018
5e-05,2,0.12347366252578193
5e-05,3,0.1214223028530894
5e-05,4,0.12465782180163076
5e-05,5,0.12504805745877065
5e-05,6,0.12123987323097052
5e-05,7,0.12239038796198294
5e-05,8,0.12213919664844161
5e-05,9,0.12150694632833371
5e-05,10,0.12275623572120573
0.0001,1,0.12058967753258718
0.0001,2,0.122735965068984
0.0001,3,0.12164838270932764
0.0001,4,0.12185994099980456
0.0001,5,0.12336890202242963
0.0001,6,0.11987830543714675
0.0001,7,0.12273636688413367
0.0001,8,0.12212612072707296
0.0001,9,0.12372747454147424
0.0001,10,0.12296443382743376
0.0005,1,0.1240323298385196
0.0005,2,0.12268830278263912
0.0005,3,0.12254124121901963
0.0005,4,0.12043581536261717
0.0005,5,0.11913792430235774
0.0005,6,0.1213180347614735
0.0005,7,0.12149973825388945
0.0005,8,0.120793389794002
0.0005,9,0.12409623848185068
0.0005,10,0.12492464723916043
0.001,1,0.12161683925673883
0.001,2,0.12313664514894876
0.001,3,0.1223298214653552
0.001,4,0.12291907972105329
0.001,5,0.12090592066205683
0.001,6,0.12207156106875516
0.001,7,0.12271293778979475
0.001,8,0.12233995743643343
0.001,9,0.12229942547322156
0.001,10,0.1226658129460033
0.005,1,0.12058531927744341
0.005,2,0.11867201581814843
0.005,3,0.1224309262173342
0.005,4,0.12482322884697107
0.005,5,0.12383200382249168
0.005,6,0.12147279244092304
0.005,7,0.12092175039339063
0.005,8,0.12356068986250231
0.005,9,0.12345410472294682
0.005,10,0.12340045851738918
0.01,1,0.12322002280776272
0.01,2,0.1213827858439766
0.01,3,0.1230754924680726
0.01,4,0.12057939777660046
0.01,5,0.12451056678055568
0.01,6,0.12195500224481973
0.01,7,0.12169727330574154
0.01,8,0.11981716276499252
0.01,9,0.11939324295597216
0.01,10,0.12195770592207325
0.05,1,0.11638897098521064
0.05,2,0.12058596049279412
0.05,3,0.1217946763778377
0.05,4,0.11890544814068162
0.05,5,0.12231095557840652
0.05,6,0.11902540217470509
0.05,7,0.1176940674135233
0.05,8,0.11974971620374214
0.05,9,0.12054503608685878
0.05,10,0.11701588714762684
0.1,1,0.11658654440927153
0.1,2,0.11697001008723859
0.1,3,0.11986262114465154
0.1,4,0.1161507789456836
0.1,5,0.11528283581292866
0.1,6,0.11838216213846563
0.1,7,0.11527422887442394
0.1,8,0.11826786455384293
0.1,9,0.11433251283732766
0.1,10,0.11860222753425714
