k,BudgetFraction,MAE,Runtime,UniqueQueried,AvgStdQueried
1,0.1,0.09609208324063179,62.99281644821167,184,0.15295203086708406
2,0.1,0.09131463545498474,153.19618725776672,184,0.16652400327725567
3,0.1,0.09350367226294476,220.42206621170044,183,0.17962603673949143
4,0.1,0.09306251953004883,253.05569791793823,184,0.1837094082540956
5,0.1,0.09452748930054407,310.2258138656616,180,0.18609047016670038
6,0.1,0.09312683368372929,369.6925256252289,180,0.19423090348697855
7,0.1,0.09343632704823107,420.47876167297363,182,0.19687529474226745
8,0.1,0.09460144425770858,500.999214887619,184,0.19530194492344363
9,0.1,0.09354114869577634,561.7983384132385,180,0.20146297781051062
10,0.1,0.09408973662496756,627.458958864212,180,0.20259463069430259
11,0.1,0.09299965455841659,709.1885075569153,176,0.20743960495818214
12,0.1,0.09316425065486629,730.8457021713257,180,0.20556643285283202
13,0.1,0.09258345325371795,817.3166282176971,182,0.2076196074581215
14,0.1,0.09210788757774477,856.4347162246704,182,0.21017732290023283
15,0.1,0.09327794582319777,897.3349237442017,180,0.21282101491036928
1,0.2,0.08059985651678513,58.542458295822144,368,0.12663703669936627
2,0.2,0.07939166679558758,124.1400420665741,368,0.14832286729494612
3,0.2,0.07846112757133276,183.0789852142334,366,0.15436148982702277
4,0.2,0.07949782124247157,243.62286162376404,368,0.16145824268451237
5,0.2,0.07960025402399723,310.2698109149933,365,0.16527394622427777
6,0.2,0.08016881574248215,365.95062279701233,366,0.1705478189889057
7,0.2,0.07927025617011378,436.7913889884949,364,0.17378659986295555
8,0.2,0.07926317740339706,484.07291650772095,368,0.17775688751422777
9,0.2,0.08137174681370939,545.0638320446014,360,0.18310799128487346
10,0.2,0.07901956198478202,621.6963019371033,360,0.1833285776785803
11,0.2,0.07807807690028642,746.4304597377777,363,0.18757695455597714
12,0.2,0.08178841894783798,822.7645115852356,360,0.1899999533757283
13,0.2,0.07954343029032279,845.5264875888824,364,0.18880356953863442
14,0.2,0.07918453654132876,920.5662081241608,364,0.1907620519068268
15,0.2,0.08045990786293875,1059.6230745315552,360,0.1919017548465827
1,0.3,0.06814009990654271,62.8506646156311,552,0.11467901307235252
2,0.3,0.0673692431421058,126.64168500900269,552,0.13128689727551096
3,0.3,0.06650478934934693,182.97582030296326,552,0.14364457368243158
4,0.3,0.06686759740777094,242.4588646888733,552,0.14814102508184113
5,0.3,0.06671630334063015,306.31334042549133,550,0.15294179845743933
6,0.3,0.06622109266250555,371.5196375846863,552,0.15865468748694844
7,0.3,0.06780534158526615,407.0654740333557,546,0.16301690474422054
8,0.3,0.06612377504288997,468.90712428092957,552,0.1627966761783512
9,0.3,0.06707969618688589,519.2852380275726,549,0.16865309024298977
10,0.3,0.06757030559109622,580.0858082771301,550,0.1682338703253676
11,0.3,0.06582568885592124,633.6657354831696,550,0.1694829825761947
12,0.3,0.06656800561619947,735.2923450469971,552,0.17379681480923606
13,0.3,0.06892320437131991,4107.559027194977,546,0.17317107963489592
14,0.3,0.06926626603486655,847.6368236541748,546,0.17786497883342137
15,0.3,0.06813261894628454,977.4026262760162,540,0.1769627859796556
