k,BudgetFraction,MAE,Runtime,UniqueQueried,AvgStdQueried
1,0.1,0.1192378687788259,81.14716148376465,184,0.1514796434137351
2,0.1,0.11720853953188935,158.8562605381012,184,0.16590253374297537
3,0.1,0.1149005798794065,228.7899785041809,183,0.17225332218648978
4,0.1,0.11358646083204177,305.6812222003937,184,0.18367459681423276
5,0.1,0.11491825076017168,406.5895674228668,180,0.1864180074973978
6,0.1,0.11766618137416564,400.7316370010376,180,0.19170611195927215
7,0.1,0.11560338343283398,494.10181879997253,182,0.19487561667812447
8,0.1,0.11372358185289913,615.2501976490021,184,0.19373739712666088
9,0.1,0.11209204053452038,653.5570275783539,180,0.20198027844238386
10,0.1,0.11343468999823819,712.5725927352905,180,0.20017632036820404
11,0.1,0.11408093429531366,878.2705268859863,176,0.2034878872720365
12,0.1,0.11552952739465937,757.0934133529663,180,0.20526369476936593
13,0.1,0.11273651714197547,966.233163356781,182,0.2061387370156157
14,0.1,0.11590729932300697,1066.6758506298065,182,0.20631954662421834
15,0.1,0.11584857768942307,1112.4947888851166,180,0.21277249363948145
1,0.2,0.10654788900026915,70.55952906608582,368,0.12940964579554384
2,0.2,0.10167416253029914,164.26734709739685,368,0.14465202926255927
3,0.2,0.09614401859870798,210.675714969635,366,0.15536773987067948
4,0.2,0.09773363760937205,290.82261967658997,368,0.16232434369469784
5,0.2,0.09854364737467954,402.7010293006897,365,0.16678693444505627
6,0.2,0.09750623669533458,432.2968428134918,366,0.17124364251174315
7,0.2,0.09708277466620566,461.15147256851196,364,0.17490026293031377
8,0.2,0.09886079815961014,530.9185938835144,368,0.17610002385994392
9,0.2,0.09832290460606515,642.0234560966492,360,0.1810978089539973
10,0.2,0.09774682351762985,672.0206518173218,360,0.18553131779272364
11,0.2,0.09715994752766698,910.4072425365448,363,0.1842176838962626
12,0.2,0.09535325804962673,935.4077770709991,360,0.18953075572648925
13,0.2,0.0970276550299304,1023.1694917678833,364,0.18881571471309092
14,0.2,0.09774386434409724,1173.5749979019165,364,0.19062161119966242
15,0.2,0.09760437990775328,1417.9546732902527,360,0.1905792201593543
1,0.3,0.08876088944350123,131.12318015098572,552,0.11501779757959539
2,0.3,0.08433688796602719,206.49813604354858,552,0.1312937381777573
3,0.3,0.08118947311033206,313.32120084762573,552,0.1436581220296344
4,0.3,0.08207383744371206,618.5510005950928,552,0.14771658714342367
5,0.3,0.081280480789733,483.5140769481659,550,0.15522574283131355
6,0.3,0.08313938011090052,494.3154764175415,552,0.15799608977867471
7,0.3,0.07941905409120677,724.4155597686768,546,0.16480183458784967
8,0.3,0.08144065106258809,637.944328546524,552,0.16447344451633739
9,0.3,0.08213981701414104,602.0910465717316,549,0.16801053071410302
10,0.3,0.08156777941897717,818.980012178421,550,0.16910084447108115
11,0.3,0.0822297024086005,957.3691604137421,550,0.17007748244067555
12,0.3,0.08120595697716461,1215.1973066329956,552,0.17089554801277887
13,0.3,0.08176461357486844,32505.76038980484,546,0.17327983977849792
14,0.3,0.08314554779173729,1701.4495434761047,546,0.17645298485496036
15,0.3,0.08355171621801843,1148.8447434902191,540,0.17789877435115853
