Run,MissingRate(%),Method,MAE
0,10,Mean,0.1177
0,10,KNN,0.1034
0,10,MICE,0.0934
0,10,OT-Impute,0.1037
0,10,OT-Rand,0.0901
0,10,Batch-Impute,0.0805
0,20,Mean,0.1195
0,20,KNN,0.1171
0,20,MICE,0.1048
0,20,OT-Impute,0.1037
0,20,OT-Rand,0.0944
0,20,Batch-Impute,0.0855
0,30,Mean,0.1186
0,30,KNN,0.1314
0,30,MICE,0.1259
0,30,OT-Impute,0.1123
0,30,OT-Rand,0.0998
0,30,Batch-Impute,0.0871
0,40,Mean,0.1212
0,40,KNN,0.1336
0,40,MICE,0.1298
0,40,OT-Impute,0.1147
0,40,OT-Rand,0.1046
0,40,Batch-Impute,0.0898
0,50,Mean,0.1219
0,50,KNN,0.1338
0,50,MICE,0.1254
0,50,OT-Impute,0.1196
0,50,OT-Rand,0.1027
0,50,Batch-Impute,0.0927
0,60,Mean,0.1241
0,60,KNN,0.1259
0,60,MICE,0.1233
0,60,OT-Impute,0.1236
0,60,OT-Rand,0.1096
0,60,Batch-Impute,0.0956
0,70,Mean,0.1246
0,70,KNN,0.1225
0,70,MICE,0.1257
0,70,OT-Impute,0.1286
0,70,OT-Rand,0.1152
0,70,Batch-Impute,0.1025
0,80,Mean,0.1252
0,80,KNN,0.1188
0,80,MICE,0.1301
0,80,OT-Impute,0.1329
0,80,OT-Rand,0.122
0,80,Batch-Impute,0.1082
1,10,Mean,0.1177
1,10,KNN,0.1034
1,10,MICE,0.0934
1,10,OT-Impute,0.1032
1,10,OT-Rand,0.0877
1,10,Batch-Impute,0.0766
1,20,Mean,0.1195
1,20,KNN,0.1171
1,20,MICE,0.1048
1,20,OT-Impute,0.1088
1,20,OT-Rand,0.0928
1,20,Batch-Impute,0.0865
1,30,Mean,0.1186
1,30,KNN,0.1314
1,30,MICE,0.1259
1,30,OT-Impute,0.1101
1,30,OT-Rand,0.097
1,30,Batch-Impute,0.0861
1,40,Mean,0.1212
1,40,KNN,0.1336
1,40,MICE,0.1298
1,40,OT-Impute,0.1119
1,40,OT-Rand,0.103
1,40,Batch-Impute,0.0894
1,50,Mean,0.1219
1,50,KNN,0.1338
1,50,MICE,0.1254
1,50,OT-Impute,0.1152
1,50,OT-Rand,0.1022
1,50,Batch-Impute,0.0925
1,60,Mean,0.1241
1,60,KNN,0.1259
1,60,MICE,0.1233
1,60,OT-Impute,0.1222
1,60,OT-Rand,0.1114
1,60,Batch-Impute,0.0969
1,70,Mean,0.1246
1,70,KNN,0.1225
1,70,MICE,0.1257
1,70,OT-Impute,0.1304
1,70,OT-Rand,0.1156
1,70,Batch-Impute,0.1021
1,80,Mean,0.1252
1,80,KNN,0.1188
1,80,MICE,0.1301
1,80,OT-Impute,0.1368
1,80,OT-Rand,0.1226
1,80,Batch-Impute,0.1083
2,10,Mean,0.1177
2,10,KNN,0.1034
2,10,MICE,0.0934
2,10,OT-Impute,0.1027
2,10,OT-Rand,0.0897
2,10,Batch-Impute,0.0773
2,20,Mean,0.1195
2,20,KNN,0.1171
2,20,MICE,0.1048
2,20,OT-Impute,0.107
2,20,OT-Rand,0.0938
2,20,Batch-Impute,0.0831
2,30,Mean,0.1186
2,30,KNN,0.1314
2,30,MICE,0.1259
2,30,OT-Impute,0.1121
2,30,OT-Rand,0.0968
2,30,Batch-Impute,0.085
2,40,Mean,0.1212
2,40,KNN,0.1336
2,40,MICE,0.1298
2,40,OT-Impute,0.113
2,40,OT-Rand,0.1019
2,40,Batch-Impute,0.0894
2,50,Mean,0.1219
2,50,KNN,0.1338
2,50,MICE,0.1254
2,50,OT-Impute,0.1168
2,50,OT-Rand,0.1053
2,50,Batch-Impute,0.0932
2,60,Mean,0.1241
2,60,KNN,0.1259
2,60,MICE,0.1233
2,60,OT-Impute,0.1235
2,60,OT-Rand,0.109
2,60,Batch-Impute,0.0973
2,70,Mean,0.1246
2,70,KNN,0.1225
2,70,MICE,0.1257
2,70,OT-Impute,0.1254
2,70,OT-Rand,0.118
2,70,Batch-Impute,0.1027
2,80,Mean,0.1252
2,80,KNN,0.1188
2,80,MICE,0.1301
2,80,OT-Impute,0.1342
2,80,OT-Rand,0.1212
2,80,Batch-Impute,0.1076
3,10,Mean,0.1177
3,10,KNN,0.1034
3,10,MICE,0.0934
3,10,OT-Impute,0.1036
3,10,OT-Rand,0.0885
3,10,Batch-Impute,0.0773
3,20,Mean,0.1195
3,20,KNN,0.1171
3,20,MICE,0.1048
3,20,OT-Impute,0.1074
3,20,OT-Rand,0.0961
3,20,Batch-Impute,0.0851
3,30,Mean,0.1186
3,30,KNN,0.1314
3,30,MICE,0.1259
3,30,OT-Impute,0.1118
3,30,OT-Rand,0.099
3,30,Batch-Impute,0.0856
3,40,Mean,0.1212
3,40,KNN,0.1336
3,40,MICE,0.1298
3,40,OT-Impute,0.1114
3,40,OT-Rand,0.1022
3,40,Batch-Impute,0.0898
3,50,Mean,0.1219
3,50,KNN,0.1338
