Run,MissingRate(%),Method,MAE
0,10,Mean,0.1182
0,10,KNN,0.1044
0,10,MICE,0.097
0,10,OT-Impute,0.1022
0,10,OT-Rand,0.0945
0,10,Batch-Impute,0.0818
0,20,Mean,0.1221
0,20,KNN,0.1144
0,20,MICE,0.1046
0,20,OT-Impute,0.1184
0,20,OT-Rand,0.098
0,20,Batch-Impute,0.09
0,30,Mean,0.1216
0,30,KNN,0.1214
0,30,MICE,0.1184
0,30,OT-Impute,0.1152
0,30,OT-Rand,0.1039
0,30,Batch-Impute,0.0902
0,40,Mean,0.1247
0,40,KNN,0.1234
0,40,MICE,0.1268
0,40,OT-Impute,0.126
0,40,OT-Rand,0.1144
0,40,Batch-Impute,0.0968
0,50,Mean,0.1226
0,50,KNN,0.1259
0,50,MICE,0.1314
0,50,OT-Impute,0.1222
0,50,OT-Rand,0.1149
0,50,Batch-Impute,0.0968
0,60,Mean,0.1235
0,60,KNN,0.1253
0,60,MICE,0.1223
0,60,OT-Impute,0.1284
0,60,OT-Rand,0.1173
0,60,Batch-Impute,0.1018
0,70,Mean,0.1233
0,70,KNN,0.1268
0,70,MICE,0.1258
0,70,OT-Impute,0.1295
0,70,OT-Rand,0.1176
0,70,Batch-Impute,0.1034
0,80,Mean,0.1235
0,80,KNN,0.1246
0,80,MICE,0.128
0,80,OT-Impute,0.1341
0,80,OT-Rand,0.1227
0,80,Batch-Impute,0.107
1,10,Mean,0.1225
1,10,KNN,0.1116
1,10,MICE,0.1076
1,10,OT-Impute,0.1135
1,10,OT-Rand,0.102
1,10,Batch-Impute,0.0908
1,20,Mean,0.1258
1,20,KNN,0.117
1,20,MICE,0.1088
1,20,OT-Impute,0.1148
1,20,OT-Rand,0.1027
1,20,Batch-Impute,0.0938
1,30,Mean,0.1195
1,30,KNN,0.12
1,30,MICE,0.1244
1,30,OT-Impute,0.116
1,30,OT-Rand,0.104
1,30,Batch-Impute,0.0922
1,40,Mean,0.1251
1,40,KNN,0.1272
1,40,MICE,0.1285
1,40,OT-Impute,0.1224
1,40,OT-Rand,0.1089
1,40,Batch-Impute,0.0957
1,50,Mean,0.1234
1,50,KNN,0.1253
1,50,MICE,0.1227
1,50,OT-Impute,0.1269
1,50,OT-Rand,0.1147
1,50,Batch-Impute,0.1006
1,60,Mean,0.122
1,60,KNN,0.1231
1,60,MICE,0.1201
1,60,OT-Impute,0.1278
1,60,OT-Rand,0.1123
1,60,Batch-Impute,0.1004
1,70,Mean,0.1225
1,70,KNN,0.1277
1,70,MICE,0.122
1,70,OT-Impute,0.1296
1,70,OT-Rand,0.1194
1,70,Batch-Impute,0.1036
1,80,Mean,0.1228
1,80,KNN,0.1266
1,80,MICE,0.1278
1,80,OT-Impute,0.1344
1,80,OT-Rand,0.1221
1,80,Batch-Impute,0.1086
2,10,Mean,0.1245
2,10,KNN,0.112
2,10,MICE,0.1046
2,10,OT-Impute,0.1153
2,10,OT-Rand,0.1021
2,10,Batch-Impute,0.094
2,20,Mean,0.1178
2,20,KNN,0.1112
2,20,MICE,0.1046
