Run,MissingRate(%),Method,MAE
0,10,Mean,0.1329
0,10,KNN,0.1196
0,10,MICE,0.1162
0,10,OT-Impute,0.1305
0,10,OT-Rand,0.1178
0,10,Batch-Impute,0.1019
0,20,Mean,0.1364
0,20,KNN,0.1269
0,20,MICE,0.1195
0,20,OT-Impute,0.1325
0,20,OT-Rand,0.1227
0,20,Batch-Impute,0.1079
0,30,Mean,0.1415
0,30,KNN,0.1369
0,30,MICE,0.1352
0,30,OT-Impute,0.1397
0,30,OT-Rand,0.1253
0,30,Batch-Impute,0.1133
0,40,Mean,0.1476
0,40,KNN,0.1438
0,40,MICE,0.1434
0,40,OT-Impute,0.1491
0,40,OT-Rand,0.1349
0,40,Batch-Impute,0.1243
0,50,Mean,0.1546
0,50,KNN,0.1539
0,50,MICE,0.1476
0,50,OT-Impute,0.1604
0,50,OT-Rand,0.143
0,50,Batch-Impute,0.134
0,60,Mean,0.1638
0,60,KNN,0.1613
0,60,MICE,0.1558
0,60,OT-Impute,0.1665
0,60,OT-Rand,0.1491
0,60,Batch-Impute,0.1427
0,70,Mean,0.1663
0,70,KNN,0.1679
0,70,MICE,0.1645
0,70,OT-Impute,0.1731
0,70,OT-Rand,0.1542
0,70,Batch-Impute,0.1493
0,80,Mean,0.163
0,80,KNN,0.1623
0,80,MICE,0.1635
0,80,OT-Impute,0.1649
0,80,OT-Rand,0.1481
0,80,Batch-Impute,0.1434
1,10,Mean,0.1329
1,10,KNN,0.1196
1,10,MICE,0.1162
1,10,OT-Impute,0.1319
1,10,OT-Rand,0.1132
1,10,Batch-Impute,0.1025
1,20,Mean,0.1364
1,20,KNN,0.1269
1,20,MICE,0.1195
1,20,OT-Impute,0.1314
1,20,OT-Rand,0.1235
1,20,Batch-Impute,0.1061
1,30,Mean,0.1415
1,30,KNN,0.1369
1,30,MICE,0.1352
1,30,OT-Impute,0.1364
1,30,OT-Rand,0.1281
1,30,Batch-Impute,0.1151
1,40,Mean,0.1476
1,40,KNN,0.1438
1,40,MICE,0.1434
1,40,OT-Impute,0.1502
1,40,OT-Rand,0.1358
1,40,Batch-Impute,0.1267
1,50,Mean,0.1546
1,50,KNN,0.1539
1,50,MICE,0.1476
1,50,OT-Impute,0.1591
1,50,OT-Rand,0.1449
1,50,Batch-Impute,0.135
1,60,Mean,0.1638
1,60,KNN,0.1613
1,60,MICE,0.1558
1,60,OT-Impute,0.1719
1,60,OT-Rand,0.1502
1,60,Batch-Impute,0.1445
1,70,Mean,0.1663
1,70,KNN,0.1679
1,70,MICE,0.1645
1,70,OT-Impute,0.1707
1,70,OT-Rand,0.1552
1,70,Batch-Impute,0.1491
1,80,Mean,0.163
1,80,KNN,0.1623
1,80,MICE,0.1635
1,80,OT-Impute,0.1672
1,80,OT-Rand,0.1476
1,80,Batch-Impute,0.1431
2,10,Mean,0.1329
2,10,KNN,0.1196
2,10,MICE,0.1162
2,10,OT-Impute,0.1307
