,,,MAE,MSE
0,0.1,Batch-Impute,0.08288992111500208,0.015554785354991373
0,0.1,OT-Impute,0.10469416459132826,0.02198876386724101
0,0.1,OT-Rand,0.09492346553339003,0.019716291023787046
0,0.2,Batch-Impute,0.06757641886583814,0.011758499827655863
0,0.2,OT-Impute,0.10469416459132826,0.02198876386724101
0,0.2,OT-Rand,0.08155004795500743,0.016980031351727123
0,0.3,Batch-Impute,0.05785186644616905,0.010554343115249538
0,0.3,OT-Impute,0.10469416459132826,0.02198876386724101
0,0.3,OT-Rand,0.06651277953905937,0.012911585056249323
1,0.1,Batch-Impute,0.08277113204603308,0.01564891580060311
1,0.1,OT-Impute,0.10779575128174358,0.023597379805938137
1,0.1,OT-Rand,0.09692073892598657,0.02129979197397748
1,0.2,Batch-Impute,0.07187499465765168,0.01347462145401931
1,0.2,OT-Impute,0.10779575128174358,0.023597379805938137
1,0.2,OT-Rand,0.08285858136846862,0.01721157091562463
1,0.3,Batch-Impute,0.06035563026664836,0.010816695344406218
1,0.3,OT-Impute,0.10779575128174358,0.023597379805938137
1,0.3,OT-Rand,0.07400645301938934,0.015550606197835722
2,0.1,Batch-Impute,0.08718734059535278,0.01671445696696798
2,0.1,OT-Impute,0.11331163392683788,0.025006831539563755
2,0.1,OT-Rand,0.10105442662721281,0.022250772698189595
2,0.2,Batch-Impute,0.07427693503080007,0.014488078490740632
2,0.2,OT-Impute,0.11331163392683788,0.025006831539563755
2,0.2,OT-Rand,0.08993371206689554,0.019461280620909256
2,0.3,Batch-Impute,0.06420623844548148,0.01257410826037262
2,0.3,OT-Impute,0.11331163392683788,0.025006831539563755
2,0.3,OT-Rand,0.076399912072575,0.017099224878663246
3,0.1,Batch-Impute,0.08961244259229555,0.01777358742075184
3,0.1,OT-Impute,0.11343515120937624,0.02544632197772631
3,0.1,OT-Rand,0.10287187108606201,0.023388468744091253
3,0.2,Batch-Impute,0.07876329958196909,0.01607817695696892
3,0.2,OT-Impute,0.11343515120937624,0.02544632197772631
3,0.2,OT-Rand,0.09201673145449715,0.020789670656367186
3,0.3,Batch-Impute,0.06521671014924914,0.012903992101348887
3,0.3,OT-Impute,0.11343515120937624,0.02544632197772631
3,0.3,OT-Rand,0.07848909458450351,0.017496306522363572
4,0.1,Batch-Impute,0.09235031752231193,0.018080525897568932
4,0.1,OT-Impute,0.1185425291657773,0.026531886962691553
4,0.1,OT-Rand,0.1070905735780379,0.02395418684387543
4,0.2,Batch-Impute,0.07894242380684953,0.015409466947581172
4,0.2,OT-Impute,0.1185425291657773,0.026531886962691553
4,0.2,OT-Rand,0.09304079289013496,0.02092097751192663
4,0.3,Batch-Impute,0.06911432159855153,0.01388754159509368
4,0.3,OT-Impute,0.1185425291657773,0.026531886962691553
4,0.3,OT-Rand,0.08247600224357728,0.018879328401984412
5,0.1,Batch-Impute,0.09666176049482575,0.019671695201291205
5,0.1,OT-Impute,0.123935887822114,0.02948662834778109
5,0.1,OT-Rand,0.11197425755248092,0.02650002109340865
5,0.2,Batch-Impute,0.08274615957359858,0.016707462229919458
5,0.2,OT-Impute,0.123935887822114,0.02948662834778109
5,0.2,OT-Rand,0.09736704547133035,0.022242108620262106
5,0.3,Batch-Impute,0.07064173013521134,0.013921587233592169
5,0.3,OT-Impute,0.123935887822114,0.02948662834778109
5,0.3,OT-Rand,0.08712111081685947,0.020175343095520114
6,0.1,Batch-Impute,0.10134622351094208,0.020957404594136024
6,0.1,OT-Impute,0.12560977394939335,0.029188575247158708
6,0.1,OT-Rand,0.11289546038131743,0.02633971789418828
6,0.2,Batch-Impute,0.08959774979687103,0.01857939409474508
6,0.2,OT-Impute,0.12560977394939335,0.029188575247158708
6,0.2,OT-Rand,0.10124423890026944,0.023307049490020614
6,0.3,Batch-Impute,0.07578229910870615,0.015845331046037255
6,0.3,OT-Impute,0.12560977394939335,0.029188575247158708
6,0.3,OT-Rand,0.09017412886538383,0.021373046432368186
7,0.1,Batch-Impute,0.10790791518906692,0.022944889749889893
7,0.1,OT-Impute,0.13435091868768773,0.03266709215179579
7,0.1,OT-Rand,0.12097953494246017,0.029327265168418624
7,0.2,Batch-Impute,0.09452772266992325,0.02020260133040807
7,0.2,OT-Impute,0.13435091868768773,0.03266709215179579
7,0.2,OT-Rand,0.10707387360989927,0.025984215456020806
7,0.3,Batch-Impute,0.08181843526575305,0.01760387534953581
7,0.3,OT-Impute,0.13435091868768773,0.03266709215179579
7,0.3,OT-Rand,0.09288391477812144,0.022090066681847872
