,,,MAE,MSE
0,0.1,Batch-Impute,0.08677850963279868,0.017430759308371787
0,0.1,OT-Impute,0.11482994983853836,0.027510399756189265
0,0.1,OT-Rand,0.10487997789871333,0.025336002292786226
0,0.2,Batch-Impute,0.07263164310002372,0.01414669900748697
0,0.2,OT-Impute,0.11482994983853836,0.027510399756189265
0,0.2,OT-Rand,0.08553864406174765,0.019286233761768815
0,0.3,Batch-Impute,0.06392941695360682,0.013462017972002813
0,0.3,OT-Impute,0.11482994983853836,0.027510399756189265
0,0.3,OT-Rand,0.07521840552531789,0.016160245492787186
1,0.1,Batch-Impute,0.0944839894827404,0.019928660049760225
1,0.1,OT-Impute,0.11780116136163722,0.02832611911154088
1,0.1,OT-Rand,0.10613931718431362,0.02531879536695791
1,0.2,Batch-Impute,0.08050611900673692,0.016783263741219183
1,0.2,OT-Impute,0.11780116136163722,0.02832611911154088
1,0.2,OT-Rand,0.08973968086210149,0.01992346251772418
1,0.3,Batch-Impute,0.06661166867214871,0.01312268878332673
1,0.3,OT-Impute,0.11780116136163722,0.02832611911154088
1,0.3,OT-Rand,0.0854649779782906,0.020861537765545356
2,0.1,Batch-Impute,0.09163450988584292,0.018830631125360146
2,0.1,OT-Impute,0.11631050328040529,0.02680168461252965
2,0.1,OT-Rand,0.10606831489607202,0.02468843059085421
2,0.2,Batch-Impute,0.07975195037999341,0.01613884319794395
2,0.2,OT-Impute,0.11631050328040529,0.02680168461252965
2,0.2,OT-Rand,0.09413785761962444,0.021997585153730282
2,0.3,Batch-Impute,0.06490365898020484,0.012771428120751153
2,0.3,OT-Impute,0.11631050328040529,0.02680168461252965
2,0.3,OT-Rand,0.08339281221750935,0.019472501218626172
3,0.1,Batch-Impute,0.09562514199346163,0.020314577676586912
3,0.1,OT-Impute,0.12033938146711942,0.028686602388893697
3,0.1,OT-Rand,0.10843324172338208,0.0257685486538686
3,0.2,Batch-Impute,0.08161302790298662,0.01760926019381105
3,0.2,OT-Impute,0.12033938146711942,0.028686602388893697
3,0.2,OT-Rand,0.09824977005267345,0.023811327107917727
3,0.3,Batch-Impute,0.07001997468052897,0.015026297922537133
3,0.3,OT-Impute,0.12033938146711942,0.028686602388893697
3,0.3,OT-Rand,0.0845914802357364,0.020608684877270682
4,0.1,Batch-Impute,0.09936766844352762,0.02135052945822725
4,0.1,OT-Impute,0.12459639332903065,0.029969156158122193
4,0.1,OT-Rand,0.11260974176305323,0.027200584079343587
4,0.2,Batch-Impute,0.08580843647288598,0.01831981590837267
4,0.2,OT-Impute,0.12459639332903065,0.029969156158122193
4,0.2,OT-Rand,0.10157815868640957,0.025549158351483397
4,0.3,Batch-Impute,0.0725235783356123,0.015517175383765363
4,0.3,OT-Impute,0.12459639332903065,0.029969156158122193
4,0.3,OT-Rand,0.08848969883951874,0.021062576415599724
5,0.1,Batch-Impute,0.10156004989605738,0.02155699494408527
5,0.1,OT-Impute,0.1283887546875429,0.03074142912469909
5,0.1,OT-Rand,0.11553968556744867,0.027828928093295145
5,0.2,Batch-Impute,0.08523558961111405,0.017565588706930365
5,0.2,OT-Impute,0.1283887546875429,0.03074142912469909
5,0.2,OT-Rand,0.10555578592191016,0.02650902988352713
5,0.3,Batch-Impute,0.07360205296082452,0.015276471885425653
5,0.3,OT-Impute,0.1283887546875429,0.03074142912469909
5,0.3,OT-Rand,0.08816358217990299,0.021115469460428884
6,0.1,Batch-Impute,0.10694565455737838,0.023486624179522513
6,0.1,OT-Impute,0.13465435671098763,0.03401230188873152
6,0.1,OT-Rand,0.12067739164776341,0.030407969298831106
6,0.2,Batch-Impute,0.09100804570393842,0.020096345144410683
6,0.2,OT-Impute,0.13465435671098763,0.03401230188873152
6,0.2,OT-Rand,0.10571362609735552,0.025970391026499416
6,0.3,Batch-Impute,0.07844768111917413,0.017502870042717375
6,0.3,OT-Impute,0.13465435671098763,0.03401230188873152
6,0.3,OT-Rand,0.09021497030514734,0.022188203631065096
7,0.1,Batch-Impute,0.1082678494712876,0.023985638066765146
7,0.1,OT-Impute,0.13546361292502826,0.03351224658651317
7,0.1,OT-Rand,0.12132107747330552,0.02961982763257648
7,0.2,Batch-Impute,0.09289332992282658,0.020429833450010326
7,0.2,OT-Impute,0.13546361292502826,0.03351224658651317
7,0.2,OT-Rand,0.10885681465684163,0.02735219165904914
7,0.3,Batch-Impute,0.08103994305748233,0.01814451526178348
7,0.3,OT-Impute,0.13546361292502826,0.03351224658651317
7,0.3,OT-Rand,0.09275557141525956,0.02259746373591052
