,,,MAE,MSE
0,0.1,Batch-Impute,0.10352673301539454,0.024557758738781178
0,0.1,OT-Impute,0.1304408282472048,0.032675418736164315
0,0.1,OT-Rand,0.11525168407279833,0.028127829564220594
0,0.2,Batch-Impute,0.0921858799231727,0.022427453235595075
0,0.2,OT-Impute,0.1304408282472048,0.032675418736164315
0,0.2,OT-Rand,0.10533449428054292,0.026767119952956202
0,0.3,Batch-Impute,0.08012678101446508,0.019240840015678988
0,0.3,OT-Impute,0.1304408282472048,0.032675418736164315
0,0.3,OT-Rand,0.08768168710401347,0.02249194459049276
1,0.1,Batch-Impute,0.10718494739769217,0.025093241721546474
1,0.1,OT-Impute,0.13204539415396965,0.033045456737398615
1,0.1,OT-Rand,0.1180743965050395,0.029639362035990664
1,0.2,Batch-Impute,0.0939591265413887,0.022766335594590643
1,0.2,OT-Impute,0.13204539415396965,0.033045456737398615
1,0.2,OT-Rand,0.10807619507194387,0.028428054831677853
1,0.3,Batch-Impute,0.08238128855457755,0.02036333777129334
1,0.3,OT-Impute,0.13204539415396965,0.033045456737398615
1,0.3,OT-Rand,0.09131214130937614,0.02304446366818597
2,0.1,Batch-Impute,0.1142985936939786,0.02817234965429022
2,0.1,OT-Impute,0.13975933443033872,0.03693476998609915
2,0.1,OT-Rand,0.1258732945102084,0.03327481502255783
2,0.2,Batch-Impute,0.1013377634491385,0.026008673322660113
2,0.2,OT-Impute,0.13975933443033872,0.03693476998609915
2,0.2,OT-Rand,0.11339502538276174,0.02972804204594379
2,0.3,Batch-Impute,0.08329583968673522,0.02047250104822148
2,0.3,OT-Impute,0.13975933443033872,0.03693476998609915
2,0.3,OT-Rand,0.0971787203974684,0.026126984183384886
3,0.1,Batch-Impute,0.1277888651751422,0.033128129978135974
3,0.1,OT-Impute,0.14989396171777392,0.04060631675890373
3,0.1,OT-Rand,0.13490255253405853,0.036533701274189985
3,0.2,Batch-Impute,0.10992147920405679,0.028204101051099228
3,0.2,OT-Impute,0.14989396171777392,0.04060631675890373
3,0.2,OT-Rand,0.12240229975890576,0.03332246161535048
3,0.3,Batch-Impute,0.0962258865822333,0.02501972408624715
3,0.3,OT-Impute,0.14989396171777392,0.04060631675890373
3,0.3,OT-Rand,0.10595292688822118,0.028926347115488898
4,0.1,Batch-Impute,0.13412535689412883,0.03558179924281487
4,0.1,OT-Impute,0.16072087236792373,0.04550853588337054
4,0.1,OT-Rand,0.14439367435158917,0.04096092069131457
4,0.2,Batch-Impute,0.11848332617201136,0.03164059669994589
4,0.2,OT-Impute,0.16072087236792373,0.04550853588337054
4,0.2,OT-Rand,0.12668058661370363,0.03496687655091688
4,0.3,Batch-Impute,0.10105533419026445,0.02694144221461442
4,0.3,OT-Impute,0.16072087236792373,0.04550853588337054
4,0.3,OT-Rand,0.1134236265369462,0.03243453086950935
5,0.1,Batch-Impute,0.14264016584635095,0.0397766219124762
5,0.1,OT-Impute,0.16786392527165372,0.049336616918007364
5,0.1,OT-Rand,0.15142672019250256,0.04465915201887163
5,0.2,Batch-Impute,0.12655886085670728,0.036012738976090704
5,0.2,OT-Impute,0.16786392527165372,0.049336616918007364
5,0.2,OT-Rand,0.13384393825439617,0.03960913918242353
5,0.3,Batch-Impute,0.11196558031067398,0.032918611302636167
5,0.3,OT-Impute,0.16786392527165372,0.049336616918007364
5,0.3,OT-Rand,0.11816917018091862,0.03544196156018458
6,0.1,Batch-Impute,0.14989604667340595,0.04322642498324204
6,0.1,OT-Impute,0.16973313637881904,0.050081880432435395
6,0.1,OT-Rand,0.1533159804710442,0.045449159966820016
6,0.2,Batch-Impute,0.13182120332272637,0.03842502646785307
6,0.2,OT-Impute,0.16973313637881904,0.050081880432435395
6,0.2,OT-Rand,0.13684160258186592,0.040924491782607604
6,0.3,Batch-Impute,0.11324639363124021,0.03337896111044471
6,0.3,OT-Impute,0.16973313637881904,0.050081880432435395
6,0.3,OT-Rand,0.1211144284197835,0.03664380819123461
7,0.1,Batch-Impute,0.14386005840587435,0.042110767329927246
7,0.1,OT-Impute,0.16336018386977336,0.0485699361422107
7,0.1,OT-Rand,0.14748552316195276,0.043939035694998525
7,0.2,Batch-Impute,0.125302720686065,0.03661077232765409
7,0.2,OT-Impute,0.16336018386977336,0.0485699361422107
7,0.2,OT-Rand,0.13255040327817993,0.03990432293098937
7,0.3,Batch-Impute,0.10653986066857098,0.031433183643503344
7,0.3,OT-Impute,0.16336018386977336,0.0485699361422107
7,0.3,OT-Rand,0.11420159917237621,0.03361101979416262
