DropoutNoise,Run,MAE
0.0,1,0.1083255814733991
0.0,2,0.10148374866474494
0.0,3,0.10771266731366079
0.0,4,0.10339950279988518
0.0,5,0.10050469905882632
1e-05,1,0.10345180226917036
1e-05,2,0.10426338637027603
1e-05,3,0.10200728395594502
1e-05,4,0.10316711605850792
1e-05,5,0.10450581858641908
5e-05,1,0.10403064461059375
5e-05,2,0.1040840218906297
5e-05,3,0.10398264341370725
5e-05,4,0.10448957207232396
5e-05,5,0.1008341814400126
0.0001,1,0.10364322339155152
0.0001,2,0.10270704619566037
0.0001,3,0.10538896989464516
0.0001,4,0.10194976905579707
0.0001,5,0.10311256711539181
0.0005,1,0.10546486445637723
0.0005,2,0.1008402296567904
0.0005,3,0.1053572968220444
0.0005,4,0.10546521575211976
0.0005,5,0.10145914099266082
0.001,1,0.10214536041876414
0.001,2,0.10620766657519476
0.001,3,0.10144222847626588
0.001,4,0.10422310347565611
0.001,5,0.09892390719111852
0.005,1,0.10255055451711062
0.005,2,0.10373021318383631
0.005,3,0.10347311938851439
0.005,4,0.10598498619915385
0.005,5,0.10185604015884821
0.01,1,0.10148311386455414
0.01,2,0.10579963950476354
0.01,3,0.10422424292279389
0.01,4,0.0999584243026648
0.01,5,0.1041389728245155
0.05,1,0.10399436385504587
0.05,2,0.10185313253738032
0.05,3,0.10224984458041621
0.05,4,0.10460126706883444
0.05,5,0.10719238361869556
0.1,1,0.10679409206632984
0.1,2,0.10753539961376339
0.1,3,0.10706823625570007
0.1,4,0.10580543520421322
0.1,5,0.10892030495991849
