DropoutNoise,Run,MAE
0.0,1,0.09409470861262138
0.0,2,0.10288306421808259
0.0,3,0.10186980149743538
0.0,4,0.1015072931118601
0.0,5,0.10308333012421783
1e-05,1,0.09949873294251617
1e-05,2,0.09781868283275787
1e-05,3,0.0962156257763552
1e-05,4,0.10026713875395317
1e-05,5,0.09177136436942783
5e-05,1,0.09493132412199737
5e-05,2,0.09654784159356473
5e-05,3,0.0972624316151014
5e-05,4,0.09959507338661124
5e-05,5,0.0997448005622654
0.0001,1,0.10215076564256227
0.0001,2,0.09474786286464414
0.0001,3,0.09929220340784778
0.0001,4,0.09865119222198679
0.0001,5,0.09734060870570392
0.0005,1,0.10515049130500168
0.0005,2,0.10273122603992471
0.0005,3,0.10080675932467559
0.0005,4,0.09671202874061971
0.0005,5,0.10308579599176454
0.001,1,0.09851399386579497
0.001,2,0.09609444412581979
0.001,3,0.097701842752156
0.001,4,0.09909499692160793
0.001,5,0.09400193676731268
0.005,1,0.09545761090748447
0.005,2,0.09808658516392701
0.005,3,0.0990168614733488
0.005,4,0.0968298625274431
0.005,5,0.0966125156055826
0.01,1,0.10554682147423108
0.01,2,0.09981377364005042
0.01,3,0.09833302428769014
0.01,4,0.10293880058678559
0.01,5,0.10193472719359321
0.05,1,0.10748196032866744
0.05,2,0.101781844162632
0.05,3,0.10002660188831507
0.05,4,0.10441655894002208
0.05,5,0.09670851353505214
0.1,1,0.09492322969752631
0.1,2,0.1027191599719811
0.1,3,0.1001108939555585
0.1,4,0.09957560839048447
0.1,5,0.09503136945213828
