DropoutNoise,Run,MAE
0.0,1,0.10934468312521484
0.0,2,0.10807844728198863
0.0,3,0.10796896871790723
0.0,4,0.11034111918565423
0.0,5,0.10921221613716178
1e-05,1,0.10975912136768182
1e-05,2,0.11242828088991329
1e-05,3,0.11042129653589089
1e-05,4,0.1075026291139216
1e-05,5,0.10999711944647043
5e-05,1,0.10972050530362941
5e-05,2,0.10742756911884044
5e-05,3,0.10848487796918965
5e-05,4,0.10810157909842426
5e-05,5,0.10966962866568725
0.0001,1,0.11117401138848476
0.0001,2,0.10900288429699256
0.0001,3,0.10511050482535583
0.0001,4,0.10972670314735686
0.0001,5,0.10675410094794346
0.0005,1,0.10936988280921954
0.0005,2,0.10941633743679074
0.0005,3,0.10822350978382357
0.0005,4,0.11352884062746006
0.0005,5,0.11033894761043885
0.001,1,0.10783670946539597
0.001,2,0.11201068394660815
0.001,3,0.10981548584574673
0.001,4,0.10759374766968441
0.001,5,0.10831528750677846
0.005,1,0.11172535668691032
0.005,2,0.11145667573946993
0.005,3,0.10898974790262533
0.005,4,0.10920151780751813
0.005,5,0.11226869659767721
0.01,1,0.10776389921950216
0.01,2,0.11037384692567283
0.01,3,0.10877867969979092
0.01,4,0.11090291094055618
0.01,5,0.10615023123870003
0.05,1,0.11051243216321481
0.05,2,0.10693679631208262
0.05,3,0.11126380208735272
0.05,4,0.11045611328827058
0.05,5,0.11085660385013099
0.1,1,0.1083141358965913
0.1,2,0.11234264581668905
0.1,3,0.1087753355240275
0.1,4,0.10872044685315327
0.1,5,0.11280506928792776
