k,BudgetFraction,MAE,Runtime,UniqueQueried,AvgStdQueried
1,0.1,0.09978613472959304,83.34136295318604,69,0.11145080948609262
2,0.1,0.09840483441034306,167.85108995437622,68,0.12631622758646593
3,0.1,0.09663122317672407,224.36214089393616,69,0.12818806852021458
4,0.1,0.09936209080882337,400.93659377098083,68,0.13719395323485778
5,0.1,0.1001784851077127,340.36780285835266,65,0.13315135973662992
6,0.1,0.09992269260023932,414.55340671539307,66,0.1430981210998426
7,0.1,0.09931743538040111,448.3844599723816,63,0.1468342047920738
8,0.1,0.09771065458287619,536.0423412322998,64,0.1563844959928969
9,0.1,0.09749092969261272,626.3510489463806,63,0.15448053802695685
10,0.1,0.09871855053459896,669.807413816452,60,0.15036730321936698
11,0.1,0.0966204881144475,765.0146610736847,66,0.1500290045869353
12,0.1,0.09707136974812575,3477.5769386291504,60,0.15054840304433617
13,0.1,0.09788516575406753,764.9318182468414,65,0.16018469057740556
14,0.1,0.0977965259839536,886.4160928726196,56,0.15270643945165002
15,0.1,0.09886677684781194,1269.4112355709076,60,0.16406433343092797
1,0.2,0.0844275746761052,111.7035984992981,138,0.09462342310664403
2,0.2,0.0839420164117005,244.69945335388184,138,0.09782227575412278
3,0.2,0.08173443748735408,292.5834491252899,138,0.10784626152913983
4,0.2,0.08065567331345458,426.6011302471161,136,0.11750907811219452
5,0.2,0.08135655062657163,636.4894483089447,135,0.11559657981226697
6,0.2,0.08125732919887894,582.703670501709,138,0.11793769430088269
7,0.2,0.08022081818438066,415.98931312561035,133,0.12076065805274123
8,0.2,0.07895252866834318,468.32165336608887,136,0.11765182016966234
9,0.2,0.08035145802832858,9273.654464006424,135,0.12950305946138604
10,0.2,0.08259499576085776,549.3796226978302,130,0.1273173528303865
11,0.2,0.08251660559784504,683.740451335907,132,0.12831262209413963
12,0.2,0.08281794331123325,698.6900146007538,132,0.1377181035436601
13,0.2,0.08145741959096107,776.4744646549225,130,0.13387645610532314
14,0.2,0.08398732109537725,860.9735496044159,126,0.13591484569939002
15,0.2,0.08066569987881494,949.9957320690155,135,0.12414478907567045
1,0.3,0.07282406544708327,58.787442684173584,208,0.07913806643068175
2,0.3,0.07011034075370741,116.24656248092651,208,0.08676061994206839
3,0.3,0.06953591465830629,174.0918378829956,207,0.09144471082336081
4,0.3,0.06556817869532253,247.97502207756042,208,0.09940006981791333
5,0.3,0.06625987390682195,309.1881511211395,205,0.10201050088700066
6,0.3,0.0666272369615988,364.88908886909485,204,0.10362309592816597
7,0.3,0.07141232191331327,453.60306906700134,203,0.10765991882905225
8,0.3,0.0688050386438659,10282.648788928986,208,0.1021058717003989
9,0.3,0.06977367098556773,574.0440728664398,207,0.10718013516030406
10,0.3,0.06947377074786285,687.9065456390381,200,0.10899947609232088
11,0.3,0.0686478188928506,787.054292678833,198,0.10948339232264172
12,0.3,0.06509852357951418,811.7587411403656,204,0.10678010660581239
13,0.3,0.06875459302797125,3866.9657776355743,208,0.1119547852251699
14,0.3,0.07036379932513812,1191.3296234607697,196,0.1148234517523397
15,0.3,0.06687790309856996,1009.9260046482086,195,0.11128004300641586
