k,BudgetFraction,MAE,Runtime,UniqueQueried,AvgStdQueried
1,0.1,0.09442602301877089,247.91547083854675,69,0.10858044985288687
2,0.1,0.09036122689414548,465.0278842449188,68,0.12369989864605928
3,0.1,0.08806139796342168,725.2038238048553,69,0.11801200407615925
4,0.1,0.08755226220641774,1106.3157477378845,68,0.1307130694455601
5,0.1,0.09014649736804063,1208.8147068023682,65,0.14367021655299023
6,0.1,0.09063627920934349,12356.54797077179,66,0.14586269369578686
7,0.1,0.08916290660958219,1722.6085512638092,63,0.1499425512550849
8,0.1,0.09062959803707628,1874.8243625164032,64,0.14017463767800073
9,0.1,0.08954514148296212,2113.2116782665253,63,0.14082183281076255
10,0.1,0.08882003395464595,2333.131284713745,60,0.1440963350053714
11,0.1,0.08912745240561672,2578.6927058696747,66,0.15048524164662258
12,0.1,0.09037505178755278,2805.1478550434113,60,0.14591533142591287
13,0.1,0.09090722496262593,3575.6666855812073,65,0.14838839770675402
14,0.1,0.09059916972503575,18117.762667894363,56,0.15832185490789455
15,0.1,0.09251319174202828,6594.250393867493,60,0.15028563748905507
1,0.2,0.08415321091976026,226.13823986053467,138,0.08262181237167601
2,0.2,0.07835325593804537,557.810126543045,138,0.08976707859728941
3,0.2,0.07797779259983105,750.0831024646759,138,0.09992859275856562
4,0.2,0.07952366183268769,863.2771666049957,136,0.10195376430355427
5,0.2,0.07823204472429614,1158.2453937530518,135,0.10609799628024803
6,0.2,0.07695805890272636,1233.000248670578,138,0.10337734492351537
7,0.2,0.07710583170880238,1441.4090042114258,133,0.10407959763297774
8,0.2,0.07568126100650507,1733.0195910930634,136,0.11024748454773732
9,0.2,0.07719602099420092,11381.477892398834,135,0.1113232497702388
10,0.2,0.0796574462295992,2116.297599554062,130,0.11077477469501693
11,0.2,0.07702584699866397,2877.728321790695,132,0.10903164454995339
12,0.2,0.0790023455018246,3316.2079441547394,132,0.11277845500422744
13,0.2,0.07678531238884917,3000.550658941269,130,0.123292363163942
14,0.2,0.07880347373663872,3112.69158577919,126,0.11606334060626597
15,0.2,0.07724718302132637,3167.4420619010925,135,0.12099539035587556
1,0.3,0.07036324127267049,210.26370811462402,208,0.07098533935260215
2,0.3,0.06688970341636187,417.5857033729553,208,0.07486515354052045
3,0.3,0.06343951195715923,631.6730799674988,207,0.08407903325350334
4,0.3,0.06640125113402491,873.9582879543304,208,0.08725998646867913
5,0.3,0.06569628100316655,993.9568421840668,205,0.0847974988887289
6,0.3,0.06646819826502137,1217.2251913547516,204,0.09067985722286186
7,0.3,0.06806799628895686,1440.9370610713959,203,0.0880294355705524
8,0.3,0.06422443176779914,1611.2672836780548,208,0.09625200979345441
9,0.3,0.06580822508218429,1780.8471419811249,207,0.09373775464015231
10,0.3,0.06601287978878383,1978.6066598892212,200,0.09377909592557351
11,0.3,0.06589970632301591,2303.955687522888,198,0.09888138966494685
12,0.3,0.06726736989501536,2603.026674747467,204,0.09306219518754472
13,0.3,0.06548414432262648,2659.4883637428284,208,0.09668339629212246
14,0.3,0.06696853360836241,6114.132602930069,196,0.10125353494707738
15,0.3,0.06780085811280641,3074.6248626708984,195,0.10255181621479997
