k,BudgetFraction,MAE,Runtime,UniqueQueried,AvgStdQueried
1,0.1,0.10777093356768773,66.56917953491211,69,0.09971211655985678
2,0.1,0.1011189870103038,141.55658054351807,68,0.11563281143852293
3,0.1,0.0987441687105321,209.88049054145813,69,0.12777909750856878
4,0.1,0.10145862808371896,270.42842841148376,68,0.13706731928410582
5,0.1,0.10257816645897469,310.5329782962799,65,0.13664236569261531
6,0.1,0.09860339471912571,427.67006635665894,66,0.1367254159344072
7,0.1,0.10213406766963595,470.2406756877899,63,0.14559344993535214
8,0.1,0.09909291379169205,529.2244830131531,64,0.14330825355483828
9,0.1,0.10575615573973546,547.9246263504028,63,0.1493201770560154
10,0.1,0.10191759905754975,605.1320328712463,60,0.14635451667481808
11,0.1,0.09898840135394217,668.1022775173187,66,0.14229304608435253
12,0.1,0.10353382005107888,737.2115437984467,60,0.15405719976300103
13,0.1,0.10108012404615699,792.6220145225525,65,0.1424814182523165
14,0.1,0.10385139598379192,851.0820350646973,56,0.15959900500042606
15,0.1,0.10302676461017013,923.1858911514282,60,0.15086720439374746
1,0.2,0.08937249181123028,59.96567106246948,138,0.08275217601229075
2,0.2,0.08978060172443354,123.23266386985779,138,0.09261233842009375
3,0.2,0.0836250393692037,186.62220215797424,138,0.10691034916623247
4,0.2,0.08557528616660721,250.2629873752594,136,0.10318676575583895
5,0.2,0.08499325162062839,307.86934089660645,135,0.11618235042800318
6,0.2,0.08400823491644036,376.23550271987915,138,0.10727169830996457
7,0.2,0.08287588633282722,430.7848265171051,133,0.11184946498680529
8,0.2,0.08302938594132112,491.38792419433594,136,0.11410231426586813
9,0.2,0.08322507613576928,549.2021284103394,135,0.11926648577854941
10,0.2,0.08549892468116328,606.0257773399353,130,0.12022682470014537
11,0.2,0.08155110015075613,660.8437373638153,132,0.12374242660251838
12,0.2,0.08463532432336572,726.5248720645905,132,0.12111676118750513
13,0.2,0.08415568222988008,793.6257410049438,130,0.12688719016367497
14,0.2,0.08665656280108683,850.5354001522064,126,0.12959487372518927
15,0.2,0.08327848446669658,942.2577459812164,135,0.12613677642383556
1,0.3,0.07962609839463622,55.33548903465271,208,0.07310355994455506
2,0.3,0.0729408940879079,126.06936502456665,208,0.08445558141954132
3,0.3,0.07289339106403954,184.77262711524963,207,0.09101978477059895
4,0.3,0.07033713003665125,238.15734148025513,208,0.09552068208070172
5,0.3,0.06885594522243796,326.2534031867981,205,0.09997200405839249
6,0.3,0.0711558139543047,359.24373149871826,204,0.10029566931700168
7,0.3,0.0664808548939166,417.2661962509155,203,0.09296298448011665
8,0.3,0.06686214027577601,477.77797174453735,208,0.10750515411140013
9,0.3,0.07258102068558105,517.3729746341705,207,0.10130375202182483
10,0.3,0.06801160729641713,429.3502914905548,200,0.1082956124122644
11,0.3,0.07278948929886478,470.3921275138855,198,0.10827694222522598
12,0.3,0.06914636085555852,530.4005815982819,204,0.10674141058505687
13,0.3,0.06768949432030089,472.8404920101166,208,0.10611289262681675
14,0.3,0.06943657343794124,440.7543067932129,196,0.10333226374027485
15,0.3,0.07259771779931139,469.89643359184265,195,0.11082760196569781
