Run,MissingRate(%),Method,MAE
0,10,Mean,0.1777
0,10,KNN,0.1035
0,10,MICE,0.1068
0,10,OT-Impute,0.1013
0,10,OT-Rand,0.0969
0,10,Batch-Impute,0.0817
0,20,Mean,0.1821
0,20,KNN,0.1177
0,20,MICE,0.1203
0,20,OT-Impute,0.1174
0,20,OT-Rand,0.1104
0,20,Batch-Impute,0.0988
0,30,Mean,0.1786
0,30,KNN,0.1213
0,30,MICE,0.1394
0,30,OT-Impute,0.1142
0,30,OT-Rand,0.1089
0,30,Batch-Impute,0.0984
0,40,Mean,0.1824
0,40,KNN,0.1425
0,40,MICE,0.1413
0,40,OT-Impute,0.1258
0,40,OT-Rand,0.1127
0,40,Batch-Impute,0.0996
0,50,Mean,0.1791
0,50,KNN,0.1591
0,50,MICE,0.1437
0,50,OT-Impute,0.1286
0,50,OT-Rand,0.1211
0,50,Batch-Impute,0.1096
0,60,Mean,0.1758
0,60,KNN,0.1691
0,60,MICE,0.1471
0,60,OT-Impute,0.1449
0,60,OT-Rand,0.1446
0,60,Batch-Impute,0.1179
0,70,Mean,0.1776
0,70,KNN,0.1693
0,70,MICE,0.1705
0,70,OT-Impute,0.1682
0,70,OT-Rand,0.1479
0,70,Batch-Impute,0.138
0,80,Mean,0.1762
0,80,KNN,0.1659
0,80,MICE,0.1788
0,80,OT-Impute,0.1927
0,80,OT-Rand,0.1609
0,80,Batch-Impute,0.1576
1,10,Mean,0.1777
1,10,KNN,0.1035
1,10,MICE,0.1068
1,10,OT-Impute,0.1009
1,10,OT-Rand,0.0972
1,10,Batch-Impute,0.0844
1,20,Mean,0.1821
1,20,KNN,0.1177
1,20,MICE,0.1203
1,20,OT-Impute,0.1162
1,20,OT-Rand,0.1084
1,20,Batch-Impute,0.0975
1,30,Mean,0.1786
1,30,KNN,0.1213
1,30,MICE,0.1394
1,30,OT-Impute,0.1167
1,30,OT-Rand,0.1112
1,30,Batch-Impute,0.0964
1,40,Mean,0.1824
1,40,KNN,0.1425
1,40,MICE,0.1413
1,40,OT-Impute,0.1256
1,40,OT-Rand,0.115
1,40,Batch-Impute,0.1033
1,50,Mean,0.1791
1,50,KNN,0.1591
1,50,MICE,0.1437
1,50,OT-Impute,0.1314
1,50,OT-Rand,0.122
1,50,Batch-Impute,0.1099
1,60,Mean,0.1758
1,60,KNN,0.1691
1,60,MICE,0.1471
1,60,OT-Impute,0.1505
1,60,OT-Rand,0.1344
1,60,Batch-Impute,0.1208
1,70,Mean,0.1776
1,70,KNN,0.1693
1,70,MICE,0.1705
1,70,OT-Impute,0.1787
1,70,OT-Rand,0.1555
1,70,Batch-Impute,0.1378
1,80,Mean,0.1762
1,80,KNN,0.1659
1,80,MICE,0.1788
1,80,OT-Impute,0.1861
1,80,OT-Rand,0.174
1,80,Batch-Impute,0.1587
2,10,Mean,0.1777
2,10,KNN,0.1035
2,10,MICE,0.1068
2,10,OT-Impute,0.101
2,10,OT-Rand,0.0973
2,10,Batch-Impute,0.0819
2,20,Mean,0.1821
2,20,KNN,0.1177
2,20,MICE,0.1203
2,20,OT-Impute,0.1175
2,20,OT-Rand,0.1073
2,20,Batch-Impute,0.097
2,30,Mean,0.1786
2,30,KNN,0.1213
2,30,MICE,0.1394
2,30,OT-Impute,0.1197
2,30,OT-Rand,0.1092
2,30,Batch-Impute,0.098
2,40,Mean,0.1824
2,40,KNN,0.1425
2,40,MICE,0.1413
2,40,OT-Impute,0.1273
2,40,OT-Rand,0.1175
2,40,Batch-Impute,0.1036
2,50,Mean,0.1791
2,50,KNN,0.1591
2,50,MICE,0.1437
2,50,OT-Impute,0.1393
2,50,OT-Rand,0.1245
2,50,Batch-Impute,0.1092
2,60,Mean,0.1758
2,60,KNN,0.1691
2,60,MICE,0.1471
2,60,OT-Impute,0.1415
2,60,OT-Rand,0.1414
2,60,Batch-Impute,0.1205
2,70,Mean,0.1776
2,70,KNN,0.1693
2,70,MICE,0.1705
2,70,OT-Impute,0.1655
2,70,OT-Rand,0.1553
2,70,Batch-Impute,0.146
2,80,Mean,0.1762
2,80,KNN,0.1659
2,80,MICE,0.1788
2,80,OT-Impute,0.1861
2,80,OT-Rand,0.1735
2,80,Batch-Impute,0.1531
3,10,Mean,0.1777
3,10,KNN,0.1035
3,10,MICE,0.1068
3,10,OT-Impute,0.1006
3,10,OT-Rand,0.0982
3,10,Batch-Impute,0.084
3,20,Mean,0.1821
3,20,KNN,0.1177
3,20,MICE,0.1203
3,20,OT-Impute,0.117
3,20,OT-Rand,0.107
3,20,Batch-Impute,0.097
3,30,Mean,0.1786
3,30,KNN,0.1213
3,30,MICE,0.1394
3,30,OT-Impute,0.1162
3,30,OT-Rand,0.1125
3,30,Batch-Impute,0.0963
3,40,Mean,0.1824
3,40,KNN,0.1425
3,40,MICE,0.1413
3,40,OT-Impute,0.1229
3,40,OT-Rand,0.1136
3,40,Batch-Impute,0.1022
3,50,Mean,0.1791
3,50,KNN,0.1591
3,50,MICE,0.1437
3,50,OT-Impute,0.1332
3,50,OT-Rand,0.1205
3,50,Batch-Impute,0.1091
3,60,Mean,0.1758
3,60,KNN,0.1691
3,60,MICE,0.1471
3,60,OT-Impute,0.1463
3,60,OT-Rand,0.136
3,60,Batch-Impute,0.1221
3,70,Mean,0.1776
3,70,KNN,0.1693
3,70,MICE,0.1705
3,70,OT-Impute,0.1657
3,70,OT-Rand,0.1514
3,70,Batch-Impute,0.1425
3,80,Mean,0.1762
3,80,KNN,0.1659
3,80,MICE,0.1788
3,80,OT-Impute,0.1815
3,80,OT-Rand,0.1774
3,80,Batch-Impute,0.1545
4,10,Mean,0.1777
4,10,KNN,0.1035
4,10,MICE,0.1068
4,10,OT-Impute,0.1004
4,10,OT-Rand,0.099
4,10,Batch-Impute,0.0838
4,20,Mean,0.1821
4,20,KNN,0.1177
4,20,MICE,0.1203
4,20,OT-Impute,0.117
4,20,OT-Rand,0.1097
4,20,Batch-Impute,0.0992
4,30,Mean,0.1786
4,30,KNN,0.1213
4,30,MICE,0.1394
4,30,OT-Impute,0.1108
4,30,OT-Rand,0.1105
4,30,Batch-Impute,0.0978
4,40,Mean,0.1824
4,40,KNN,0.1425
4,40,MICE,0.1413
4,40,OT-Impute,0.1239
4,40,OT-Rand,0.113
4,40,Batch-Impute,0.1017
4,50,Mean,0.1791
4,50,KNN,0.1591
4,50,MICE,0.1437
4,50,OT-Impute,0.1336
4,50,OT-Rand,0.1204
4,50,Batch-Impute,0.1109
4,60,Mean,0.1758
4,60,KNN,0.1691
4,60,MICE,0.1471
4,60,OT-Impute,0.1513
4,60,OT-Rand,0.1289
4,60,Batch-Impute,0.1199
4,70,Mean,0.1776
4,70,KNN,0.1693
4,70,MICE,0.1705
4,70,OT-Impute,0.1673
4,70,OT-Rand,0.1556
4,70,Batch-Impute,0.142
4,80,Mean,0.1762
4,80,KNN,0.1659
4,80,MICE,0.1788
4,80,OT-Impute,0.1827
4,80,OT-Rand,0.1684
4,80,Batch-Impute,0.1547
