Run,MissingRate(%),Method,MAE
0,10,Mean,0.1814
0,10,KNN,0.1257
0,10,MICE,0.1256
0,10,OT-Rand,0.1183
0,10,Batch-Impute,0.1052
0,20,Mean,0.1656
0,20,KNN,0.1073
0,20,MICE,0.1127
0,20,OT-Impute,0.1107
0,20,OT-Rand,0.0945
0,20,Batch-Impute,0.085
0,30,Mean,0.1676
0,30,KNN,0.1159
0,30,MICE,0.1474
0,30,OT-Impute,0.1192
0,30,OT-Rand,0.1079
0,30,Batch-Impute,0.0959
0,40,Mean,0.1633
0,40,KNN,0.1285
0,40,MICE,0.1281
0,40,OT-Impute,0.1172
0,40,OT-Rand,0.1051
0,40,Batch-Impute,0.0974
0,50,Mean,0.1673
0,50,KNN,0.1335
0,50,MICE,0.1365
0,50,OT-Impute,0.1245
0,50,OT-Rand,0.1133
0,50,Batch-Impute,0.1018
0,60,Mean,0.1693
0,60,KNN,0.152
0,60,MICE,0.1463
0,60,OT-Impute,0.1388
0,60,OT-Rand,0.1268
0,60,Batch-Impute,0.1132
0,70,Mean,0.1658
0,70,KNN,0.1481
0,70,MICE,0.149
0,70,OT-Impute,0.1436
0,70,OT-Rand,0.1242
0,70,Batch-Impute,0.1133
0,80,Mean,0.1673
0,80,KNN,0.1617
0,80,MICE,0.1636
0,80,OT-Impute,0.1611
0,80,OT-Rand,0.1441
0,80,Batch-Impute,0.1323
1,10,Mean,0.1694
1,10,KNN,0.1059
1,10,MICE,0.1065
1,10,OT-Impute,0.108
1,10,OT-Rand,0.0935
1,10,Batch-Impute,0.0861
1,20,Mean,0.1571
1,20,KNN,0.1102
1,20,MICE,0.1086
1,20,OT-Impute,0.1019
1,20,OT-Rand,0.0926
1,20,Batch-Impute,0.0871
1,30,Mean,0.1635
1,30,KNN,0.1161
1,30,MICE,0.136
1,30,OT-Impute,0.1135
1,30,OT-Rand,0.1078
1,30,Batch-Impute,0.0938
1,40,Mean,0.1664
1,40,KNN,0.1313
1,40,MICE,0.1288
1,40,OT-Impute,0.121
1,40,OT-Rand,0.1062
1,40,Batch-Impute,0.0952
1,50,Mean,0.1672
1,50,KNN,0.1398
1,50,MICE,0.1377
1,50,OT-Impute,0.1271
1,50,OT-Rand,0.1137
1,50,Batch-Impute,0.1042
1,60,Mean,0.1681
1,60,KNN,0.1452
1,60,MICE,0.1403
1,60,OT-Impute,0.1414
1,60,OT-Rand,0.1229
1,60,Batch-Impute,0.1068
1,70,Mean,0.1652
1,70,KNN,0.1556
1,70,MICE,0.1489
1,70,OT-Impute,0.1463
1,70,OT-Rand,0.1324
1,70,Batch-Impute,0.1175
1,80,Mean,0.1692
1,80,KNN,0.162
1,80,MICE,0.1692
1,80,OT-Impute,0.1745
1,80,OT-Rand,0.1471
1,80,Batch-Impute,0.1274
2,10,Mean,0.1588
2,10,KNN,0.1132
2,10,MICE,0.1088
