Run,MissingRate(%),Method,MAE
0,10,Mean,0.1647
0,10,KNN,0.1044
0,10,MICE,0.1076
0,10,OT-Impute,0.1068
0,10,OT-Rand,0.0996
0,10,Batch-Impute,0.0894
0,20,Mean,0.1739
0,20,KNN,0.1102
0,20,MICE,0.1123
0,20,OT-Impute,0.1057
0,20,OT-Rand,0.097
0,20,Batch-Impute,0.0921
0,30,Mean,0.1836
0,30,KNN,0.1254
0,30,MICE,0.1333
0,30,OT-Impute,0.1209
0,30,OT-Rand,0.1059
0,30,Batch-Impute,0.1004
0,40,Mean,0.1931
0,40,KNN,0.1406
0,40,MICE,0.1413
0,40,OT-Impute,0.1262
0,40,OT-Rand,0.1182
0,40,Batch-Impute,0.1071
0,50,Mean,0.2122
0,50,KNN,0.1747
0,50,MICE,0.1528
0,50,OT-Impute,0.1529
0,50,OT-Rand,0.1346
0,50,Batch-Impute,0.1281
0,60,Mean,0.2285
0,60,KNN,0.2002
0,60,MICE,0.1841
0,60,OT-Impute,0.176
0,60,OT-Rand,0.1552
0,60,Batch-Impute,0.1523
0,70,Mean,0.2371
0,70,KNN,0.2195
0,70,MICE,0.22
0,70,OT-Impute,0.2151
0,70,OT-Rand,0.1915
0,70,Batch-Impute,0.1866
0,80,Mean,0.2295
0,80,KNN,0.2155
0,80,MICE,0.2224
0,80,OT-Impute,0.2317
0,80,OT-Rand,0.2009
0,80,Batch-Impute,0.1969
1,10,Mean,0.1647
1,10,KNN,0.1044
1,10,MICE,0.1076
1,10,OT-Impute,0.1074
1,10,OT-Rand,0.096
1,10,Batch-Impute,0.0907
1,20,Mean,0.1739
1,20,KNN,0.1102
1,20,MICE,0.1123
1,20,OT-Impute,0.1076
1,20,OT-Rand,0.0951
1,20,Batch-Impute,0.0952
1,30,Mean,0.1836
1,30,KNN,0.1254
1,30,MICE,0.1333
1,30,OT-Impute,0.1233
1,30,OT-Rand,0.1077
1,30,Batch-Impute,0.1
1,40,Mean,0.1931
1,40,KNN,0.1406
1,40,MICE,0.1413
1,40,OT-Impute,0.1266
1,40,OT-Rand,0.115
1,40,Batch-Impute,0.1088
1,50,Mean,0.2122
1,50,KNN,0.1747
1,50,MICE,0.1528
1,50,OT-Impute,0.1431
1,50,OT-Rand,0.1393
1,50,Batch-Impute,0.1254
1,60,Mean,0.2285
1,60,KNN,0.2002
1,60,MICE,0.1841
1,60,OT-Impute,0.1812
1,60,OT-Rand,0.1582
1,60,Batch-Impute,0.1521
1,70,Mean,0.2371
1,70,KNN,0.2195
1,70,MICE,0.22
1,70,OT-Impute,0.2155
1,70,OT-Rand,0.1929
1,70,Batch-Impute,0.1835
1,80,Mean,0.2295
1,80,KNN,0.2155
1,80,MICE,0.2224
1,80,OT-Impute,0.2246
1,80,OT-Rand,0.1977
1,80,Batch-Impute,0.1994
2,10,Mean,0.1647
2,10,KNN,0.1044
2,10,MICE,0.1076
2,10,OT-Impute,0.1068
2,10,OT-Rand,0.0948
2,10,Batch-Impute,0.0926
2,20,Mean,0.1739
2,20,KNN,0.1102
2,20,MICE,0.1123
2,20,OT-Impute,0.1083
2,20,OT-Rand,0.0963
2,20,Batch-Impute,0.0927
2,30,Mean,0.1836
2,30,KNN,0.1254
2,30,MICE,0.1333
2,30,OT-Impute,0.1191
2,30,OT-Rand,0.1051
2,30,Batch-Impute,0.1006
2,40,Mean,0.1931
2,40,KNN,0.1406
2,40,MICE,0.1413
2,40,OT-Impute,0.1279
2,40,OT-Rand,0.1168
2,40,Batch-Impute,0.1097
2,50,Mean,0.2122
2,50,KNN,0.1747
2,50,MICE,0.1528
2,50,OT-Impute,0.1488
2,50,OT-Rand,0.136
2,50,Batch-Impute,0.1277
2,60,Mean,0.2285
2,60,KNN,0.2002
2,60,MICE,0.1841
2,60,OT-Impute,0.1851
2,60,OT-Rand,0.1581
2,60,Batch-Impute,0.1519
2,70,Mean,0.2371
2,70,KNN,0.2195
2,70,MICE,0.22
2,70,OT-Impute,0.2136
2,70,OT-Rand,0.1837
2,70,Batch-Impute,0.1801
2,80,Mean,0.2295
2,80,KNN,0.2155
2,80,MICE,0.2224
2,80,OT-Impute,0.2295
2,80,OT-Rand,0.21
2,80,Batch-Impute,0.2008
3,10,Mean,0.1647
3,10,KNN,0.1044
3,10,MICE,0.1076
3,10,OT-Impute,0.1077
3,10,OT-Rand,0.0951
3,10,Batch-Impute,0.091
3,20,Mean,0.1739
3,20,KNN,0.1102
3,20,MICE,0.1123
3,20,OT-Impute,0.1083
3,20,OT-Rand,0.0952
3,20,Batch-Impute,0.0939
3,30,Mean,0.1836
3,30,KNN,0.1254
3,30,MICE,0.1333
3,30,OT-Impute,0.1184
3,30,OT-Rand,0.1072
3,30,Batch-Impute,0.1022
3,40,Mean,0.1931
3,40,KNN,0.1406
3,40,MICE,0.1413
3,40,OT-Impute,0.1246
3,40,OT-Rand,0.1177
3,40,Batch-Impute,0.1084
3,50,Mean,0.2122
3,50,KNN,0.1747
3,50,MICE,0.1528
3,50,OT-Impute,0.1462
3,50,OT-Rand,0.1346
3,50,Batch-Impute,0.1215
3,60,Mean,0.2285
3,60,KNN,0.2002
3,60,MICE,0.1841
3,60,OT-Impute,0.178
3,60,OT-Rand,0.1602
3,60,Batch-Impute,0.1519
3,70,Mean,0.2371
3,70,KNN,0.2195
3,70,MICE,0.22
3,70,OT-Impute,0.2187
3,70,OT-Rand,0.1986
3,70,Batch-Impute,0.1882
3,80,Mean,0.2295
3,80,KNN,0.2155
3,80,MICE,0.2224
3,80,OT-Impute,0.2268
3,80,OT-Rand,0.1968
3,80,Batch-Impute,0.2005
4,10,Mean,0.1647
4,10,KNN,0.1044
4,10,MICE,0.1076
4,10,OT-Impute,0.1088
4,10,OT-Rand,0.0952
4,10,Batch-Impute,0.0941
4,20,Mean,0.1739
4,20,KNN,0.1102
4,20,MICE,0.1123
4,20,OT-Impute,0.1062
4,20,OT-Rand,0.0967
4,20,Batch-Impute,0.0923
