,,,MAE,MSE
0,0.1,Batch-Impute,0.08277620248542962,0.012214783412350034
0,0.1,OT-Impute,0.10128531830334453,0.018229098374747805
0,0.1,OT-Rand,0.08926797262049402,0.015883142944473468
0,0.2,Batch-Impute,0.0713090134449945,0.011592009898802108
0,0.2,OT-Impute,0.10128531830334453,0.018229098374747805
0,0.2,OT-Rand,0.08021535439239252,0.014987509347909267
0,0.3,Batch-Impute,0.06408636507257395,0.010516906434141488
0,0.3,OT-Impute,0.10128531830334453,0.018229098374747805
0,0.3,OT-Rand,0.06972440716702852,0.01264059548468385
1,0.1,Batch-Impute,0.09605469822625029,0.017900241093147817
1,0.1,OT-Impute,0.11728618237110239,0.024064375440363477
1,0.1,OT-Rand,0.10484273707694172,0.02156372862456803
1,0.2,Batch-Impute,0.0849792172956886,0.015820209639663744
1,0.2,OT-Impute,0.11728618237110239,0.024064375440363477
1,0.2,OT-Rand,0.09585961172446475,0.02045656933253525
1,0.3,Batch-Impute,0.07319934635373834,0.013352653233425176
1,0.3,OT-Impute,0.11728618237110239,0.024064375440363477
1,0.3,OT-Rand,0.08166273436814092,0.01721045232950907
2,0.1,Batch-Impute,0.09785066508867167,0.01912842574785002
2,0.1,OT-Impute,0.11288812760597294,0.023041227257730407
2,0.1,OT-Rand,0.10134219858755465,0.020770423968973953
2,0.2,Batch-Impute,0.084409469095732,0.016235185854166112
2,0.2,OT-Impute,0.11288812760597294,0.023041227257730407
2,0.2,OT-Rand,0.09747687719174367,0.021665180423100925
2,0.3,Batch-Impute,0.07139628329920743,0.01365071658747481
2,0.3,OT-Impute,0.11288812760597294,0.023041227257730407
2,0.3,OT-Rand,0.07901242015051281,0.016611953004946195
3,0.1,Batch-Impute,0.1051277721533782,0.022183533080572873
3,0.1,OT-Impute,0.12394681041393876,0.027897422844386566
3,0.1,OT-Rand,0.11225604055832095,0.025519112642603314
3,0.2,Batch-Impute,0.09003830523637732,0.01779551294547114
3,0.2,OT-Impute,0.12394681041393876,0.027897422844386566
3,0.2,OT-Rand,0.09769822815968011,0.021047307436724838
3,0.3,Batch-Impute,0.07581330464177156,0.014742403455264364
3,0.3,OT-Impute,0.12394681041393876,0.027897422844386566
3,0.3,OT-Rand,0.09010756580491268,0.02096688424902223
4,0.1,Batch-Impute,0.11038399461247957,0.02431548081248974
4,0.1,OT-Impute,0.13510136756603033,0.033524218297877946
4,0.1,OT-Rand,0.12061286704109832,0.029990624182136258
4,0.2,Batch-Impute,0.09357903221502652,0.019665658099270233
4,0.2,OT-Impute,0.13510136756603033,0.033524218297877946
4,0.2,OT-Rand,0.10334041574255996,0.023647465895258696
4,0.3,Batch-Impute,0.08221419531903593,0.017192064410403923
4,0.3,OT-Impute,0.13510136756603033,0.033524218297877946
4,0.3,OT-Rand,0.09276998324553973,0.022404774442081266
5,0.1,Batch-Impute,0.12178713956722007,0.029103937302475878
5,0.1,OT-Impute,0.138401185661813,0.034277119146718715
5,0.1,OT-Rand,0.1251928587889488,0.031319603124990894
5,0.2,Batch-Impute,0.1074585799197799,0.026315019787951595
5,0.2,OT-Impute,0.138401185661813,0.034277119146718715
5,0.2,OT-Rand,0.11622145761290079,0.030016801637384412
5,0.3,Batch-Impute,0.09011607290901215,0.02055942342753274
5,0.3,OT-Impute,0.138401185661813,0.034277119146718715
5,0.3,OT-Rand,0.10524648301380597,0.02772689663266657
6,0.1,Batch-Impute,0.14088626718445674,0.03811228837714748
6,0.1,OT-Impute,0.1781952448671751,0.05277972408721867
6,0.1,OT-Rand,0.16097246726204265,0.04790248507694925
6,0.2,Batch-Impute,0.12462977655127745,0.03302614579086549
6,0.2,OT-Impute,0.1781952448671751,0.05277972408721867
6,0.2,OT-Rand,0.13359186544460844,0.0387692591681683
6,0.3,Batch-Impute,0.10656246829186318,0.02856818170229192
6,0.3,OT-Impute,0.1781952448671751,0.05277972408721867
6,0.3,OT-Rand,0.1154788361065144,0.03268262542378714
7,0.1,Batch-Impute,0.15974155058506062,0.04588785167905053
7,0.1,OT-Impute,0.18600660540874442,0.055812013781013706
7,0.1,OT-Rand,0.16709417141395091,0.050070108052952436
7,0.2,Batch-Impute,0.13448159592805933,0.03760862215605782
7,0.2,OT-Impute,0.18600660540874442,0.055812013781013706
7,0.2,OT-Rand,0.1500369692826552,0.04558130354387984
7,0.3,Batch-Impute,0.11971755298951449,0.034246419228842154
7,0.3,OT-Impute,0.18600660540874442,0.055812013781013706
7,0.3,OT-Rand,0.1325313721066162,0.0416111347762977
