,,,MAE,MSE
0,0.1,Batch-Impute,0.08294226908386373,0.01268438573374422
0,0.1,OT-Impute,0.09890909197796166,0.016747745622000144
0,0.1,OT-Rand,0.09166554458938861,0.01589765012068099
0,0.2,Batch-Impute,0.0753193609457021,0.012224239751792468
0,0.2,OT-Impute,0.09890909197796166,0.016747745622000144
0,0.2,OT-Rand,0.08141836402046557,0.014112289315619935
0,0.3,Batch-Impute,0.06163634024143653,0.00884886883631203
0,0.3,OT-Impute,0.09890909197796166,0.016747745622000144
0,0.3,OT-Rand,0.07385029997259937,0.013616942543103833
1,0.1,Batch-Impute,0.09399387007271072,0.018015153098116018
1,0.1,OT-Impute,0.11296453846126195,0.022508313127778828
1,0.1,OT-Rand,0.1012167951707391,0.01993644196632406
1,0.2,Batch-Impute,0.08296324690348478,0.016174114912769606
1,0.2,OT-Impute,0.11296453846126195,0.022508313127778828
1,0.2,OT-Rand,0.09335759837759422,0.01954612148157381
1,0.3,Batch-Impute,0.07403235239295106,0.015022809046457834
1,0.3,OT-Impute,0.11296453846126195,0.022508313127778828
1,0.3,OT-Rand,0.08471141929292644,0.019488543760775523
2,0.1,Batch-Impute,0.09660081155409925,0.019382358309218976
2,0.1,OT-Impute,0.11891633028061148,0.026076225944256525
2,0.1,OT-Rand,0.10916323880824251,0.024060168280485027
2,0.2,Batch-Impute,0.08514649917355815,0.01710799655703639
2,0.2,OT-Impute,0.11891633028061148,0.026076225944256525
2,0.2,OT-Rand,0.09319964106551153,0.01949312884825637
2,0.3,Batch-Impute,0.07127999523373826,0.01314788232693679
2,0.3,OT-Impute,0.11891633028061148,0.026076225944256525
2,0.3,OT-Rand,0.08203756053451762,0.017580015490672896
3,0.1,Batch-Impute,0.1018343491504423,0.021486178986577193
3,0.1,OT-Impute,0.12576926577907477,0.02857531290034894
3,0.1,OT-Rand,0.11266040246221057,0.025193861355626405
3,0.2,Batch-Impute,0.08543523176135136,0.01756520213743515
3,0.2,OT-Impute,0.12576926577907477,0.02857531290034894
3,0.2,OT-Rand,0.09750010130843957,0.021943549216712457
3,0.3,Batch-Impute,0.07431322535881492,0.014555925998925332
3,0.3,OT-Impute,0.12576926577907477,0.02857531290034894
3,0.3,OT-Rand,0.0868509054570508,0.018959046497396558
4,0.1,Batch-Impute,0.10000401522895673,0.020190141873326496
4,0.1,OT-Impute,0.12368189595831994,0.027338165540207945
4,0.1,OT-Rand,0.11186066564482433,0.02468053311395199
4,0.2,Batch-Impute,0.08473417079337084,0.016509564917519953
4,0.2,OT-Impute,0.12368189595831994,0.027338165540207945
4,0.2,OT-Rand,0.09820401668167543,0.021304431213729783
4,0.3,Batch-Impute,0.07319284314955006,0.013824067575491717
4,0.3,OT-Impute,0.12368189595831994,0.027338165540207945
4,0.3,OT-Rand,0.08830157090596626,0.02046969552074805
5,0.1,Batch-Impute,0.11531076356888888,0.024534504949531917
5,0.1,OT-Impute,0.14526398283440936,0.035131517066249514
5,0.1,OT-Rand,0.13183625854122236,0.03208894602449229
5,0.2,Batch-Impute,0.09981147597555805,0.021113678969293347
5,0.2,OT-Impute,0.14526398283440936,0.035131517066249514
5,0.2,OT-Rand,0.11863477942326538,0.029819996808680364
5,0.3,Batch-Impute,0.08443477659952504,0.017282777241220567
5,0.3,OT-Impute,0.14526398283440936,0.035131517066249514
5,0.3,OT-Rand,0.10305549350367213,0.02526088620702717
6,0.1,Batch-Impute,0.11742522335089578,0.02714238529500055
6,0.1,OT-Impute,0.1489567749836568,0.037671532913905535
6,0.1,OT-Rand,0.1337399159879614,0.033690597209974006
6,0.2,Batch-Impute,0.10559630317756424,0.024370711645850758
6,0.2,OT-Impute,0.1489567749836568,0.037671532913905535
6,0.2,OT-Rand,0.11549054030946919,0.029525772190577233
6,0.3,Batch-Impute,0.08981143204296307,0.020394811979278775
6,0.3,OT-Impute,0.1489567749836568,0.037671532913905535
6,0.3,OT-Rand,0.10387992443343053,0.025978853119289415
7,0.1,Batch-Impute,0.13376963503680014,0.03257568591967352
7,0.1,OT-Impute,0.15536209202356357,0.040371759063915574
7,0.1,OT-Rand,0.13961554892142675,0.035971642774605336
7,0.2,Batch-Impute,0.11711259123566162,0.028942739869537965
7,0.2,OT-Impute,0.15536209202356357,0.040371759063915574
7,0.2,OT-Rand,0.12897227558424001,0.03483912681614878
7,0.3,Batch-Impute,0.09770754987477012,0.022690054204391893
7,0.3,OT-Impute,0.15536209202356357,0.040371759063915574
7,0.3,OT-Rand,0.11144553048844803,0.030339284164236348
