,,,MAE,MSE
0,0.1,Batch-Impute,0.08737164410040497,0.016196796298717057
0,0.1,OT-Impute,0.10821958174946755,0.02346538224118812
0,0.1,OT-Rand,0.09548590190154775,0.02091994169722788
0,0.2,Batch-Impute,0.07408714368781491,0.013460437369750947
0,0.2,OT-Impute,0.10821958174946755,0.02346538224118812
0,0.2,OT-Rand,0.08521686133649196,0.017883087750435612
0,0.3,Batch-Impute,0.06603776454166503,0.011941066600133029
0,0.3,OT-Impute,0.10821958174946755,0.02346538224118812
0,0.3,OT-Rand,0.0796529622066828,0.018773538465509287
1,0.1,Batch-Impute,0.09135988662803105,0.016985390294106773
1,0.1,OT-Impute,0.10604599629585802,0.020827841213720565
1,0.1,OT-Rand,0.09642794175730941,0.019184679497278825
1,0.2,Batch-Impute,0.07852185280503522,0.014552420679627392
1,0.2,OT-Impute,0.10604599629585802,0.020827841213720565
1,0.2,OT-Rand,0.09116925168357033,0.019063725856086716
1,0.3,Batch-Impute,0.06696440887074184,0.011946068065195905
1,0.3,OT-Impute,0.10604599629585802,0.020827841213720565
1,0.3,OT-Rand,0.07488873296632233,0.014831397004009485
2,0.1,Batch-Impute,0.10154848397459405,0.02064607478776202
2,0.1,OT-Impute,0.12067078729356373,0.025636007597138053
2,0.1,OT-Rand,0.11003937891914205,0.023667947234781318
2,0.2,Batch-Impute,0.08734713259059826,0.01779904651193624
2,0.2,OT-Impute,0.12067078729356373,0.025636007597138053
2,0.2,OT-Rand,0.09760192929176936,0.021329721586636947
2,0.3,Batch-Impute,0.07953836618569528,0.016185095171009023
2,0.3,OT-Impute,0.12067078729356373,0.025636007597138053
2,0.3,OT-Rand,0.0875764985566739,0.019625189997246165
3,0.1,Batch-Impute,0.11061315219510796,0.02289719068328338
3,0.1,OT-Impute,0.13029706598177643,0.02867844864120184
3,0.1,OT-Rand,0.11650387398021542,0.02562654304223721
3,0.2,Batch-Impute,0.0936890610906239,0.018869095086747015
3,0.2,OT-Impute,0.13029706598177643,0.02867844864120184
3,0.2,OT-Rand,0.1077879558873229,0.02436649727616526
3,0.3,Batch-Impute,0.07871542583070967,0.01522498830042885
3,0.3,OT-Impute,0.13029706598177643,0.02867844864120184
3,0.3,OT-Rand,0.08909280673710643,0.01878184186300248
4,0.1,Batch-Impute,0.12554032040731472,0.028771216543197024
4,0.1,OT-Impute,0.1488193031341247,0.03603602522569599
4,0.1,OT-Rand,0.13271815136858,0.03148283057327096
4,0.2,Batch-Impute,0.10847056074384835,0.02480142990081101
4,0.2,OT-Impute,0.1488193031341247,0.03603602522569599
4,0.2,OT-Rand,0.12202338976870925,0.030426173305574976
4,0.3,Batch-Impute,0.09247497444579832,0.02053310504654566
4,0.3,OT-Impute,0.1488193031341247,0.03603602522569599
4,0.3,OT-Rand,0.10421268356533996,0.025663542020479345
5,0.1,Batch-Impute,0.15246834541504986,0.03956191795534098
5,0.1,OT-Impute,0.1851469067478412,0.05113381142262517
5,0.1,OT-Rand,0.16540969479581982,0.04559423700940978
5,0.2,Batch-Impute,0.13559850051441485,0.0347033331359953
5,0.2,OT-Impute,0.1851469067478412,0.05113381142262517
5,0.2,OT-Rand,0.1443152773666699,0.040394611467189874
5,0.3,Batch-Impute,0.11452918828205401,0.029012793669539086
5,0.3,OT-Impute,0.1851469067478412,0.05113381142262517
5,0.3,OT-Rand,0.12256902632544113,0.03236106864616383
6,0.1,Batch-Impute,0.18722879831156947,0.05691540752031194
6,0.1,OT-Impute,0.221991229576643,0.07294210231215707
6,0.1,OT-Rand,0.2003986879622423,0.06626627546533323
6,0.2,Batch-Impute,0.16269646896160272,0.049424806602121604
6,0.2,OT-Impute,0.221991229576643,0.07294210231215707
6,0.2,OT-Rand,0.18183599235383727,0.059958907588258566
6,0.3,Batch-Impute,0.13810410734828502,0.040650396249500294
6,0.3,OT-Impute,0.221991229576643,0.07294210231215707
6,0.3,OT-Rand,0.15624629126825945,0.05141325044786857
7,0.1,Batch-Impute,0.1969898798094904,0.0643034637051162
7,0.1,OT-Impute,0.23288214714591013,0.0819860692840769
7,0.1,OT-Rand,0.21010182210245787,0.0741659042531135
7,0.2,Batch-Impute,0.17263631920162564,0.05536015865393488
7,0.2,OT-Impute,0.23288214714591013,0.0819860692840769
7,0.2,OT-Rand,0.18289359278874534,0.0632311804445657
7,0.3,Batch-Impute,0.14902346675621295,0.04705039535925455
7,0.3,OT-Impute,0.23288214714591013,0.0819860692840769
7,0.3,OT-Rand,0.15815544288559444,0.05335128547886145
